scenario,year,real_gdp_growth,hicp_inflation,private_consumption_growth,government_consumption_growth,fixed_capital_formation_growth,exports_growth,imports_growth,budget_balance_pct_gdp,source,method
baseline,2026,0.6,3.2,0.5,0.7,0.5,1.3,1.5,-4.1,OeNB June 2026,Published baseline
baseline,2027,1.1,2.4,1.0,0.7,1.5,2.1,2.2,-3.9,OeNB June 2026,Published baseline
baseline,2028,1.2,2.1,0.8,0.9,2.1,2.8,2.8,-3.8,OeNB June 2026,Published baseline
baseline,2029,1.1,2.0,0.9,1.0,1.9,2.3,2.4,-3.7,WIFO May 2026,Published medium-term forecast
baseline,2030,1.1,1.9,0.9,1.1,1.8,2.1,2.3,-3.8,WIFO May 2026,Published medium-term forecast
baseline,2031,1.0,1.9,0.8,1.0,1.5,2.1,2.2,-3.8,WIFO May 2026,Published medium-term forecast
upside,2026,0.7,3.0,0.6,0.8,0.6,1.4,1.6,-4.1,OeNB June 2026 mild scenario,GDP and HICP published; demand growth equals baseline plus GDP-growth gap
upside,2027,1.3,1.8,1.2,0.9,1.7,2.3,2.4,-3.8,OeNB June 2026 mild scenario,GDP and HICP published; demand growth equals baseline plus GDP-growth gap
upside,2028,1.4,1.9,1.0,1.1,2.3,3.0,3.0,-3.6,OeNB June 2026 mild scenario,GDP and HICP published; demand growth equals baseline plus GDP-growth gap
upside,2029,1.4,1.8,1.2,1.3,2.2,2.6,2.7,-3.2,WIFO baseline sensitivity,Published baseline plus 0.3pp real growth and minus 0.2pp inflation; balance improves 0.5pp
upside,2030,1.4,1.7,1.2,1.4,2.1,2.4,2.6,-3.3,WIFO baseline sensitivity,Published baseline plus 0.3pp real growth and minus 0.2pp inflation; balance improves 0.5pp
upside,2031,1.3,1.7,1.1,1.3,1.8,2.4,2.5,-3.3,WIFO baseline sensitivity,Published baseline plus 0.3pp real growth and minus 0.2pp inflation; balance improves 0.5pp
downside,2026,0.5,3.5,0.4,0.6,0.4,1.2,1.4,-4.2,OeNB June 2026 adverse scenario,GDP and HICP published; demand growth equals baseline plus GDP-growth gap
downside,2027,0.7,3.2,0.6,0.3,1.1,1.7,1.8,-4.2,OeNB June 2026 adverse scenario,GDP and HICP published; demand growth equals baseline plus GDP-growth gap
downside,2028,1.1,2.4,0.7,0.8,2.0,2.7,2.7,-4.2,OeNB June 2026 adverse scenario,GDP and HICP published; demand growth equals baseline plus GDP-growth gap
downside,2029,0.8,2.3,0.6,0.7,1.6,2.0,2.1,-4.2,WIFO baseline sensitivity,Published baseline minus 0.3pp real growth and plus 0.3pp inflation; balance worsens 0.5pp
downside,2030,0.8,2.2,0.6,0.8,1.5,1.8,2.0,-4.3,WIFO baseline sensitivity,Published baseline minus 0.3pp real growth and plus 0.3pp inflation; balance worsens 0.5pp
downside,2031,0.7,2.2,0.5,0.7,1.2,1.8,1.9,-4.3,WIFO baseline sensitivity,Published baseline minus 0.3pp real growth and plus 0.3pp inflation; balance worsens 0.5pp
