period,quarter,status,real_gdp_mean,real_gdp_p10,real_gdp_p90,real_household_consumption_mean,real_household_consumption_p10,real_household_consumption_p90,real_government_consumption_mean,real_government_consumption_p10,real_government_consumption_p90,real_fixed_capitalformation_mean,real_fixed_capitalformation_p10,real_fixed_capitalformation_p90,real_exports_mean,real_exports_p10,real_exports_p90,real_imports_mean,real_imports_p10,real_imports_p90,wages_mean,wages_p10,wages_p90,gdp_deflator_mean,gdp_deflator_p10,gdp_deflator_p90,annual_policy_rate_mean,annual_policy_rate_p10,annual_policy_rate_p90,policy_rate_annual_mean,policy_rate_annual_p10,policy_rate_annual_p90
2026-06-30,2026Q2,measurement_reanchored_actual,6.06764975e6,6.06764975e6,6.06764975e6,4.2044845e6,4.2044845e6,4.2044845e6,998052.75,998052.75,998052.75,1.13775375e6,1.13775375e6,1.13775375e6,696923.25,696923.25,696923.25,965587.5,965587.5,965587.5,3.342633333333333e6,3.342633333333333e6,3.342633333333333e6,1.3380473221942317,1.3380473221942317,1.3380473221942317,0.03633333333333333,0.03633333333333333,0.03633333333333333,0.03633333333333333,0.03633333333333333,0.03633333333333333
2026-09-30,2026Q3,forecast,5.9914332815280305e6,5.920777453109507e6,6.081941023129582e6,4.113641965464051e6,4.0769161755428687e6,4.157835566908857e6,961532.0509502018,951290.3043084698,970065.4880091241,1.0643681008494026e6,1.0529322629655648e6,1.0789293863832743e6,598328.0872561168,577606.4640945056,623886.0089450415,971557.4682607069,939124.3350472859,1.0051539056632544e6,3.3206338190781595e6,3.282401958314338e6,3.3672588494666694e6,1.3475303298791528,1.3423340617930402,1.3525776104241287,0.03494722682737188,0.03313146206200348,0.03686964097844754,0.03494722682737188,0.03313146206200348,0.03686964097844754
2026-12-31,2026Q4,forecast,5.961758500345778e6,5.859145261311087e6,6.05502419269673e6,4.1284643996724985e6,4.0768997021787753e6,4.1759684793763356e6,963314.0681579062,948067.408681948,974816.9847912029,1.067391159273109e6,1.0506089001624472e6,1.0823535597570234e6,616078.6158550682,580332.1985043731,651425.1471808616,971755.3677716868,925025.1884857654,1.0146075916256569e6,3.322207737194065e6,3.2586858627188187e6,3.3778876713928403e6,1.3567976113934663,1.3457097560641922,1.3672446062811987,0.033584740539854864,0.030637148705255135,0.03650745146621,0.033584740539854864,0.030637148705255135,0.03650745146621
2027-03-31,2027Q1,forecast,5.954838211670466e6,5.850770221397795e6,6.07081921229532e6,4.125365965912662e6,4.0721526190756094e6,4.180844080124086e6,964195.6449673385,949536.7981214756,981605.2850694946,1.0667347783120174e6,1.0486461238453153e6,1.086523845412293e6,618241.6726280844,583011.1749273749,660925.3831021906,970798.7166131103,917622.0390805155,1.0308318791563557e6,3.3394773477640264e6,3.268835721792166e6,3.414403076276189e6,1.365410535305683,1.3503349092332537,1.3801253851862214,0.032199867339036556,0.028581898024876803,0.03626005047177627,0.032199867339036556,0.028581898024876803,0.03626005047177627
2027-06-30,2027Q2,forecast,5.951187745000309e6,5.8526437200096985e6,6.06695923258734e6,4.1255958966809534e6,4.072786895107742e6,4.1797496434818394e6,964348.0833003176,948045.1454151212,983281.8568562956,1.0665321858879721e6,1.0503542867429703e6,1.0839197073258746e6,620601.4555132422,570012.3172116193,674469.0427367253,969800.7451479112,909852.9519346452,1.0319384215427099e6,3.3565319208373963e6,3.2750448395374794e6,3.4327673246444734e6,1.3731529509069453,1.3542048540014044,1.392057062744258,0.031045718088100648,0.026937461603006474,0.03634937427231877,0.031045718088100648,0.026937461603006474,0.03634937427231877
2027-09-30,2027Q3,forecast,5.937675586452817e6,5.804265855301715e6,6.052591173496756e6,4.1205313529800777e6,4.0567864028885537e6,4.1800386035042265e6,966157.7050319504,946851.4199712797,990540.2757800149,1.0644397971411303e6,1.0445756059737192e6,1.083956045248173e6,619074.0846478009,561979.3773163927,681817.8839102824,966176.7878859348,891080.4464767248,1.0441571607098698e6,3.3675757147892136e6,3.275389931815563e6,3.448014325278648e6,1.380851128002965,1.3591351766313666,1.4042230139096867,0.029683839326489388,0.02520421774065511,0.0352779116667943,0.029683839326489388,0.02520421774065511,0.0352779116667943
2027-12-31,2027Q4,forecast,5.936683407753278e6,5.799317789228596e6,6.07286705292902e6,4.120209579141778e6,4.0520019425269216e6,4.181210104377809e6,966978.3474520686,947652.6303713338,989523.8056974697,1.0642614308083444e6,1.0415945925711067e6,1.0860483679125896e6,620242.391333193,553458.2330007192,688943.1341302335,963032.5917863512,885149.686495479,1.0475002379527633e6,3.3864845599800413e6,3.282414155128536e6,3.4921819152973387e6,1.3888073689237712,1.3614861053097334,1.4180711959436685,0.0285685422322598,0.024045241262995523,0.03420580783316864,0.0285685422322598,0.024045241262995523,0.03420580783316864
2028-03-31,2028Q1,forecast,5.940531583602658e6,5.809879922808566e6,6.086980577125087e6,4.1224928264399753e6,4.0550459576554922e6,4.1909825036717104e6,968658.9021535451,947070.0836303313,991147.9163816365,1.064948008397477e6,1.0442025356001824e6,1.0854618416360659e6,622336.4483918463,555485.2105058488,694663.6624757701,962804.9108284622,877561.3595040491,1.0418227042277385e6,3.4082140136916144e6,3.3121217814880763e6,3.514557243273218e6,1.3969155693253181,1.364755308915033,1.4304653564208412,0.02769575037777064,0.022152404894824684,0.033723121743121046,0.02769575037777064,0.022152404894824684,0.033723121743121046
2028-06-30,2028Q2,forecast,5.948174919014248e6,5.819382954095229e6,6.086667138139208e6,4.126464658537209e6,4.0647315653559132e6,4.1965561195140015e6,969549.1326837637,947036.893922345,993944.1122541418,1.0662845620226327e6,1.0445006690747481e6,1.0866093117524693e6,622054.9897500621,547778.0675996178,697709.3080958425,965012.9813180985,870067.7663770231,1.0586407348398725e6,3.4310077958415025e6,3.32678705328037e6,3.5419803980617924e6,1.4045613541308009,1.367892770557474,1.4410370702170827,0.026756600372809518,0.020554488717832164,0.03246950947178333,0.026756600372809518,0.020554488717832164,0.03246950947178333
2028-09-30,2028Q3,forecast,5.954077903097434e6,5.832133030431589e6,6.110547779122594e6,4.1314078929560995e6,4.059261620007514e6,4.212619523522914e6,969560.5268458084,945277.2170618118,994513.387607275,1.0666036922425644e6,1.0460140061655927e6,1.0904266288126428e6,624029.6108528635,543542.9521078836,714601.5635184007,965921.2893611935,867164.5872420474,1.0730247578793138e6,3.4545006261838605e6,3.342807173729536e6,3.5746884476494743e6,1.4129710689314632,1.3716668002220858,1.454610619678275,0.02570733974258653,0.01939944227537991,0.031490386282647664,0.02570733974258653,0.01939944227537991,0.031490386282647664
