variant,origin_index,origin_period,target_period,target_id,horizon,paths_used,ensemble_mean,ensemble_median,ensemble_sd,monte_carlo_standard_error,percentile_05,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95
headline,40,2010Q2,2010Q3,effective_federal_funds_rate,1,500,0.3365436472597336,0.3362197235989739,0.17971782635999392,0.008037225530188999,0.030250294139345657,0.1018343634331953,0.21168789325141102,0.44508592505185796,0.5584973113606906,0.6692027527413671
headline,40,2010Q2,2010Q4,effective_federal_funds_rate,2,500,0.45671110645950036,0.4523076048568275,0.25968549682609104,0.011613488473478909,0.023360595476339393,0.10907198068107693,0.26690283737326737,0.6288030696810221,0.7880527469201316,0.8827674447260371
headline,40,2010Q2,2011Q1,effective_federal_funds_rate,3,500,0.5630500488882073,0.542181071872283,0.2998623660582334,0.013410252688002711,0.07653394515942602,0.17811836754589416,0.34883226777660536,0.7790061749297694,0.941932348049457,1.0727899616320082
headline,40,2010Q2,2011Q2,effective_federal_funds_rate,4,500,0.6639870792010472,0.6473019593969065,0.3328975806151597,0.014887632396014268,0.11710510415919861,0.23089896079108163,0.4299689358600367,0.877117568697583,1.1275974225140908,1.224126856649268
headline,40,2010Q2,2011Q3,effective_federal_funds_rate,5,500,0.7515295508586994,0.7424082191159753,0.36690228488265864,0.01640836900195236,0.17023900123525504,0.2788430959268795,0.47384444558408734,1.007157949912113,1.2287685857248842,1.3953570670666429
headline,40,2010Q2,2011Q4,effective_federal_funds_rate,6,500,0.8104077212415063,0.8181415443533679,0.3853957226690611,0.017235420682513544,0.16960980550073113,0.3105473316384155,0.524905376581214,1.0704548033879824,1.2927435357104036,1.441794605238289
headline,40,2010Q2,2012Q1,effective_federal_funds_rate,7,500,0.8668819395348778,0.8896200884595307,0.40153871451348994,0.017957357225000897,0.21961926368838314,0.3114009323436262,0.5692242640225886,1.1411515455383936,1.3419800854719193,1.5433955477630081
headline,40,2010Q2,2012Q2,effective_federal_funds_rate,8,500,0.9382773445836715,0.93494392531972,0.40550276045810174,0.018134634748962583,0.30077852082582845,0.38103167428189755,0.6598681664408912,1.1906550291750417,1.4856837384012245,1.6197586095758632
headline,40,2010Q2,2012Q3,effective_federal_funds_rate,9,500,0.9803855318697535,0.9895130420427223,0.405771905728297,0.018146671291362167,0.2875804182631758,0.47021142265035953,0.6906166323332463,1.2406410740916085,1.4902711563113584,1.6508957392784385
headline,40,2010Q2,2012Q4,effective_federal_funds_rate,10,500,1.036434279778018,1.0457069574684175,0.41304260563961637,0.018471826876276402,0.33538015180012204,0.49022786268641644,0.7650360971286574,1.302862463808474,1.5593069508435198,1.7037402305617266
headline,40,2010Q2,2013Q1,effective_federal_funds_rate,11,500,1.087885884551663,1.094011206300305,0.4078384529220457,0.018239090091440837,0.412594557697441,0.5501812589715027,0.8278472906911527,1.366163621871086,1.562840747209855,1.735659611768108
headline,40,2010Q2,2013Q2,effective_federal_funds_rate,12,500,1.1249715490867682,1.1461769162338542,0.4067128573598218,0.018188751927594744,0.42095189077537176,0.6266477160512496,0.8460264836216591,1.3978104915102707,1.6409988076961568,1.7728124370663734
headline,40,2010Q2,2010Q3,gdp_deflator,1,500,1.9771259155544327,1.9856508532768657,0.7162222913773251,0.03203043461040721,0.79615756993622,1.0780240185834344,1.4738112368958056,2.5028041238222443,2.8800576506487383,3.1438015858611483
headline,40,2010Q2,2010Q4,gdp_deflator,2,500,1.9436769640959042,1.9418194124838806,0.7827433179144201,0.035005345355807446,0.5207841470418373,0.9459752606222338,1.450761709313042,2.484241061131698,2.9476384165509018,3.1974422457254903
headline,40,2010Q2,2011Q1,gdp_deflator,3,500,1.9569834317322987,1.9568095731688828,0.8568933528054166,0.03832143572681243,0.5339166931597106,0.8885296371689577,1.372241647945316,2.5078869796738346,3.039054138088133,3.379617497897343
headline,40,2010Q2,2011Q2,gdp_deflator,4,500,1.9631484378519644,1.948890706041695,0.9356352788694314,0.04184288171398042,0.3193228900713052,0.8198649968905868,1.3698471121566413,2.563669645355837,3.130148476500665,3.4481366289484328
headline,40,2010Q2,2011Q3,gdp_deflator,5,500,1.9364303050849896,1.881969304778508,0.9927758799579769,0.04439828708016415,0.27140899852781786,0.7475120786430267,1.3116207798741897,2.604888975118236,3.1699071468536038,3.474687954006228
headline,40,2010Q2,2011Q4,gdp_deflator,6,500,1.938465138954767,1.9446490816324769,0.9153876150261314,0.040937378659196756,0.5108578700668787,0.8253744419118902,1.274092067978394,2.5575828508840104,3.0625311856709914,3.3558294830801576
headline,40,2010Q2,2012Q1,gdp_deflator,7,500,1.9163354977476132,1.9182147533499005,0.9698790264724843,0.04337430866287585,0.38871728147327644,0.7807946840936353,1.2651633505642579,2.5733343385441643,3.1481206818509837,3.4744021744963405
headline,40,2010Q2,2012Q2,gdp_deflator,8,500,1.889506243065084,1.877216530657222,0.9730613043939512,0.043516624457989796,0.3814767759083537,0.6640869813221428,1.223589530904512,2.4848931780280026,3.0807263553298014,3.592947769513622
headline,40,2010Q2,2012Q3,gdp_deflator,9,500,1.8918635888275375,1.9438561178397151,0.9660385185355914,0.04320255592657546,0.27872727818987636,0.5850169437247388,1.2516897085209422,2.5185430368726003,3.052757433027367,3.4871400665016594
headline,40,2010Q2,2012Q4,gdp_deflator,10,500,1.8724479449302134,1.8588816789979035,0.9858443856617058,0.04408830123152186,0.2637437038609747,0.60644281482368,1.1950140242024787,2.57076321701053,3.1112902947284486,3.4198420282763218
headline,40,2010Q2,2013Q1,gdp_deflator,11,500,1.8909687774635173,1.9328841453653212,0.9786739496840218,0.04376762958603363,0.25345381106230747,0.676197424061371,1.2321302366734344,2.5223288119523346,3.1077872955314234,3.477862592530556
headline,40,2010Q2,2013Q2,gdp_deflator,12,500,1.8636633113599061,1.793031175707327,1.0317569725725975,0.04614157453863428,0.19480042450766175,0.5284986856991479,1.2838226435519573,2.5504116179758896,3.153855734824235,3.6517922119818285
headline,40,2010Q2,2010Q3,nominal_gdp,1,500,2.7495032880522756,2.7152894767404234,2.5001453142849797,0.1118098975273758,-1.1583445980609142,-0.4376143520151743,1.0435287591855413,4.578539482892374,6.101133978023513,6.929675018853736
