variant,origin_index,origin_period,build_period,calibration_date,burn_in_quarters,simulated_quarters,t_prime,t_max,paths_requested,paths_used,paths_failed,calibration_seconds,simulation_seconds
headline,40,2010Q2,2010Q2,2010-06-30,0,12,54,12,500,500,0,2.5194451808929443,37.92184090614319
headline,41,2010Q3,2010Q3,2010-09-30,0,12,55,12,500,500,0,0.0019328594207763672,37.6514151096344
headline,42,2010Q4,2010Q4,2010-12-31,0,12,56,12,500,500,0,0.015136003494262695,35.9776771068573
headline,43,2011Q1,2011Q1,2011-03-31,0,12,57,12,500,500,0,0.01581096649169922,36.109009981155396
headline,44,2011Q2,2011Q2,2011-06-30,0,12,58,12,500,500,0,0.003912925720214844,36.97332715988159
headline,45,2011Q3,2011Q3,2011-09-30,0,12,59,12,500,500,0,0.016134977340698242,39.64702606201172
headline,46,2011Q4,2011Q4,2011-12-31,0,12,60,12,500,500,0,0.008623838424682617,41.73776912689209
headline,47,2012Q1,2012Q1,2012-03-31,0,12,61,12,500,500,0,0.008155107498168945,39.97431492805481
headline,48,2012Q2,2012Q2,2012-06-30,0,12,62,12,500,500,0,0.007039070129394531,41.318519115448
headline,49,2012Q3,2012Q3,2012-09-30,0,12,63,12,500,500,0,0.020328998565673828,56.896509885787964
headline,50,2012Q4,2012Q4,2012-12-31,0,12,64,12,500,500,0,0.0072858333587646484,85.99829816818237
headline,51,2013Q1,2013Q1,2013-03-31,0,12,65,12,500,500,0,0.009979009628295898,37.811554193496704
headline,52,2013Q2,2013Q2,2013-06-30,0,12,66,12,500,500,0,0.0017578601837158203,35.91478896141052
headline,53,2013Q3,2013Q3,2013-09-30,0,12,67,12,500,500,0,0.0004980564117431641,35.72882580757141
headline,54,2013Q4,2013Q4,2013-12-31,0,12,68,12,500,500,0,0.0016679763793945312,36.12322187423706
headline,55,2014Q1,2014Q1,2014-03-31,0,12,69,12,500,500,0,0.0017812252044677734,36.5915789604187
headline,56,2014Q2,2014Q2,2014-06-30,0,12,70,12,500,500,0,0.0017240047454833984,35.811899185180664
headline,57,2014Q3,2014Q3,2014-09-30,0,12,71,12,500,500,0,0.0004980564117431641,35.44578194618225
headline,58,2014Q4,2014Q4,2014-12-31,0,12,72,12,500,500,0,0.0007672309875488281,36.01863479614258
headline,59,2015Q1,2015Q1,2015-03-31,0,12,73,12,500,500,0,0.0017549991607666016,35.93722605705261
headline,60,2015Q2,2015Q2,2015-06-30,0,12,74,12,500,500,0,0.0017931461334228516,36.56684398651123
headline,61,2015Q3,2015Q3,2015-09-30,0,12,75,12,500,500,0,0.0031270980834960938,36.531254053115845
headline,62,2015Q4,2015Q4,2015-12-31,0,12,76,12,500,500,0,0.001847982406616211,36.61091995239258
headline,63,2016Q1,2016Q1,2016-03-31,0,12,77,12,500,500,0,0.0016641616821289062,35.656298875808716
headline,64,2016Q2,2016Q2,2016-06-30,0,12,78,12,500,500,0,0.0017631053924560547,35.902716875076294
headline,65,2016Q3,2016Q3,2016-09-30,0,12,79,12,500,500,0,0.0034580230712890625,43.72892498970032
headline,66,2016Q4,2016Q4,2016-12-31,0,12,80,12,500,500,0,0.013772964477539062,43.05025815963745
headline,67,2017Q1,2017Q1,2017-03-31,0,12,81,12,500,500,0,0.011082172393798828,48.47451090812683
headline,68,2017Q2,2017Q2,2017-06-30,0,12,82,12,500,500,0,0.014093160629272461,44.40697884559631
headline,69,2017Q3,2017Q3,2017-09-30,0,12,83,12,500,500,0,0.006350040435791016,43.14168310165405
headline,70,2017Q4,2017Q4,2017-12-31,0,12,84,12,500,500,0,0.010179996490478516,38.78163194656372
headline,71,2018Q1,2018Q1,2018-03-31,0,12,85,12,500,500,0,0.0017249584197998047,38.31451201438904
headline,72,2018Q2,2018Q2,2018-06-30,0,12,86,12,500,500,0,0.0017719268798828125,38.12567710876465
headline,73,2018Q3,2018Q3,2018-09-30,0,12,87,12,500,500,0,0.0019321441650390625,37.394611835479736
headline,74,2018Q4,2018Q4,2018-12-31,0,12,88,12,500,500,0,0.001965045928955078,37.7334201335907
headline,75,2019Q1,2019Q1,2019-03-31,0,12,89,12,500,500,0,0.0016620159149169922,37.794760942459106
headline,76,2019Q2,2019Q2,2019-06-30,0,12,90,12,500,500,0,0.0052890777587890625,40.39668798446655
headline,77,2019Q3,2019Q3,2019-09-30,0,12,91,12,500,500,0,0.009139776229858398,40.591973066329956
headline,78,2019Q4,2019Q4,2019-12-31,0,12,92,12,500,500,0,0.0023381710052490234,40.03932189941406
headline,79,2020Q1,2020Q1,2020-03-31,0,12,93,12,500,500,0,0.0019290447235107422,40.22420001029968
headline,80,2020Q2,2020Q2,2020-06-30,0,12,94,12,500,500,0,0.0035161972045898438,38.89409399032593
headline,81,2020Q3,2020Q3,2020-09-30,0,12,95,12,500,500,0,0.0016281604766845703,37.05561590194702
headline,82,2020Q4,2020Q4,2020-12-31,0,12,96,12,500,500,0,0.0039060115814208984,37.76956081390381
headline,83,2021Q1,2021Q1,2021-03-31,0,12,97,12,500,500,0,0.0017790794372558594,40.73643398284912
headline,84,2021Q2,2021Q2,2021-06-30,0,12,98,12,500,500,0,0.002274036407470703,38.67859506607056
headline,85,2021Q3,2021Q3,2021-09-30,0,12,99,12,500,500,0,0.009354829788208008,37.64155697822571
headline,86,2021Q4,2021Q4,2021-12-31,0,12,100,12,500,500,0,0.0005490779876708984,38.21556806564331
headline,87,2022Q1,2022Q1,2022-03-31,0,12,101,12,500,500,0,0.0029709339141845703,37.855820178985596
headline,88,2022Q2,2022Q2,2022-06-30,0,12,102,12,500,500,0,0.0006380081176757812,36.549256801605225
headline,89,2022Q3,2022Q3,2022-09-30,0,12,103,12,500,500,0,0.004053831100463867,37.04317116737366
headline,90,2022Q4,2022Q4,2022-12-31,0,12,104,12,500,500,0,0.0010941028594970703,36.645726919174194
headline,91,2023Q1,2023Q1,2023-03-31,0,12,105,12,500,500,0,0.0006020069122314453,36.785454988479614
headline,92,2023Q2,2023Q2,2023-06-30,0,12,106,12,500,500,0,0.002071857452392578,36.84461522102356
headline,93,2023Q3,2023Q3,2023-09-30,0,12,107,11,500,500,0,0.0009088516235351562,36.73607277870178
headline,94,2023Q4,2023Q4,2023-12-31,0,12,108,10,500,500,0,0.0008699893951416016,36.64755201339722
headline,95,2024Q1,2024Q1,2024-03-31,0,12,109,9,500,500,0,0.004829883575439453,35.61986494064331
headline,96,2024Q2,2024Q2,2024-06-30,0,12,110,8,500,500,0,0.002521991729736328,35.43217611312866
headline,97,2024Q3,2024Q3,2024-09-30,0,12,111,7,500,500,0,0.0005259513854980469,35.039222955703735
headline,98,2024Q4,2024Q4,2024-12-31,0,12,112,6,500,500,0,0.0007350444793701172,35.0851628780365
headline,99,2025Q1,2025Q1,2025-03-31,0,12,113,5,500,500,0,0.0007688999176025391,35.12011408805847
headline,100,2025Q2,2025Q2,2025-06-30,0,12,114,4,500,500,0,0.0005669593811035156,34.914391040802
