variant,origin_index,origin_period,build_period,calibration_date,burn_in_quarters,simulated_quarters,t_prime,t_max,paths_requested,paths_used,paths_failed,calibration_seconds,simulation_seconds
burnin,40,2010Q2,2010Q1,2010-03-31,1,13,53,12,128,128,0,2.674694061279297,10.655267000198364
burnin,41,2010Q3,2010Q2,2010-06-30,1,13,54,12,128,128,0,0.006193876266479492,10.325810194015503
burnin,42,2010Q4,2010Q3,2010-09-30,1,13,55,12,128,128,0,0.015244007110595703,10.260072946548462
burnin,43,2011Q1,2010Q4,2010-12-31,1,13,56,12,128,128,0,0.002917051315307617,10.704465866088867
burnin,44,2011Q2,2011Q1,2011-03-31,1,13,57,12,128,128,0,0.012861013412475586,10.191855907440186
burnin,45,2011Q3,2011Q2,2011-06-30,1,13,58,12,128,128,0,0.012542963027954102,10.79118800163269
burnin,46,2011Q4,2011Q3,2011-09-30,1,13,59,12,128,128,0,0.01157689094543457,10.51094388961792
burnin,47,2012Q1,2011Q4,2011-12-31,1,13,60,12,128,128,0,0.0018579959869384766,10.070914030075073
burnin,48,2012Q2,2012Q1,2012-03-31,1,13,61,12,128,128,0,0.004611015319824219,9.891808986663818
burnin,49,2012Q3,2012Q2,2012-06-30,1,13,62,12,128,128,0,0.0007569789886474609,9.962422847747803
burnin,50,2012Q4,2012Q3,2012-09-30,1,13,63,12,128,128,0,0.00406193733215332,9.93294095993042
burnin,51,2013Q1,2012Q4,2012-12-31,1,13,64,12,128,128,0,0.0011038780212402344,10.152504205703735
burnin,52,2013Q2,2013Q1,2013-03-31,1,13,65,12,128,128,0,0.009013891220092773,9.909265995025635
burnin,53,2013Q3,2013Q2,2013-06-30,1,13,66,12,128,128,0,0.0022830963134765625,9.96822190284729
burnin,54,2013Q4,2013Q3,2013-09-30,1,13,67,12,128,128,0,0.0007059574127197266,9.695024013519287
burnin,55,2014Q1,2013Q4,2013-12-31,1,13,68,12,128,128,0,0.0023169517517089844,9.63313889503479
burnin,56,2014Q2,2014Q1,2014-03-31,1,13,69,12,128,128,0,0.002878904342651367,9.966004133224487
burnin,57,2014Q3,2014Q2,2014-06-30,1,13,70,12,128,128,0,0.009098052978515625,11.310336828231812
burnin,58,2014Q4,2014Q3,2014-09-30,1,13,71,12,128,128,0,0.012192964553833008,10.514591217041016
burnin,59,2015Q1,2014Q4,2014-12-31,1,13,72,12,128,128,0,0.010319948196411133,11.337941884994507
burnin,60,2015Q2,2015Q1,2015-03-31,1,13,73,12,128,128,0,0.010766029357910156,11.029596090316772
burnin,61,2015Q3,2015Q2,2015-06-30,1,13,74,12,128,128,0,0.008959054946899414,10.955473899841309
burnin,62,2015Q4,2015Q3,2015-09-30,1,13,75,12,128,128,0,0.010832071304321289,11.81526494026184
burnin,63,2016Q1,2015Q4,2015-12-31,1,13,76,12,128,128,0,0.02388310432434082,11.375578880310059
burnin,64,2016Q2,2016Q1,2016-03-31,1,13,77,12,128,128,0,0.013640880584716797,11.598314046859741
burnin,65,2016Q3,2016Q2,2016-06-30,1,13,78,12,128,128,0,0.010329008102416992,11.861918926239014
burnin,66,2016Q4,2016Q3,2016-09-30,1,13,79,12,128,128,0,0.013626813888549805,9.935971975326538
burnin,67,2017Q1,2016Q4,2016-12-31,1,13,80,12,128,128,0,0.012588977813720703,9.924705028533936
burnin,68,2017Q2,2017Q1,2017-03-31,1,13,81,12,128,128,0,0.011043071746826172,11.54977798461914
burnin,69,2017Q3,2017Q2,2017-06-30,1,13,82,12,128,128,0,0.00952291488647461,10.746968030929565
burnin,70,2017Q4,2017Q3,2017-09-30,1,13,83,12,128,128,0,0.01186680793762207,11.174187183380127
burnin,71,2018Q1,2017Q4,2017-12-31,1,13,84,12,128,128,0,0.019659042358398438,11.845289945602417
burnin,72,2018Q2,2018Q1,2018-03-31,1,13,85,12,128,128,0,0.010780096054077148,13.607409000396729
burnin,73,2018Q3,2018Q2,2018-06-30,1,13,86,12,128,128,0,0.01683497428894043,14.778478145599365
burnin,74,2018Q4,2018Q3,2018-09-30,1,13,87,12,128,128,0,0.013602972030639648,16.88380718231201
burnin,75,2019Q1,2018Q4,2018-12-31,1,13,88,12,128,128,0,0.014087915420532227,15.562364101409912
burnin,76,2019Q2,2019Q1,2019-03-31,1,13,89,12,128,128,0,0.010744094848632812,18.37045192718506
burnin,77,2019Q3,2019Q2,2019-06-30,1,13,90,12,128,128,0,0.032904863357543945,21.49639105796814
burnin,78,2019Q4,2019Q3,2019-09-30,1,13,91,12,128,128,0,0.014800071716308594,25.973870992660522
burnin,79,2020Q1,2019Q4,2019-12-31,1,13,92,12,128,128,0,0.0225980281829834,24.633174896240234
burnin,80,2020Q2,2020Q1,2020-03-31,1,13,93,12,128,128,0,0.008105993270874023,10.059098958969116
burnin,81,2020Q3,2020Q2,2020-06-30,1,13,94,12,128,128,0,0.0005049705505371094,9.95459794998169
burnin,82,2020Q4,2020Q3,2020-09-30,1,13,95,12,128,128,0,0.0020329952239990234,10.42409086227417
burnin,83,2021Q1,2020Q4,2020-12-31,1,13,96,12,128,128,0,0.0022940635681152344,9.854434967041016
burnin,84,2021Q2,2021Q1,2021-03-31,1,13,97,12,128,128,0,0.0005030632019042969,10.006358861923218
burnin,85,2021Q3,2021Q2,2021-06-30,1,13,98,12,128,128,0,0.0004990100860595703,9.850165128707886
burnin,86,2021Q4,2021Q3,2021-09-30,1,13,99,12,128,128,0,0.0004839897155761719,9.844533920288086
burnin,87,2022Q1,2021Q4,2021-12-31,1,13,100,12,128,128,0,0.0009551048278808594,9.875456094741821
burnin,88,2022Q2,2022Q1,2022-03-31,1,13,101,12,128,128,0,0.0006148815155029297,9.985198974609375
burnin,89,2022Q3,2022Q2,2022-06-30,1,13,102,12,128,128,0,0.0018689632415771484,9.867904901504517
burnin,90,2022Q4,2022Q3,2022-09-30,1,13,103,12,128,128,0,0.0004899501800537109,10.104514837265015
burnin,91,2023Q1,2022Q4,2022-12-31,1,13,104,12,128,128,0,0.0005409717559814453,10.023482084274292
burnin,92,2023Q2,2023Q1,2023-03-31,1,13,105,12,128,128,0,0.0020618438720703125,10.062031030654907
burnin,93,2023Q3,2023Q2,2023-06-30,1,13,106,12,128,128,0,0.0005319118499755859,10.180078983306885
burnin,94,2023Q4,2023Q3,2023-09-30,1,13,107,11,128,128,0,0.0005371570587158203,9.94628381729126
burnin,95,2024Q1,2023Q4,2023-12-31,1,13,108,10,128,128,0,0.0005350112915039062,10.16621208190918
burnin,96,2024Q2,2024Q1,2024-03-31,1,13,109,9,128,128,0,0.000553131103515625,10.413306951522827
