model_family,target_id,horizon,origin_count,monte_carlo_paths,mean_ensemble_sd,mean_monte_carlo_standard_error,maximum_monte_carlo_standard_error
beforeit_abm_us_v1,real_gdp,1,61,128,2.809607623750682,0.24833657540344115,0.45333951865355304
beforeit_abm_us_v1,real_gdp,2,60,128,3.059055421031475,0.2703848540296031,0.4792994482374194
beforeit_abm_us_v1,real_gdp,4,58,128,3.1034606327813115,0.2743097573231449,0.47572318911412564
beforeit_abm_us_v1,real_gdp,8,54,128,2.975664334882643,0.26301405371630926,0.47693891777282144
beforeit_abm_us_v1,real_gdp,12,50,128,2.825826103321566,0.2497701000140796,0.47080073808023154
beforeit_abm_us_v1,gdp_deflator,1,61,128,1.00823219038022,0.08911597735355245,0.1351110058292895
beforeit_abm_us_v1,gdp_deflator,2,60,128,1.0416204170013976,0.09206710753550593,0.17095448263247479
beforeit_abm_us_v1,gdp_deflator,4,58,128,1.098480140082293,0.09709284450636727,0.19106920652473625
beforeit_abm_us_v1,gdp_deflator,8,54,128,1.060967010524916,0.09377712096967342,0.1811836265745191
beforeit_abm_us_v1,gdp_deflator,12,50,128,1.0127418245271154,0.089514576464295,0.1716815187327073
beforeit_abm_us_v1,nominal_gdp,1,61,128,2.9915741772942273,0.26442029839841436,0.45132460091072457
beforeit_abm_us_v1,nominal_gdp,2,60,128,3.222894538829437,0.2848663229319231,0.5068462680531385
beforeit_abm_us_v1,nominal_gdp,4,58,128,3.3133292319824537,0.292859696029801,0.5039005178364843
beforeit_abm_us_v1,nominal_gdp,8,54,128,3.1767056023113955,0.28078375915346043,0.500002537338335
beforeit_abm_us_v1,nominal_gdp,12,50,128,2.9887150072167823,0.26416758107962346,0.507685735593248
beforeit_abm_us_v1,unemployment_rate,1,61,128,0.698713667160876,0.061758146519646964,0.10502110416047078
beforeit_abm_us_v1,unemployment_rate,2,60,128,0.7702359722049111,0.06807988488248821,0.11585559053254077
beforeit_abm_us_v1,unemployment_rate,4,58,128,0.7994002733061779,0.07065766926714723,0.12113780908244041
beforeit_abm_us_v1,unemployment_rate,8,54,128,0.8462291419549689,0.07479679558925402,0.12599435287622968
beforeit_abm_us_v1,unemployment_rate,12,50,128,0.845918066562989,0.07476930014936284,0.13043686730514678
beforeit_abm_us_v1,effective_federal_funds_rate,1,61,128,0.18811398725490042,0.01662708450299748,0.0223286467097083
beforeit_abm_us_v1,effective_federal_funds_rate,2,60,128,0.22322502414776893,0.019730491038177277,0.025389906159316144
beforeit_abm_us_v1,effective_federal_funds_rate,4,58,128,0.27398636761560924,0.024217202311708444,0.030102859950953558
beforeit_abm_us_v1,effective_federal_funds_rate,8,54,128,0.3254795495820951,0.02876859958088032,0.03675096452514067
beforeit_abm_us_v1,effective_federal_funds_rate,12,50,128,0.34269229044774674,0.03029000530449395,0.03684393963717825
