variant,origin_index,origin_period,build_period,calibration_date,burn_in_quarters,simulated_quarters,t_prime,t_max,paths_requested,paths_used,paths_failed,calibration_seconds,simulation_seconds
burnin4,40,2010Q2,2009Q2,2009-06-30,4,16,50,12,128,128,0,2.390745162963867,12.629434823989868
burnin4,41,2010Q3,2009Q3,2009-09-30,4,16,51,12,128,128,0,0.003253936767578125,12.424728155136108
burnin4,42,2010Q4,2009Q4,2009-12-31,4,16,52,12,128,128,0,0.0008800029754638672,11.836451053619385
burnin4,43,2011Q1,2010Q1,2010-03-31,4,16,53,12,128,128,0,0.0005390644073486328,12.046406030654907
burnin4,44,2011Q2,2010Q2,2010-06-30,4,16,54,12,128,128,0,0.0005271434783935547,11.920132875442505
burnin4,45,2011Q3,2010Q3,2010-09-30,4,16,55,12,128,128,0,0.004137992858886719,11.989917993545532
burnin4,46,2011Q4,2010Q4,2010-12-31,4,16,56,12,128,128,0,0.004492044448852539,12.940014123916626
burnin4,47,2012Q1,2011Q1,2011-03-31,4,16,57,12,128,128,0,0.015575885772705078,12.311562061309814
burnin4,48,2012Q2,2011Q2,2011-06-30,4,16,58,12,128,128,0,0.0012090206146240234,12.153834104537964
burnin4,49,2012Q3,2011Q3,2011-09-30,4,16,59,12,128,128,0,0.013695001602172852,12.50493597984314
burnin4,50,2012Q4,2011Q4,2011-12-31,4,16,60,12,128,128,0,0.014611005783081055,12.255995988845825
burnin4,51,2013Q1,2012Q1,2012-03-31,4,16,61,12,128,128,0,0.0019059181213378906,12.907351016998291
burnin4,52,2013Q2,2012Q2,2012-06-30,4,16,62,12,128,128,0,0.011685848236083984,12.282767057418823
burnin4,53,2013Q3,2012Q3,2012-09-30,4,16,63,12,128,128,0,0.0004730224609375,11.929126024246216
burnin4,54,2013Q4,2012Q4,2012-12-31,4,16,64,12,128,128,0,0.0020508766174316406,11.937321186065674
burnin4,55,2014Q1,2013Q1,2013-03-31,4,16,65,12,128,128,0,0.0005831718444824219,12.03705906867981
burnin4,56,2014Q2,2013Q2,2013-06-30,4,16,66,12,128,128,0,0.0023870468139648438,12.574467182159424
burnin4,57,2014Q3,2013Q3,2013-09-30,4,16,67,12,128,128,0,0.011323928833007812,11.929084062576294
burnin4,58,2014Q4,2013Q4,2013-12-31,4,16,68,12,128,128,0,0.0006380081176757812,11.887629985809326
burnin4,59,2015Q1,2014Q1,2014-03-31,4,16,69,12,128,128,0,0.002093791961669922,12.506142139434814
burnin4,60,2015Q2,2014Q2,2014-06-30,4,16,70,12,128,128,0,0.009145021438598633,18.124647855758667
burnin4,61,2015Q3,2014Q3,2014-09-30,4,16,71,12,128,128,0,0.021472930908203125,14.76289987564087
burnin4,62,2015Q4,2014Q4,2014-12-31,4,16,72,12,128,128,0,0.008766889572143555,15.893049001693726
burnin4,63,2016Q1,2015Q1,2015-03-31,4,16,73,12,128,128,0,0.012334823608398438,13.813959121704102
burnin4,64,2016Q2,2015Q2,2015-06-30,4,16,74,12,128,128,0,0.012994050979614258,14.20774793624878
burnin4,65,2016Q3,2015Q3,2015-09-30,4,16,75,12,128,128,0,0.016150951385498047,22.51375699043274
burnin4,66,2016Q4,2015Q4,2015-12-31,4,16,76,12,128,128,0,0.018198013305664062,22.556721925735474
burnin4,67,2017Q1,2016Q1,2016-03-31,4,16,77,12,128,128,0,0.0071811676025390625,21.50407099723816
burnin4,68,2017Q2,2016Q2,2016-06-30,4,16,78,12,128,128,0,0.015583038330078125,19.27688694000244
burnin4,69,2017Q3,2016Q3,2016-09-30,4,16,79,12,128,128,0,0.005263090133666992,18.104773998260498
burnin4,70,2017Q4,2016Q4,2016-12-31,4,16,80,12,128,128,0,0.014917850494384766,17.54246997833252
burnin4,71,2018Q1,2017Q1,2017-03-31,4,16,81,12,128,128,0,0.02144598960876465,16.46150016784668
burnin4,72,2018Q2,2017Q2,2017-06-30,4,16,82,12,128,128,0,0.0075528621673583984,13.670889139175415
