variant,origin_index,origin_period,target_period,target_id,horizon,paths_used,ensemble_mean,ensemble_median,ensemble_sd,monte_carlo_standard_error,percentile_05,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95
outlook,102,2025Q4,2026Q1,effective_federal_funds_rate,1,500,3.862326951670861,3.861107506979755,0.12814683488120857,0.005730900677916471,3.6578600113423367,3.705307468688166,3.774860262998525,3.940899733290737,4.024246484990686,4.07722548336913
outlook,102,2025Q4,2026Q2,effective_federal_funds_rate,2,500,3.8055317075390125,3.8005213753409706,0.18544732135083247,0.00829345633571419,3.503614858442674,3.5788947010611727,3.6816084309378216,3.9327508601641026,4.050365479539697,4.107889398167341
outlook,102,2025Q4,2026Q3,effective_federal_funds_rate,3,500,3.7581114175593666,3.7473628033617756,0.23098900334056754,0.0103301422704887,3.3800536109048984,3.4754995008757628,3.5988578989449738,3.922537805606469,4.035530970453394,4.148697142188807
outlook,102,2025Q4,2026Q4,effective_federal_funds_rate,4,500,3.7033583598014643,3.698287089673402,0.2727735893391118,0.012198805764577316,3.2613188677845995,3.3401515944760374,3.506766536155148,3.897413362995011,4.044608752410317,4.15051728283536
outlook,102,2025Q4,2027Q1,effective_federal_funds_rate,5,500,3.651158255959857,3.652204499614242,0.3023132547094456,0.013519859760590575,3.187171005522057,3.2652638660571287,3.4313199464274082,3.8483471998681296,4.017513463914051,4.155272202076342
outlook,102,2025Q4,2027Q2,effective_federal_funds_rate,6,500,3.6022441354156887,3.6024188396448054,0.32401752280277485,0.014490504137761854,3.0945354732100814,3.2137069206540536,3.384057412705155,3.8113408267830273,3.994663422196514,4.1256508939339245
outlook,102,2025Q4,2027Q3,effective_federal_funds_rate,7,500,3.5431620296379585,3.541847430272227,0.35046288463523023,0.015673176672700826,3.0212018462385437,3.0955828849467637,3.3137595155862005,3.7848238886331598,3.9774189414723726,4.139240506834067
outlook,102,2025Q4,2027Q4,effective_federal_funds_rate,8,500,3.486451846326886,3.476735019516075,0.3566685043927506,0.015950700425107454,2.8953983534454197,3.0411573231905376,3.246986302692817,3.7245516667872183,3.972629989540531,4.087463360361521
outlook,102,2025Q4,2028Q1,effective_federal_funds_rate,9,500,3.438446640178956,3.43583326427348,0.3768517038278882,0.01685332054391551,2.829077712318336,3.0000445415065524,3.1688369170593256,3.688438098771413,3.9427793797485,4.0223476017748725
outlook,102,2025Q4,2028Q2,effective_federal_funds_rate,10,500,3.3931946332375267,3.3955512549908695,0.39553383722747204,0.017688810948839288,2.7628249432422622,2.9137553336514777,3.1086431855229857,3.6661780324563407,3.895012630963433,4.033670819876752
outlook,102,2025Q4,2028Q3,effective_federal_funds_rate,11,500,3.3463420823707577,3.3575011341244965,0.4043069922067081,0.01808115836705354,2.7126312798566543,2.8429281176541354,3.0549828802963694,3.6266100244900015,3.8608369642209306,4.0031472139284485
