model_id,target_id,horizon,observation_count,coverage_05_95,coverage_10_90,coverage_25_75
beforeit_abm_us_v2_mean,real_gdp,1,61,0.950820,0.918033,0.704918
beforeit_abm_us_v2_mean,real_gdp,2,60,0.950000,0.900000,0.683333
beforeit_abm_us_v2_mean,real_gdp,4,58,0.948276,0.913793,0.706897
beforeit_abm_us_v2_mean,real_gdp,8,54,0.888889,0.870370,0.666667
beforeit_abm_us_v2_mean,real_gdp,12,50,0.900000,0.860000,0.720000
beforeit_abm_us_v2_mean,gdp_deflator,1,61,0.737705,0.655738,0.295082
beforeit_abm_us_v2_mean,gdp_deflator,2,60,0.750000,0.716667,0.600000
beforeit_abm_us_v2_mean,gdp_deflator,4,58,0.758621,0.741379,0.500000
beforeit_abm_us_v2_mean,gdp_deflator,8,54,0.722222,0.722222,0.500000
beforeit_abm_us_v2_mean,gdp_deflator,12,50,0.700000,0.680000,0.460000
beforeit_abm_us_v2_mean,nominal_gdp,1,61,0.934426,0.852459,0.639344
beforeit_abm_us_v2_mean,nominal_gdp,2,60,0.933333,0.866667,0.666667
beforeit_abm_us_v2_mean,nominal_gdp,4,58,0.896552,0.844828,0.637931
beforeit_abm_us_v2_mean,nominal_gdp,8,54,0.851852,0.777778,0.592593
beforeit_abm_us_v2_mean,nominal_gdp,12,50,0.820000,0.800000,0.480000
beforeit_abm_us_v2_mean,unemployment_rate,1,61,0.295082,0.196721,0.147541
beforeit_abm_us_v2_mean,unemployment_rate,2,60,0.316667,0.200000,0.133333
beforeit_abm_us_v2_mean,unemployment_rate,4,58,0.275862,0.155172,0.051724
beforeit_abm_us_v2_mean,unemployment_rate,8,54,0.148148,0.055556,0.000000
beforeit_abm_us_v2_mean,unemployment_rate,12,50,0.000000,0.000000,0.000000
beforeit_abm_us_v2_mean,effective_federal_funds_rate,1,61,0.754098,0.688525,0.557377
beforeit_abm_us_v2_mean,effective_federal_funds_rate,2,60,0.683333,0.616667,0.366667
beforeit_abm_us_v2_mean,effective_federal_funds_rate,4,58,0.517241,0.413793,0.086207
beforeit_abm_us_v2_mean,effective_federal_funds_rate,8,54,0.333333,0.240741,0.129630
beforeit_abm_us_v2_mean,effective_federal_funds_rate,12,50,0.200000,0.160000,0.060000
beforeit_abm_us_v1_mean,real_gdp,1,61,0.918033,0.852459,0.573770
beforeit_abm_us_v1_mean,real_gdp,2,60,0.083333,0.066667,0.016667
beforeit_abm_us_v1_mean,real_gdp,4,58,0.724138,0.568966,0.224138
beforeit_abm_us_v1_mean,real_gdp,8,54,0.796296,0.722222,0.388889
beforeit_abm_us_v1_mean,real_gdp,12,50,0.780000,0.720000,0.300000
beforeit_abm_us_v1_mean,gdp_deflator,1,61,0.737705,0.655738,0.295082
beforeit_abm_us_v1_mean,gdp_deflator,2,60,0.750000,0.716667,0.550000
beforeit_abm_us_v1_mean,gdp_deflator,4,58,0.758621,0.741379,0.431034
beforeit_abm_us_v1_mean,gdp_deflator,8,54,0.740741,0.722222,0.500000
beforeit_abm_us_v1_mean,gdp_deflator,12,50,0.720000,0.680000,0.480000
beforeit_abm_us_v1_mean,nominal_gdp,1,61,0.918033,0.819672,0.557377
beforeit_abm_us_v1_mean,nominal_gdp,2,60,0.183333,0.033333,0.016667
beforeit_abm_us_v1_mean,nominal_gdp,4,58,0.741379,0.568966,0.310345
beforeit_abm_us_v1_mean,nominal_gdp,8,54,0.777778,0.703704,0.370370
beforeit_abm_us_v1_mean,nominal_gdp,12,50,0.700000,0.640000,0.420000
beforeit_abm_us_v1_mean,unemployment_rate,1,61,0.344262,0.245902,0.131148
beforeit_abm_us_v1_mean,unemployment_rate,2,60,0.550000,0.483333,0.216667
beforeit_abm_us_v1_mean,unemployment_rate,4,58,0.568966,0.344828,0.137931
beforeit_abm_us_v1_mean,unemployment_rate,8,54,0.537037,0.351852,0.185185
beforeit_abm_us_v1_mean,unemployment_rate,12,50,0.560000,0.460000,0.220000
beforeit_abm_us_v1_mean,effective_federal_funds_rate,1,61,0.754098,0.688525,0.557377
beforeit_abm_us_v1_mean,effective_federal_funds_rate,2,60,0.666667,0.583333,0.350000
beforeit_abm_us_v1_mean,effective_federal_funds_rate,4,58,0.517241,0.431034,0.103448
beforeit_abm_us_v1_mean,effective_federal_funds_rate,8,54,0.351852,0.240741,0.129630
beforeit_abm_us_v1_mean,effective_federal_funds_rate,12,50,0.180000,0.140000,0.040000
