model_family,target_id,horizon,origin_count,monte_carlo_paths,mean_ensemble_sd,mean_monte_carlo_standard_error,maximum_monte_carlo_standard_error
beforeit_abm_us_v1,real_gdp,1,61,500,3.223509488612709,0.14415972685307202,0.2395033259117522
beforeit_abm_us_v1,real_gdp,2,60,500,3.249577104530513,0.14532550607714334,0.24130555482083862
beforeit_abm_us_v1,real_gdp,4,58,500,3.2685804761028603,0.14617536268989245,0.2545482506216257
beforeit_abm_us_v1,real_gdp,8,54,500,3.1893670320367784,0.1426328297766197,0.2493516840343406
beforeit_abm_us_v1,real_gdp,12,50,500,3.0355762377489715,0.13575509636979524,0.24588245323972385
beforeit_abm_us_v1,gdp_deflator,1,61,500,0.8596908196241544,0.03844654224624239,0.05307149257354619
beforeit_abm_us_v1,gdp_deflator,2,60,500,1.0068623372875114,0.045028252603183945,0.06586067564975062
beforeit_abm_us_v1,gdp_deflator,4,58,500,1.0774853174148968,0.04818660828995294,0.08189358596607824
beforeit_abm_us_v1,gdp_deflator,8,54,500,1.0738184945814795,0.04802262298761355,0.09409719231008869
beforeit_abm_us_v1,gdp_deflator,12,50,500,1.0371656425411582,0.04638345761298554,0.10021922832628283
beforeit_abm_us_v1,nominal_gdp,1,61,500,3.3394690531921603,0.14934559623389063,0.2424817594581447
beforeit_abm_us_v1,nominal_gdp,2,60,500,3.405014718449057,0.152276887496788,0.24568149238603113
beforeit_abm_us_v1,nominal_gdp,4,58,500,3.4403558244295467,0.15385738980423597,0.26409791165352536
beforeit_abm_us_v1,nominal_gdp,8,54,500,3.3845048427610216,0.1513596579718176,0.2596839897962239
beforeit_abm_us_v1,nominal_gdp,12,50,500,3.211104562736998,0.14360496170279333,0.2535194729555898
beforeit_abm_us_v1,unemployment_rate,1,61,500,0.4142422503330103,0.01852547661794192,0.03511723199319382
beforeit_abm_us_v1,unemployment_rate,2,60,500,0.727440083699993,0.032532109534226424,0.05451854056496247
beforeit_abm_us_v1,unemployment_rate,4,58,500,1.0794652646295508,0.0482751542212295,0.07015184205074028
beforeit_abm_us_v1,unemployment_rate,8,54,500,0.9443199154769496,0.042231270470266306,0.06537481990679049
beforeit_abm_us_v1,unemployment_rate,12,50,500,0.46621591189163525,0.020849809423634978,0.055600858733457624
beforeit_abm_us_v1,effective_federal_funds_rate,1,61,500,0.13919088137023536,0.006224805451839108,0.00846765809244363
beforeit_abm_us_v1,effective_federal_funds_rate,2,60,500,0.18957724529166464,0.008478152149186279,0.011229472791497415
beforeit_abm_us_v1,effective_federal_funds_rate,4,58,500,0.2507922319869003,0.011215769579032126,0.014716693350840639
beforeit_abm_us_v1,effective_federal_funds_rate,8,54,500,0.3137775279335326,0.014032557645424357,0.017571378207785496
beforeit_abm_us_v1,effective_federal_funds_rate,12,50,500,0.3360133758869746,0.015026974996649275,0.019084897913755023
