sample_track,model_id,benchmark_model_id,target_id,horizon,observation_count,rmse_ratio,mae_ratio,rmse_gain_percent
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,real_gdp,1,61,1.0665903423144358,1.028226311701386,-6.6590342314435835
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,real_gdp,2,60,1.2329013996791074,1.2017210591223684,-23.29013996791074
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,real_gdp,4,58,1.4233668302809415,1.4913855900652064,-42.33668302809414
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,real_gdp,8,54,1.124942701926184,1.2884071653359905,-12.494270192618394
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,real_gdp,12,50,1.362119101267478,1.473616862868738,-36.2119101267478
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,gdp_deflator,1,61,0.8201981791745148,0.9136781438229933,17.980182082548524
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,gdp_deflator,2,60,0.7405539857393934,0.823310798522962,25.944601426060665
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,gdp_deflator,4,58,0.9024636013397772,0.9587299200573439,9.75363986602228
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,gdp_deflator,8,54,1.3698089906219195,1.341237922582381,-36.98089906219195
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,gdp_deflator,12,50,1.1453251948091576,1.2209976629069932,-14.532519480915763
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,nominal_gdp,1,61,1.0068235078574646,1.0027193145059186,-0.682350785746455
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,nominal_gdp,2,60,1.1016294353723104,1.059902472902268,-10.16294353723104
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,nominal_gdp,4,58,1.3576493580308868,1.2807048214031271,-35.76493580308868
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,nominal_gdp,8,54,1.198799769453359,1.2934866727004672,-19.879976945335898
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,nominal_gdp,12,50,1.319549876843246,1.425258769607528,-31.95498768432461
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,unemployment_rate,1,61,0.6378680332082469,0.7278473019648519,36.21319667917531
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,unemployment_rate,2,60,0.5105001667664634,0.7612798690962689,48.94998332335366
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,unemployment_rate,4,58,0.48220628986529274,0.8024887280829184,51.77937101347072
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,unemployment_rate,8,54,1.1161544878093337,1.1832998163783772,-11.615448780933368
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,unemployment_rate,12,50,0.7063437216114828,1.0017105254058,29.365627838851715
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.5639360326953327,0.4991206761787957,43.606396730466734
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.5644217411180193,0.5511952565273139,43.55782588819807
abm_all_available_common_cells,naive_no_change,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,0.6103340156038699,0.6268406568340811,38.96659843961301
