sample_track,model_id,target_id,horizon,observation_count,origin_start,origin_end,rmse,mae,mase,mean_error
abm_all_available_common_cells,naive_no_change,real_gdp,1,61,2010Q2,2025Q2,9.693765927710036,3.7466413662963607,1.5124431480966967,-0.007059662819639371
abm_all_available_common_cells,naive_no_change,real_gdp,2,60,2010Q2,2025Q1,9.06183055046393,4.162781975398633,1.7342717390781615,-0.018739049886333164
abm_all_available_common_cells,naive_no_change,real_gdp,4,58,2010Q2,2024Q3,9.041778259522694,4.372767116680466,1.8370147115761009,-0.02006951342384465
abm_all_available_common_cells,naive_no_change,real_gdp,8,54,2010Q2,2023Q3,8.838793537745401,4.426429524585092,1.878882377388295,-0.03261304249049993
abm_all_available_common_cells,naive_no_change,real_gdp,12,50,2010Q2,2022Q3,9.167099622202198,4.32315139987688,1.830907386287334,-0.1548588001395598
abm_all_available_common_cells,naive_no_change,gdp_deflator,1,61,2010Q2,2025Q2,1.4762633833399403,1.0849748503133443,1.4404163582209402,-0.028200242409704902
abm_all_available_common_cells,naive_no_change,gdp_deflator,2,60,2010Q2,2025Q1,1.5828827102902885,1.1715454340436664,1.555705034218127,-0.04340562003433333
abm_all_available_common_cells,naive_no_change,gdp_deflator,4,58,2010Q2,2024Q3,2.1288352967685653,1.4872040051017068,1.9446190717387661,-0.0722117802219138
abm_all_available_common_cells,naive_no_change,gdp_deflator,8,54,2010Q2,2023Q3,2.8643591434765674,2.020828034300074,2.7107880065232743,-0.09790499759381481
abm_all_available_common_cells,naive_no_change,gdp_deflator,12,50,2010Q2,2022Q3,2.7092472553873157,2.00498372971656,2.6967965302739496,-0.21409048025811997
abm_all_available_common_cells,naive_no_change,nominal_gdp,1,61,2010Q2,2025Q2,10.495644272313646,4.0986560219665895,1.605662502457393,-0.03534389090993428
abm_all_available_common_cells,naive_no_change,nominal_gdp,2,60,2010Q2,2025Q1,9.603669839740789,4.413167731554067,1.8146760417479528,-0.06220619116246677
abm_all_available_common_cells,naive_no_change,nominal_gdp,4,58,2010Q2,2024Q3,10.027024722070056,4.830027710374138,1.9816455529246249,-0.0922903505295519
abm_all_available_common_cells,naive_no_change,nominal_gdp,8,54,2010Q2,2023Q3,10.476122683411633,5.676457023787851,2.3508195725492924,-0.13054553753866677
abm_all_available_common_cells,naive_no_change,nominal_gdp,12,50,2010Q2,2022Q3,10.220590765581278,5.625786895154081,2.305343117663435,-0.3690213470721602
abm_all_available_common_cells,naive_no_change,unemployment_rate,1,61,2010Q2,2025Q2,1.3413895956652229,0.43005464480878686,1.629282399838469,0.08688524590163937
abm_all_available_common_cells,naive_no_change,unemployment_rate,2,60,2010Q2,2025Q1,1.6888468562020933,0.71611111111115,2.7182468317728805,0.17611111111111669
abm_all_available_common_cells,naive_no_change,unemployment_rate,4,58,2010Q2,2024Q3,2.0096272123374574,1.1442528735632416,4.317326981597152,0.35919540229886204
abm_all_available_common_cells,naive_no_change,unemployment_rate,8,54,2010Q2,2023Q3,2.5021842310122318,1.7512345679013333,6.6346261972907214,0.7413580246913704
abm_all_available_common_cells,naive_no_change,unemployment_rate,12,50,2010Q2,2022Q3,2.7534786079511417,2.0773333333333603,7.947501149990914,1.15066666666668
abm_all_available_common_cells,naive_no_change,effective_federal_funds_rate,1,61,2010Q2,2025Q2,0.3743381404547077,0.1862008773860328,0.7459767455191761,-0.0672797131147541
abm_all_available_common_cells,naive_no_change,effective_federal_funds_rate,2,60,2010Q2,2025Q1,0.7027605357464869,0.37371165118500005,1.5094261835723526,-0.13742708333333334
abm_all_available_common_cells,naive_no_change,effective_federal_funds_rate,4,58,2010Q2,2024Q3,1.2648265883479501,0.7460488875244655,3.0368404846117016,-0.2911618784981551
abm_all_available_common_cells,naive_no_change,effective_federal_funds_rate,8,54,2010Q2,2023Q3,2.0354727063707823,1.3467872457341667,5.519831375870109,-0.6997468363536853
abm_all_available_common_cells,naive_no_change,effective_federal_funds_rate,12,50,2010Q2,2022Q3,2.381955197707287,1.6881261383992001,6.853288308238133,-1.11203335109188
abm_all_available_common_cells,naive_drift,real_gdp,1,61,2010Q2,2025Q2,9.756036468837962,3.775995848533776,1.5240284449975392,0.022827930444292304
abm_all_available_common_cells,naive_drift,real_gdp,2,60,2010Q2,2025Q1,9.17907549817391,4.223139020278808,1.7580603003296675,0.0409015177093526
abm_all_available_common_cells,naive_drift,real_gdp,4,58,2010Q2,2024Q3,9.277953387521917,4.488288262753476,1.8820025621092824,0.10305427783413587
abm_all_available_common_cells,naive_drift,real_gdp,8,54,2010Q2,2023Q3,9.312045115065304,4.717580822769526,1.991857689347341,0.21718408330162897
abm_all_available_common_cells,naive_drift,real_gdp,12,50,2010Q2,2022Q3,9.900820736331344,4.723844162784506,1.984178418837103,0.22045139741142614
abm_all_available_common_cells,naive_drift,gdp_deflator,1,61,2010Q2,2025Q2,1.4864215910747332,1.0889457074411384,1.445809507545708,-0.03009461643212458
abm_all_available_common_cells,naive_drift,gdp_deflator,2,60,2010Q2,2025Q1,1.6047661715317716,1.1856789159469538,1.5758098661620061,-0.0471788806035661
abm_all_available_common_cells,naive_drift,gdp_deflator,4,58,2010Q2,2024Q3,2.1837929887241225,1.518194876021553,1.9844681908121466,-0.08091820041597467
abm_all_available_common_cells,naive_drift,gdp_deflator,8,54,2010Q2,2023Q3,3.0137508478752393,2.127488865334472,2.8496683650175583,-0.11602205313232436
abm_all_available_common_cells,naive_drift,gdp_deflator,12,50,2010Q2,2022Q3,2.9212935986345077,2.180543959115292,2.9273478228230148,-0.2528059933882529
abm_all_available_common_cells,naive_drift,nominal_gdp,1,61,2010Q2,2025Q2,10.562924542645133,4.126708767849322,1.6163427399001755,-0.00736523428159395
abm_all_available_common_cells,naive_drift,nominal_gdp,2,60,2010Q2,2025Q1,9.727581191574911,4.480302897706803,1.840625743591164,-0.006367813749539882
abm_all_available_common_cells,naive_drift,nominal_gdp,4,58,2010Q2,2024Q3,10.286528083331106,4.986632331533795,2.038670747159207,0.022068707088664867
abm_all_available_common_cells,naive_drift,nominal_gdp,8,54,2010Q2,2023Q3,11.027370247802198,6.027384834998876,2.4764227224200477,0.10101572919343564
abm_all_available_common_cells,naive_drift,nominal_gdp,12,50,2010Q2,2022Q3,11.024149743170275,6.044355568449037,2.448850251404091,-0.032614184581130544
abm_all_available_common_cells,naive_drift,unemployment_rate,1,61,2010Q2,2025Q2,1.3550220416890622,0.4616647323967297,1.7512773109905533,0.1198910249194734
abm_all_available_common_cells,naive_drift,unemployment_rate,2,60,2010Q2,2025Q1,1.7264695075062717,0.7856206372892867,2.9870180945796228,0.2431555217133724
abm_all_available_common_cells,naive_drift,unemployment_rate,4,58,2010Q2,2024Q3,2.115070356226006,1.2889137564458586,4.876045969785774,0.4977193473611557
abm_all_available_common_cells,naive_drift,unemployment_rate,8,54,2010Q2,2023Q3,2.8015672861620833,2.0653090562884864,7.847973045580907,1.0393040331009886
abm_all_available_common_cells,naive_drift,unemployment_rate,12,50,2010Q2,2022Q3,3.3053002721284743,2.571024827111893,9.852757945124633,1.63793947503045
abm_all_available_common_cells,naive_drift,effective_federal_funds_rate,1,61,2010Q2,2025Q2,0.3975360601581026,0.2529880665369654,0.9839729980612822,-0.1525236074178854
abm_all_available_common_cells,naive_drift,effective_federal_funds_rate,2,60,2010Q2,2025Q1,0.7562502901394167,0.5079396803825554,1.9856332138963786,-0.31002184734854576
abm_all_available_common_cells,naive_drift,effective_federal_funds_rate,4,58,2010Q2,2024Q3,1.3979730440564302,1.0216856349178807,4.009888964521196,-0.6454006118930037
abm_all_available_common_cells,naive_drift,effective_federal_funds_rate,8,54,2010Q2,2023Q3,2.4077990959499807,1.9188468204912439,7.486577057699134,-1.4531981004470398
abm_all_available_common_cells,naive_drift,effective_federal_funds_rate,12,50,2010Q2,2022Q3,3.0957484916146436,2.5828698864814674,9.903369698245882,-2.312323927348523
abm_all_available_common_cells,naive_historical_mean,real_gdp,1,61,2010Q2,2025Q2,6.108437207343514,2.6046229042079028,1.0788234503380987,-0.4719393158880739
abm_all_available_common_cells,naive_historical_mean,real_gdp,2,60,2010Q2,2025Q1,6.135521040243206,2.6294126171963152,1.1336693866440573,-0.46326987882741977
abm_all_available_common_cells,naive_historical_mean,real_gdp,4,58,2010Q2,2024Q3,6.2202892759537995,2.6652352151399428,1.1759874667476775,-0.5311316873960363
abm_all_available_common_cells,naive_historical_mean,real_gdp,8,54,2010Q2,2023Q3,6.420281352641419,2.724921049900153,1.228641375124033,-0.5316733573827261
abm_all_available_common_cells,naive_historical_mean,real_gdp,12,50,2010Q2,2022Q3,6.6623838739345,2.8738101830615994,1.284507046797659,-0.6024701076322095
abm_all_available_common_cells,naive_historical_mean,gdp_deflator,1,61,2010Q2,2025Q2,1.860778477848113,1.1705814108266417,1.5039539003050342,-0.39049182537167204
abm_all_available_common_cells,naive_historical_mean,gdp_deflator,2,60,2010Q2,2025Q1,1.8878427512147233,1.1790333623709814,1.5188223280918325,-0.4147703928956641
abm_all_available_common_cells,naive_historical_mean,gdp_deflator,4,58,2010Q2,2024Q3,1.9463700609956636,1.2284690968798502,1.6066657585463375,-0.43241764898706764
abm_all_available_common_cells,naive_historical_mean,gdp_deflator,8,54,2010Q2,2023Q3,2.024805556430599,1.2875543780654577,1.7526085959374997,-0.4870719355196866
abm_all_available_common_cells,naive_historical_mean,gdp_deflator,12,50,2010Q2,2022Q3,2.102217006254978,1.3756975982221435,1.8922673370381813,-0.5582462455230751
abm_all_available_common_cells,naive_historical_mean,nominal_gdp,1,61,2010Q2,2025Q2,6.8855677636856605,3.168732019871121,1.2343223442551512,-0.8624826378739144
abm_all_available_common_cells,naive_historical_mean,nominal_gdp,2,60,2010Q2,2025Q1,6.92672527991079,3.2227396760797267,1.3049249664349918,-0.8780874225903358
abm_all_available_common_cells,naive_historical_mean,nominal_gdp,4,58,2010Q2,2024Q3,7.041749266663669,3.2855634145780783,1.3722479321636913,-0.9635502411975478
