idx,code,supply,imports,uses_before,uses_after,delta,delta_pct,gap_before_pct,gap_after_pct
1,111CA,624228.798814,59884.410267,714528.106428,624228.798814,-90299.307614,-12.637615,14.465739,0.000000
2,113FF,86310.179763,19359.351014,112400.581642,86310.179763,-26090.401880,-23.211981,30.228650,0.000000
3,211,606227.355777,172193.828074,626257.819765,606227.355777,-20030.463988,-3.198437,3.304117,0.000000
4,212,140213.969059,6144.787094,133304.303914,140213.969059,6909.665144,5.183377,-4.927943,0.000000
5,213,111956.561821,2463.665042,141367.717835,111956.561821,-29411.156014,-20.804719,26.270149,0.000000
6,22,599339.511415,2467.630700,794073.005894,599339.511415,-194733.494479,-24.523374,32.491349,0.000000
7,23,2466341.916741,0.000000,2890418.282526,2466341.916741,-424076.365785,-14.671799,17.194549,0.000000
8,311FT,1373037.650624,155301.116346,1472591.023078,1373037.650624,-99553.372455,-6.760422,7.250593,0.000000
9,313TT,80713.727643,34956.283986,81295.208034,80713.727643,-581.480391,-0.715270,0.720423,0.000000
10,315AL,175635.095446,154162.972495,178426.256256,175635.095446,-2791.160810,-1.564322,1.589182,0.000000
11,321,195374.915440,24261.895734,220207.053007,195374.915440,-24832.137567,-11.276722,12.709993,0.000000
12,322,244601.158694,29919.898307,259368.654430,244601.158694,-14767.495736,-5.693632,6.037378,0.000000
13,323,86489.437290,3279.599178,72291.595662,86489.437290,14197.841628,19.639685,-16.415694,0.000000
14,324,702774.766548,70706.690989,776703.053369,702774.766548,-73928.286820,-9.518218,10.519485,0.000000
15,325,1349584.534666,371562.327694,1358649.972176,1349584.534666,-9065.437510,-0.667239,0.671721,0.000000
16,326,365209.118048,73253.634849,381077.410715,365209.118048,-15868.292666,-4.164060,4.344988,0.000000
17,327,204396.969791,32105.967288,237178.435125,204396.969791,-32781.465334,-13.821436,16.038137,0.000000
18,331,392455.922868,94275.587985,444494.793219,392455.922868,-52038.870351,-11.707420,13.259800,0.000000
19,332,541390.001457,88277.530238,584612.912640,541390.001457,-43222.911183,-7.393424,7.983692,0.000000
20,333,659272.288466,229076.235223,726394.061172,659272.288466,-67121.772706,-9.240408,10.181191,0.000000
21,334,850892.110596,441506.620930,820757.507961,850892.110596,30134.602635,3.671560,-3.541530,0.000000
22,335,361094.292667,170927.791753,390598.918606,361094.292667,-29504.625939,-7.553689,8.170892,0.000000
23,3361MV,1164940.642050,413077.810036,1214226.829269,1164940.642050,-49286.187219,-4.059059,4.230790,0.000000
24,3364OT,433245.218158,59887.384510,446388.423902,433245.218158,-13143.205744,-2.944343,3.033664,0.000000
25,337,132455.151973,49414.081693,139983.572869,132455.151973,-7528.420895,-5.378075,5.683751,0.000000
26,339,301247.064613,125179.960894,296630.636210,301247.064613,4616.428403,1.556288,-1.532439,0.000000
27,42,2613363.101695,0.000000,1833662.661111,2613363.101695,779700.440584,42.521477,-29.835136,0.000000
28,481,362218.170818,68998.483799,366780.409305,362218.170818,-4562.238487,-1.243861,1.259528,0.000000
29,482,94834.373224,0.000000,80832.501627,94834.373224,14001.871596,17.322081,-14.764553,0.000000
30,483,75402.189184,0.000000,58232.153096,75402.189184,17170.036088,29.485491,-22.771270,0.000000
31,484,518353.691607,0.000000,395298.454804,518353.691607,123055.236803,31.129703,-23.739628,0.000000
32,485,174339.197982,0.000000,201143.919635,174339.197982,-26804.721653,-13.326141,15.375040,0.000000
33,486,72727.776162,0.000000,75293.385424,72727.776162,-2565.609263,-3.407483,3.527688,0.000000
34,487OS,351408.201631,0.000000,327429.142684,351408.201631,23979.058947,7.323435,-6.823705,0.000000
35,493,187187.920225,0.000000,147126.001758,187187.920225,40061.918467,27.229666,-21.401979,0.000000
36,4A0,2516336.983722,0.000000,2264488.329533,2516336.983722,251848.654188,11.121658,-10.008542,0.000000
37,511,653316.818613,6177.503773,578896.982848,653316.818613,74419.835766,12.855454,-11.391079,0.000000
38,512,215174.703617,11107.808099,224319.959560,215174.703617,-9145.255943,-4.076880,4.250154,0.000000
39,513,891735.864283,134.832373,772687.695993,891735.864283,119048.168290,15.407023,-13.350160,0.000000
40,514,883575.759065,2053.219437,689825.837061,883575.759065,193749.922004,28.086788,-21.927935,0.000000
41,521CI,1423837.902236,8369.521240,1395371.001640,1423837.902236,28466.900596,2.040095,-1.999308,0.000000
42,523,925469.732330,48.579311,943553.759625,925469.732330,-18084.027295,-1.916587,1.954038,0.000000
43,524,1576466.987736,93455.688191,1572228.569470,1576466.987736,4238.418266,0.269580,-0.268856,0.000000
44,525,263152.233174,0.000000,304319.858652,263152.233174,-41167.625478,-13.527749,15.644034,0.000000
45,532RL,645133.342088,0.000000,732859.329072,645133.342088,-87725.986984,-11.970372,13.598117,0.000000
46,5411,466146.803647,5973.272385,475614.753573,466146.803647,-9467.949927,-1.990676,2.031109,0.000000
47,5412OP,2381875.516578,133673.408948,3516279.155152,2381875.516578,-1134403.638574,-32.261478,47.626487,0.000000
48,5415,782935.779078,61850.385227,948091.965120,782935.779078,-165156.186042,-17.419849,21.094474,0.000000
49,55,850635.862211,0.000000,767952.482259,850635.862211,82683.379952,10.766731,-9.720185,0.000000
50,561,1322696.056349,4531.755696,1240491.438781,1322696.056349,82204.617569,6.626778,-6.214929,0.000000
