idx,code,supply,imports,uses_before,uses_after,delta,delta_pct,gap_before_pct,gap_after_pct
1,111CA,439893.399369,31983.929530,506462.494776,439893.399369,-66569.095407,-13.143934,15.133006,0.000000
2,113FF,61890.100029,15979.075216,75751.675300,61890.100029,-13861.575272,-18.298705,22.397080,0.000000
3,211,677785.664051,332177.568570,660568.374492,677785.664051,17217.289559,2.606436,-2.540226,0.000000
4,212,125436.295909,6439.817171,118172.772207,125436.295909,7263.523702,6.146529,-5.790608,0.000000
5,213,125586.030182,983.571768,200760.663763,125586.030182,-75174.633581,-37.444902,59.859073,0.000000
6,22,426743.710405,2081.166473,558449.481753,426743.710405,-131705.771348,-23.584187,30.862967,0.000000
7,23,1058651.128149,0.000000,1275935.401700,1058651.128149,-217284.273551,-17.029410,20.524634,0.000000
8,311FT,933982.603301,78843.390548,1005889.284435,933982.603301,-71906.681133,-7.148568,7.698932,0.000000
9,313TT,76442.385136,25668.050334,76706.556903,76442.385136,-264.171767,-0.344393,0.345583,0.000000
10,315AL,136774.830673,118061.331792,139224.762075,136774.830673,-2449.931402,-1.759695,1.791215,0.000000
11,321,92542.721899,13369.437218,100429.569831,92542.721899,-7886.847932,-7.853113,8.522386,0.000000
12,322,197270.770317,21156.708051,205363.295675,197270.770317,-8092.525358,-3.940590,4.102242,0.000000
13,323,84323.629762,2437.116337,67399.946769,84323.629762,16923.682993,25.109342,-20.069918,0.000000
14,324,913479.402521,99247.547217,939773.939875,913479.402521,-26294.537354,-2.797964,2.878504,0.000000
15,325,984864.453153,204623.579411,1011261.657239,984864.453153,-26397.204086,-2.610324,2.680288,0.000000
16,326,256796.109725,43667.810291,266767.569659,256796.109725,-9971.459934,-3.737883,3.883026,0.000000
17,327,117296.172745,19591.123553,128674.674356,117296.172745,-11378.501611,-8.842845,9.700659,0.000000
18,331,349465.509245,83002.748983,377881.906288,349465.509245,-28416.397044,-7.519915,8.131388,0.000000
19,332,395905.693839,55741.352045,415800.930446,395905.693839,-19895.236607,-4.784798,5.025246,0.000000
20,333,540731.590076,140634.898771,594312.404526,540731.590076,-53580.814450,-9.015598,9.908948,0.000000
21,334,646218.741124,294067.137069,648604.315360,646218.741124,-2385.574236,-0.367801,0.369159,0.000000
22,335,199275.749979,76961.516339,211359.479515,199275.749980,-12083.729536,-5.717146,6.063823,0.000000
23,3361MV,767516.942166,260263.798069,815848.497267,767516.942166,-48331.555101,-5.924085,6.297132,0.000000
24,3364OT,333954.474888,45369.230809,338928.207911,333954.474888,-4973.733023,-1.467489,1.489345,0.000000
25,337,94424.004855,29719.334855,97494.567146,94424.004855,-3070.562292,-3.149470,3.251887,0.000000
26,339,232650.607882,77814.209606,231260.655461,232650.607882,1389.952421,0.601033,-0.597442,0.000000
27,42,1465066.652209,0.000000,1053256.507825,1465066.652209,411810.144384,39.098751,-28.108629,0.000000
28,481,222106.517704,45707.333604,231861.992989,222106.517704,-9755.475285,-4.207449,4.392251,0.000000
29,482,78935.243773,0.000000,71524.605524,78935.243773,7410.638249,10.360963,-9.388250,0.000000
30,483,49323.037657,0.000000,37609.368592,49323.037657,11713.669065,31.145615,-23.748880,0.000000
31,484,289826.239118,0.000000,245845.838011,289826.239118,43980.401106,17.889423,-15.174748,0.000000
32,485,49794.480906,0.000000,66526.170639,49794.480906,-16731.689733,-25.150538,33.601494,0.000000
33,486,36195.369149,0.000000,41165.184943,36195.369149,-4969.815794,-12.072862,13.730529,0.000000
34,487OS,184616.185837,0.000000,175157.860194,184616.185837,9458.325644,5.399886,-5.123237,0.000000
35,493,107709.002652,0.000000,78236.581327,107709.002652,29472.421324,37.670896,-27.363006,0.000000
36,4A0,1221897.883652,0.000000,1024824.037043,1221897.883652,197073.846609,19.230018,-16.128504,0.000000
37,511,297385.187581,3682.445107,226885.788032,297385.187581,70499.399548,31.072638,-23.706426,0.000000
38,512,134611.636519,6774.945455,141682.991787,134611.636519,-7071.355269,-4.990970,5.253153,0.000000
