origin_index,parameter,mode_value
40,tau,2.4002800506653212
40,kappa,0.16239893253475593
40,psi1,1.5169903878737103
40,psi2,0.4455056300289178
40,r_annual,1.946195477874513e-8
40,pi_star,1.4950540526134037
40,gamma_quarterly,0.09678362342608271
40,rho_rate,0.7861488342241587
40,rho_g,0.9247940041176025
40,rho_z,0.894814247695549
40,sigma_rate,0.1651410199771746
40,sigma_g,0.7151689759170236
40,sigma_z,0.2460928817568456
41,tau,2.4553658247974455
41,kappa,0.16270182307933226
41,psi1,1.512150915577157
41,psi2,0.4396557114108884
41,r_annual,7.505165321868329e-8
41,pi_star,1.401231777559651
41,gamma_quarterly,0.08004073867035012
41,rho_rate,0.785822689216648
41,rho_g,0.9212053520781249
41,rho_z,0.8967695557794912
41,sigma_rate,0.16376663686627727
41,sigma_g,0.7247861434248752
41,sigma_z,0.24279710755401024
42,tau,2.454289458759493
42,kappa,0.16243233151744443
42,psi1,1.5151051111082086
42,psi2,0.4424085586737763
42,r_annual,1.2392040880443792e-7
42,pi_star,1.402259561709725
42,gamma_quarterly,0.07178890326671994
42,rho_rate,0.7921215813897339
42,rho_g,0.9234509533734069
42,rho_z,0.8976672556431589
42,sigma_rate,0.16258891520007385
42,sigma_g,0.7198203050367157
42,sigma_z,0.24266738969713947
43,tau,2.4749753665800474
43,kappa,0.16052792244696756
43,psi1,1.5195889779823248
43,psi2,0.4477998565865764
43,r_annual,1.5655507722162173e-7
43,pi_star,1.3916160657617749
43,gamma_quarterly,0.057619907398627275
43,rho_rate,0.7964473978725037
43,rho_g,0.9240442028161961
43,rho_z,0.8988836726642668
43,sigma_rate,0.16113606429504782
43,sigma_g,0.7139056634838177
43,sigma_z,0.24144108106003084
44,tau,2.514071667371327
44,kappa,0.15416642319817386
44,psi1,1.512397899552716
44,psi2,0.43999643833882685
44,r_annual,2.980770070490779e-7
44,pi_star,1.3686622529501475
44,gamma_quarterly,0.04873884623251514
44,rho_rate,0.8034756753382326
44,rho_g,0.9238749678893432
44,rho_z,0.9012258440898858
44,sigma_rate,0.1611295068059854
44,sigma_g,0.7089150812115756
44,sigma_z,0.24006861546250965
45,tau,2.551642692604552
45,kappa,0.15095642646649324
45,psi1,1.5116774995312974
45,psi2,0.4391688383906041
45,r_annual,4.50640075096744e-7
45,pi_star,1.3508462527428657
45,gamma_quarterly,0.03599963826259644
45,rho_rate,0.8082742604801811
45,rho_g,0.9239954818387652
45,rho_z,0.9028623659459083
45,sigma_rate,0.16014943230616213
45,sigma_g,0.7024360907051753
45,sigma_z,0.2384126549732324
46,tau,2.6222288808811145
46,kappa,0.17334328913859248
46,psi1,1.5126509854862726
46,psi2,0.43430332952486805
46,r_annual,1.819818719092905e-6
46,pi_star,1.218810905573951
46,gamma_quarterly,0.0195007596550571
46,rho_rate,0.8041169876563079
46,rho_g,0.9249632543115022
46,rho_z,0.902814857269816
46,sigma_rate,0.15909802831364683
46,sigma_g,0.7492896731375643
46,sigma_z,0.2337449503513145
47,tau,2.5834974614829007
47,kappa,0.17638523266640393
47,psi1,1.5133147834499034
47,psi2,0.434986763046767
47,r_annual,2.3173135127944154e-6
47,pi_star,1.2234051172248626
47,gamma_quarterly,0.013880340874380464
47,rho_rate,0.8089102697810068
47,rho_g,0.9293903051614781
47,rho_z,0.9028004320161668
47,sigma_rate,0.15755374544707887
47,sigma_g,0.7448569435251666
47,sigma_z,0.23597657561191385
48,tau,2.6302572143551646
48,kappa,0.1767022080002832
48,psi1,1.5111772680174862
48,psi2,0.4330147740326187
48,r_annual,3.7532374975063917e-6
48,pi_star,1.1757670399999556
48,gamma_quarterly,0.0008962143866238464
48,rho_rate,0.8094223464746035
48,rho_g,0.9333445388865375
48,rho_z,0.9038034286026896
48,sigma_rate,0.1560737911156639
48,sigma_g,0.74344903360079
48,sigma_z,0.23393322658202917
49,tau,2.6467668926935577
49,kappa,0.1754087875868225
49,psi1,1.5138446554801113
49,psi2,0.43569971282647263
49,r_annual,2.8745112134826786e-9
49,pi_star,1.1758322984431784
49,gamma_quarterly,-0.007508774335845442
49,rho_rate,0.8128548621652065
49,rho_g,0.9352676871125333
49,rho_z,0.904612921164726
49,sigma_rate,0.15478220303243576
49,sigma_g,0.7383901044739218
49,sigma_z,0.23280055529273672
50,tau,2.6799388557047394
50,kappa,0.17337478945058804
50,psi1,1.5133637792035337
50,psi2,0.4358483832370951
50,r_annual,6.76518199349819e-9
50,pi_star,1.1554008651847927
50,gamma_quarterly,-0.018492277812788973
50,rho_rate,0.8149208208486888
50,rho_g,0.9371135514087172
50,rho_z,0.905572835589657
50,sigma_rate,0.15341524839106022
50,sigma_g,0.7320258206936221
50,sigma_z,0.23134705606060113
51,tau,2.720000096513518
51,kappa,0.17111685114584993
51,psi1,1.5092193932112907
51,psi2,0.4326468741010874
51,r_annual,2.2390745395394308e-8
51,pi_star,1.1123452901551567
51,gamma_quarterly,-0.03002545254042819
51,rho_rate,0.8157220459986719
51,rho_g,0.9419533245433687
51,rho_z,0.9064428777073221
51,sigma_rate,0.15209212101843494
51,sigma_g,0.7434237719027452
51,sigma_z,0.23008146970635857
52,tau,2.7521102149560632
52,kappa,0.17343510676023613
52,psi1,1.5079595948449016
52,psi2,0.4314089400734532
52,r_annual,4.069491316245109e-8
52,pi_star,1.0703833412587522
52,gamma_quarterly,-0.03837242322996808
52,rho_rate,0.8153336659190845
52,rho_g,0.9468162531355624
52,rho_z,0.9074279019686794
52,sigma_rate,0.1506798117299562
52,sigma_g,0.7402982821241301
52,sigma_z,0.22699413941624463
53,tau,2.739971374926067
53,kappa,0.17043894295939277
53,psi1,1.5067627748221377
53,psi2,0.4311976649765166
53,r_annual,6.389830498365618e-8
53,pi_star,1.0691282479390365
53,gamma_quarterly,-0.044720863740818614
53,rho_rate,0.8182963170406564
53,rho_g,0.9514676766014716
53,rho_z,0.9081235645333219
53,sigma_rate,0.1493296783650779
53,sigma_g,0.7391088213865312
53,sigma_z,0.2272241325995658
54,tau,2.77143590698108
54,kappa,0.1657179166866244
54,psi1,1.5028465581099073
54,psi2,0.42862461727984696
54,r_annual,1.1858678806155571e-7
54,pi_star,1.0529382459914889
54,gamma_quarterly,-0.05349878534172374
54,rho_rate,0.8209051365606118
54,rho_g,0.9560330437412411
54,rho_z,0.9091910576446536
54,sigma_rate,0.1481928024966636
54,sigma_g,0.7416557782646606
54,sigma_z,0.2265993421945452
55,tau,2.7861922980878604
55,kappa,0.16621600496389072
55,psi1,1.506404656494076
55,psi2,0.4325535727819888
55,r_annual,2.1549651817263303e-7
55,pi_star,1.0388111867312562
55,gamma_quarterly,-0.06580218616446755
55,rho_rate,0.8216590749182102
55,rho_g,0.9573963601612002
55,rho_z,0.9094667488713406
55,sigma_rate,0.14660225060597812
55,sigma_g,0.7351328934815646
55,sigma_z,0.22583709295954374
56,tau,2.7927611918731925
56,kappa,0.15875080104334002
56,psi1,1.498925970907332
56,psi2,0.427200941461865
56,r_annual,2.8120014116246085e-7
56,pi_star,1.0305940749874947
56,gamma_quarterly,-0.07234249376841367
56,rho_rate,0.8253411251307275
56,rho_g,0.9616188894252995
56,rho_z,0.91059230124275
56,sigma_rate,0.14538135995807996
56,sigma_g,0.7424509543007649
56,sigma_z,0.22673800073444172
57,tau,2.814628034191837
57,kappa,0.1600217550341377
57,psi1,1.503890843009902
57,psi2,0.43237483822465184
57,r_annual,1.8627682815469924e-7
57,pi_star,1.0201983726473354
57,gamma_quarterly,-0.08506477953223074
57,rho_rate,0.8259572654546838
57,rho_g,0.9680608815470614
57,rho_z,0.9104983930181393
57,sigma_rate,0.14388866784261925
57,sigma_g,0.7637778921546672
57,sigma_z,0.22658163684730812
58,tau,2.842110724297096
58,kappa,0.16800334056674437
58,psi1,1.5035846540895663
58,psi2,0.43070969653880514
58,r_annual,2.8945591295073704e-7
58,pi_star,0.9747207437257991
58,gamma_quarterly,-0.08924690473345129
58,rho_rate,0.8251754055940678
58,rho_g,0.972272665569359
58,rho_z,0.9110848773427865
58,sigma_rate,0.14283948444958447
58,sigma_g,0.768876098212705
58,sigma_z,0.22245290510124646
59,tau,2.864166093439461
59,kappa,0.16874727935516554
59,psi1,1.4913148235091838
59,psi2,0.41920616518974585
59,r_annual,4.6618622038092927e-7
59,pi_star,0.9325799612060417
59,gamma_quarterly,-0.08004898305879439
59,rho_rate,0.8265586900588282
59,rho_g,0.9755776101951857
59,rho_z,0.9130684808261623
59,sigma_rate,0.14236734159012937
59,sigma_g,0.7808000354628865
59,sigma_z,0.2160758019500471
60,tau,2.7815861369838544
60,kappa,0.18318157749640418
60,psi1,1.5054862665663324
60,psi2,0.4302172605198209
60,r_annual,3.977303675374902e-7
60,pi_star,0.973439816340235
60,gamma_quarterly,-0.0847555691783364
60,rho_rate,0.8285861756404479
60,rho_g,0.9775201245210305
60,rho_z,0.911719707901483
60,sigma_rate,0.14088514537497385
60,sigma_g,0.7796538897337197
60,sigma_z,0.21854016515772803
61,tau,2.8103444266941175
61,kappa,0.18950692919611453
61,psi1,1.5069462822851458
61,psi2,0.43115570200235837
61,r_annual,6.583440287322575e-7
61,pi_star,0.9344196319687191
61,gamma_quarterly,-0.09562345490120355
61,rho_rate,0.8276684759411784
61,rho_g,0.9795158621233265
61,rho_z,0.9115216669804216
61,sigma_rate,0.13962540648451122
61,sigma_g,0.7789923255073368
61,sigma_z,0.21725737395172778
62,tau,2.8534533240363364
62,kappa,0.19274551981986576
62,psi1,1.4954427708058182
62,psi2,0.4210421644009988
62,r_annual,1.1761212386410915e-6
62,pi_star,0.8784739644347134
62,gamma_quarterly,-0.09257019807132427
62,rho_rate,0.8277273821588959
