variant,origin_index,origin_period,target_period,target_id,horizon,paths_used,ensemble_mean,ensemble_median,ensemble_sd,monte_carlo_standard_error,percentile_05,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95
outlook_v3,102,2025Q4,2026Q1,effective_federal_funds_rate,1,500,3.862326951670861,3.861107506979755,0.12814683488120857,0.005730900677916471,3.6578600113423367,3.705307468688166,3.774860262998525,3.940899733290737,4.024246484990686,4.07722548336913
outlook_v3,102,2025Q4,2026Q2,effective_federal_funds_rate,2,500,3.8203152977861854,3.8314482749962075,0.18933259764906715,0.00846721117399862,3.499693451861605,3.5801851922490746,3.692040468156854,3.9554870107267996,4.047918260175329,4.106055483652406
outlook_v3,102,2025Q4,2026Q3,effective_federal_funds_rate,3,500,3.7793316569131736,3.7638352390137575,0.2320401551789373,0.010377151209794074,3.420199544839131,3.4854432975633953,3.620224989672188,3.919586866173402,4.077062081721345,4.167922571382495
outlook_v3,102,2025Q4,2026Q4,effective_federal_funds_rate,4,500,3.7206875278591816,3.712065703803147,0.2783690960520703,0.012449044432151949,3.269193982933354,3.368080206542068,3.5317528105490714,3.8961498015069314,4.100206292832076,4.210272909728359
outlook_v3,102,2025Q4,2027Q1,effective_federal_funds_rate,5,500,3.6643769929499346,3.630722789741292,0.30558741986161636,0.01366628487758687,3.1915658824014757,3.290776687219288,3.456862052509513,3.869103441770022,4.083180155629449,4.185548249262346
outlook_v3,102,2025Q4,2027Q2,effective_federal_funds_rate,6,500,3.6105632224322703,3.603271865719393,0.3335698691303597,0.014917698052423857,3.093441848255978,3.203255896384094,3.382544404115689,3.809641036073824,4.086119270447628,4.184394810577271
outlook_v3,102,2025Q4,2027Q3,effective_federal_funds_rate,7,500,3.557099418485416,3.5458962489603896,0.3589682911329599,0.016053550014804668,2.9998304011601027,3.100628107545098,3.3126590602941874,3.7772658029904425,4.037704287390604,4.182385080342703
outlook_v3,102,2025Q4,2027Q4,effective_federal_funds_rate,8,500,3.5118900903807484,3.503828297309053,0.38777211147985957,0.01734169602095185,2.8910865776122163,3.023337297408606,3.25375377744313,3.7727570996580138,4.0152813292718434,4.182848544543352
outlook_v3,102,2025Q4,2028Q1,effective_federal_funds_rate,9,500,3.4632294444938885,3.449453409688852,0.39400939734999396,0.017620635924966238,2.801302049355404,2.973390296730944,3.2020838926535014,3.731303162285943,3.958514145478629,4.132104447950082
outlook_v3,102,2025Q4,2028Q2,effective_federal_funds_rate,10,500,3.4210701287805025,3.39265503644689,0.4112587689023144,0.01839205127216903,2.7315968980607885,2.9247625515768494,3.159917171238258,3.7045017990116444,3.9374532356339453,4.116297914476093
outlook_v3,102,2025Q4,2028Q3,effective_federal_funds_rate,11,500,3.380038114253126,3.37435126754293,0.43671718064167425,0.019530586057136777,2.6919398129762215,2.8542166491344823,3.076938727728401,3.6658989683068577,3.95035325613456,4.079642835264974
outlook_v3,102,2025Q4,2028Q4,effective_federal_funds_rate,12,500,3.336539622239296,3.320785596982767,0.43814223620946,0.019594316479562446,2.638018401606853,2.8517844479164633,3.0405498796290567,3.6108262985264368,3.912108556877809,4.095665434162372
outlook_v3,102,2025Q4,2026Q1,gdp_deflator,1,500,3.211151106619843,3.1879675828911047,1.1325328907676284,0.05064841061021522,1.2524021821850084,1.7237884346771182,2.388022557371272,3.983200031506584,4.635902620212278,5.008955404202879
outlook_v3,102,2025Q4,2026Q2,gdp_deflator,2,500,2.877402109988131,2.8497946320808154,1.2808721806347243,0.057282345327752664,0.8371944005746457,1.2959473763621077,1.9924042707330614,3.7791420167748058,4.542172986023729,5.007261538318204
outlook_v3,102,2025Q4,2026Q3,gdp_deflator,3,500,2.693851841029223,2.710817064943072,1.3992919761913933,0.06257823958267945,0.367305152809898,0.9411254032520587,1.7859049988572906,3.6138397526880084,4.410585564137436,5.0292226667856
outlook_v3,102,2025Q4,2026Q4,gdp_deflator,4,500,2.53958240059248,2.4711854933766375,1.4755609402303274,0.06598909134597032,0.16450021009472235,0.8225132876629003,1.5404419012252646,3.527439147060818,4.4991442676307285,4.989949972177712
outlook_v3,102,2025Q4,2027Q1,gdp_deflator,5,500,2.401032836694347,2.3782830207643713,1.6151402600271738,0.07223126829234894,-0.24387534125338564,0.39085339681641074,1.2852000024807353,3.3924313868689993,4.410021487591891,5.197556611837975
outlook_v3,102,2025Q4,2027Q2,gdp_deflator,6,500,2.353038219146305,2.2902436844642438,1.5393212200746296,0.06884053774589571,-0.10835952334616657,0.4768826145116378,1.368870970270386,3.3618370929128005,4.3142857731928075,4.8538550475049655
outlook_v3,102,2025Q4,2027Q3,gdp_deflator,7,500,2.327784840770271,2.4141654539754143,1.57890862807683,0.0706109404528145,-0.33521517459366384,0.11660854155429942,1.2362205148908956,3.43528721703521,4.3578594283648195,4.9551070445265575
outlook_v3,102,2025Q4,2027Q4,gdp_deflator,8,500,2.3051215889603194,2.2930691685413507,1.614009002988695,0.07218067693958767,-0.3243550077248969,0.1370132137688529,1.1835281943431752,3.412944195316747,4.318938120192969,4.879858628982277
outlook_v3,102,2025Q4,2028Q1,gdp_deflator,9,500,2.2532870103160403,2.274496582853658,1.6228509714029051,0.07257610178816926,-0.4255897118576258,0.18597572873659363,1.1890823058111621,3.272900997579953,4.356219798983574,4.8738566046176865
outlook_v3,102,2025Q4,2028Q2,gdp_deflator,10,500,2.312378641129604,2.379212036802514,1.6303212037181027,0.07291018073345922,-0.28937167515476153,0.21642190901083322,1.1543368540021248,3.2795101303575436,4.457161704704476,5.059231398796733
outlook_v3,102,2025Q4,2028Q3,gdp_deflator,11,500,2.2837617773627383,2.3632843767234846,1.5726879670416918,0.07033274403402343,-0.29641918585173954,0.3411881090939062,1.1600040652039567,3.3711837357619956,4.263544563610111,4.9198743757151675
outlook_v3,102,2025Q4,2028Q4,gdp_deflator,12,500,2.2610807348492723,2.276166272903879,1.5223179450965412,0.06808012817207316,-0.18807805882914863,0.37612012082654184,1.2423867010355139,3.2471631608839147,4.192940437053707,4.812666419299774
outlook_v3,102,2025Q4,2026Q1,nominal_gdp,1,500,5.4050104794086895,5.322502171117449,4.797864536193558,0.2145670249952859,-2.567414178471914,-1.0270446485007056,2.2904612022465187,8.541615555669857,11.29373738980811,13.586840130187525
outlook_v3,102,2025Q4,2026Q2,nominal_gdp,2,500,5.00190998208379,4.6914011084201235,4.940744576929479,0.22095681466955508,-2.688270227008651,-1.3386568238168906,1.7186770612106272,8.235111248760774,11.709956635749776,13.521419627691673
outlook_v3,102,2025Q4,2026Q3,nominal_gdp,3,500,5.061797544845039,5.098049221572509,4.764440152395082,0.2130722411096972,-2.5574887750182285,-1.3884712098617058,1.983414794591809,8.24847964725528,10.830942960430505,12.839422672267808
outlook_v3,102,2025Q4,2026Q4,nominal_gdp,4,500,4.661299793743594,4.999379048327768,4.875567847740351,0.21804202272919537,-3.727875818202051,-1.5929804609562126,1.3678575532269477,7.8601407246470245,10.323230278378478,12.412884520223676
outlook_v3,102,2025Q4,2027Q1,nominal_gdp,5,500,5.1841147806056656,5.387273762414324,5.152738993646166,0.23043749320213366,-3.2664421375345754,-1.6179122204640353,1.600299694534435,8.546651086152757,11.758756818785303,13.756667047606328
outlook_v3,102,2025Q4,2027Q2,nominal_gdp,6,500,5.115783079362221,4.6316819797400655,5.06030226568085,0.2263035970551716,-2.7073328579305667,-1.0705202426281346,1.467158147592329,8.575239086415998,12.168810688323791,14.195504759794844
outlook_v3,102,2025Q4,2027Q3,nominal_gdp,7,500,5.314804753384564,5.3770841974241534,5.27023906467817,0.23569225612590594,-3.3870535154054338,-1.3636516395581566,1.6825462989674023,8.874525098903696,12.05874414569408,13.646349251459855
outlook_v3,102,2025Q4,2027Q4,nominal_gdp,8,500,5.172113664954692,5.589759464842103,5.250521420877614,0.23481045628802255,-3.626680554707171,-1.5776999857561693,1.650868089983959,8.826573933125559,11.860358793528789,13.151749972970673
outlook_v3,102,2025Q4,2028Q1,nominal_gdp,9,500,5.264012019978529,5.440582033489605,5.193642375293353,0.23226674803958824,-3.3718457493247556,-1.2840593028936098,1.8748100742254081,8.818746766341512,11.543203376573956,13.732479219029372
outlook_v3,102,2025Q4,2028Q2,nominal_gdp,10,500,5.346815771137298,5.251674419082164,5.05585944498728,0.2261049080735183,-2.805036168378514,-1.0056569466355825,2.1043169692347874,8.748064411645373,11.880535007415249,13.920995865427132
outlook_v3,102,2025Q4,2028Q3,nominal_gdp,11,500,5.203212263055621,5.162693090149517,5.149070481582306,0.23027343235511227,-3.1371545492961417,-1.0285005897478072,1.455950094798908,8.569978460215744,12.085473218018947,13.915508046993956
outlook_v3,102,2025Q4,2028Q4,nominal_gdp,12,500,4.7790744048498075,4.919086626268765,5.264931524838487,0.23545489572840958,-4.265798324912602,-2.190004517054547,1.4338517763526681,8.169748471261151,11.343232733343244,13.868924358628334
outlook_v3,102,2025Q4,2026Q1,real_gdp,1,500,2.1938593727888462,1.9646795915726045,4.649352222822719,0.20792535243142696,-5.3531582324959714,-3.771301501647244,-0.9159440522108042,5.331298463426215,8.30302455891385,9.885999477330857
outlook_v3,102,2025Q4,2026Q2,real_gdp,2,500,2.12450787209566,1.9968802072430236,4.809837197732826,0.2151024586967539,-5.666720923385107,-3.9763380518355262,-1.0573074372636881,5.175497585227973,8.60743499169928,10.423571373308214
outlook_v3,102,2025Q4,2026Q3,real_gdp,3,500,2.3679457038158147,2.396075589173563,4.6327547158601625,0.2071830893549209,-5.228782579756732,-3.7521802665629878,-0.5534604704402923,5.37032007214826,8.319966726133293,9.739368776808066
outlook_v3,102,2025Q4,2026Q4,real_gdp,4,500,2.1217173931511133,2.4589926985363775,4.7527968535273715,0.21255153695468626,-6.370165090184443,-4.31667134393912,-1.0489873138011419,5.311687870185544,8.003628983527662,9.578429056124095
outlook_v3,102,2025Q4,2027Q1,real_gdp,5,500,2.783081943911319,2.8463803403479204,4.817327314519787,0.21543742690265505,-5.125116485880028,-3.311159212723993,-0.31076458893384284,5.913864712940864,8.913446635852512,10.338107763804949
outlook_v3,102,2025Q4,2027Q2,real_gdp,6,500,2.7627448602159155,2.620473875363416,4.736077098829425,0.2118038067932517,-4.5823127112142,-2.8858329056455294,-0.848483382922538,5.937783516821504,8.854603604084232,11.0489912308951
outlook_v3,102,2025Q4,2027Q3,real_gdp,7,500,2.9870199126142953,3.1266879400710934,5.0387542045090745,0.22533993846390335,-5.437404200825071,-3.3328805405686523,-0.28982128140953023,6.4037605267136755,9.344686087089897,11.074932756797615
outlook_v3,102,2025Q4,2027Q4,real_gdp,8,500,2.866992075994372,3.2111208075480846,5.060900087265094,0.22633033244918735,-5.706750194577417,-3.7370148731680786,-0.7646069534805733,6.487698309820544,9.077029093674868,10.988532124706866
outlook_v3,102,2025Q4,2028Q1,real_gdp,9,500,3.010725009662488,3.0076412225380267,4.925654937535997,0.2202819854807594,-5.193746491068545,-3.2660519654218234,-0.22500151601647644,6.2360154530413325,9.346619047888112,10.917492033994487
outlook_v3,102,2025Q4,2028Q2,real_gdp,10,500,3.0344371300076936,2.9336493688997933,4.937990749057547,0.22083365974315558,-4.845088739430032,-2.953284452035234,-0.2938274198326596,6.531151062400475,9.535308000277922,11.093989523447725
outlook_v3,102,2025Q4,2028Q3,real_gdp,11,500,2.9194504856928813,2.7165881664256375,4.787253892866954,0.2140925026000201,-4.647375932137514,-3.0652434537345385,-0.3627385484747947,6.238190599484739,8.84421811440113,10.625465528193843
outlook_v3,102,2025Q4,2028Q4,real_gdp,12,500,2.517993670000536,2.6035248207609385,5.1003222626032345,0.22809334572672732,-5.921663976053502,-3.9747553030530725,-0.6705292875789581,5.709367606312554,8.651122929951569,10.973995779692416
outlook_v3,102,2025Q4,2026Q1,unemployment_rate,1,500,3.7222343921139136,3.723986856516977,0.6015534306084653,0.026902287258774624,2.628696604600219,3.12157721796276,3.6007667031763417,3.888280394304491,4.381161007667032,4.709748083242059
outlook_v3,102,2025Q4,2026Q2,unemployment_rate,2,500,3.773713033953999,3.7787513691128147,0.9915055797623761,0.04434147752838025,1.8017524644030667,2.677984665936473,3.4501642935377874,4.1073384446878425,4.983570646221248,5.531215772179627
outlook_v3,102,2025Q4,2026Q3,unemployment_rate,3,500,3.7905805038335174,3.833515881708653,1.1741858186097072,0.05251118617255086,1.6401971522453451,2.190580503833516,3.3953997809419496,4.216867469879518,5.147864184008762,5.807776560788609
outlook_v3,102,2025Q4,2026Q4,unemployment_rate,4,500,3.8555312157721815,3.888280394304491,1.2799544424800144,0.057241302829763134,1.4786418400876231,2.075575027382256,3.3953997809419496,4.381161007667032,5.531215772179627,5.969331872946331
outlook_v3,102,2025Q4,2027Q1,unemployment_rate,5,500,3.8095290251916762,3.888280394304491,1.4115300114902465,0.063125541159465,1.1500547645125958,1.8072289156626506,3.0668127053669223,4.600219058050383,5.421686746987952,6.133625410733845
outlook_v3,102,2025Q4,2027Q2,unemployment_rate,6,500,3.7605695509309967,3.9430449069003286,1.4981457709827508,0.06699911568242525,0.9830230010952902,1.741511500547645,2.9572836801752462,4.545454545454546,5.591456736035051,6.136363636363637
outlook_v3,102,2025Q4,2027Q3,unemployment_rate,7,500,3.6813800657174145,3.7787513691128147,1.677688002780806,0.07502848838507477,0.7119386637458927,1.4786418400876231,2.61500547645126,4.490690032858708,6.024096385542169,6.629244249726178
outlook_v3,102,2025Q4,2027Q4,unemployment_rate,8,500,3.59671412924425,3.806133625410734,1.7453222175487584,0.078053182421594,0.32584884994523544,1.2048192771084338,2.4096385542168677,4.600219058050383,5.695509309967141,6.355421686746988
outlook_v3,102,2025Q4,2028Q1,unemployment_rate,9,500,3.520700985761227,3.723986856516977,1.8136155173436592,0.08110735163657741,0.21905805038335158,0.9857612267250822,2.245345016429354,4.545454545454546,5.969331872946331,6.57447973713034
outlook_v3,102,2025Q4,2028Q2,unemployment_rate,10,500,3.4043811610076666,3.669222343921139,1.8827246728085691,0.0841980070263202,0.0,0.7667031763417306,2.0125958378970425,4.600219058050383,5.810514786418402,6.4622124863088715
outlook_v3,102,2025Q4,2028Q3,unemployment_rate,11,500,3.305585980284776,3.3953997809419496,1.866991897327077,0.08349441591729304,0.054764512595837894,0.7064622124863088,1.8072289156626506,4.545454545454546,5.7502738225629795,6.355421686746988
outlook_v3,102,2025Q4,2028Q4,unemployment_rate,12,500,3.3032858707557495,3.5049288061336252,1.8963353775182816,0.08480669624537208,0.0,0.5421686746987951,1.9715224534501643,4.600219058050383,5.700985761226726,6.51697699890471
outlook_v3,103,2026Q1,2026Q2,effective_federal_funds_rate,1,500,3.6032695572200546,3.603352131811932,0.13363566313286296,0.005976368539666882,3.3861536785455693,3.4322202594412166,3.5037699275107084,3.695472325172511,3.7810488856533286,3.8299071666232165
outlook_v3,103,2026Q1,2026Q3,effective_federal_funds_rate,2,500,3.5659549838831466,3.567346402506555,0.18936507256420979,0.00846866349635507,3.2587466334675574,3.3248620536543605,3.4321335241479787,3.6996680981268293,3.803615669083227,3.875675962903783
outlook_v3,103,2026Q1,2026Q4,effective_federal_funds_rate,3,500,3.5214655029822444,3.531731159951479,0.22938689209740004,0.010258493677543916,3.1293560153195754,3.2231981932395537,3.363380330528459,3.674549481808831,3.8045466177101916,3.8891616263434683
outlook_v3,103,2026Q1,2027Q1,effective_federal_funds_rate,4,500,3.4826027000644015,3.491663580415494,0.26622414080049434,0.011905905521627612,3.0485337728821436,3.1433626664194625,3.3102042743218316,3.6584857443021095,3.8341174172607984,3.9026633918945075
outlook_v3,103,2026Q1,2027Q2,effective_federal_funds_rate,5,500,3.431675483005733,3.43411404356182,0.2981850811821921,0.013335242227993498,2.940781200342024,3.0524862214799797,3.241643950965883,3.637292861260011,3.799114934835206,3.884134888732066
outlook_v3,103,2026Q1,2027Q3,effective_federal_funds_rate,6,500,3.3833801799047567,3.3711887448188205,0.3223541554816813,0.014416116089731515,2.856710325541941,2.9948339104389943,3.1663348102962177,3.600810941084304,3.7860792743486438,3.9020808064718002
outlook_v3,103,2026Q1,2027Q4,effective_federal_funds_rate,7,500,3.33263286141033,3.3307985979061927,0.34124201845361135,0.015260807000830252,2.7720914401172836,2.932010595402803,3.0934267244700275,3.5655532990473304,3.7464020659660857,3.905247408257879
outlook_v3,103,2026Q1,2028Q1,effective_federal_funds_rate,8,500,3.2790910968230973,3.272166130043064,0.35917663901607644,0.016062867615397002,2.7496777658522906,2.834214818892933,3.028180670558789,3.513006513922895,3.7660409243082404,3.8759704873943166
outlook_v3,103,2026Q1,2028Q2,effective_federal_funds_rate,9,500,3.236353056885049,3.229763508350192,0.37106493578946165,0.016594528409836617,2.630873801800077,2.7647856030364104,2.9862373740171533,3.4924933066420696,3.7505569784196435,3.85614353397987
outlook_v3,103,2026Q1,2028Q3,effective_federal_funds_rate,10,500,3.196835460991169,3.1787609759468927,0.3932839853274427,0.017588194513083834,2.542147356482505,2.7004653778479026,2.9347746238219177,3.4740564670088956,3.7022827251456647,3.8458081092923115
outlook_v3,103,2026Q1,2028Q4,effective_federal_funds_rate,11,500,3.155492791237423,3.1460706473447564,0.4003304252163056,0.017903320884901104,2.4474772640301734,2.6611683416578042,2.9053371911375026,3.430610242795323,3.702422131170049,3.8009403977872545
outlook_v3,103,2026Q1,2029Q1,effective_federal_funds_rate,12,500,3.1125466677175644,3.1103293839521595,0.42281503531904796,0.018908863217647315,2.408054145601569,2.530618245602645,2.8627910562521452,3.38982760305786,3.643791556578948,3.8050526638943896
outlook_v3,103,2026Q1,2026Q2,gdp_deflator,1,500,3.134264566171127,3.1260530792703634,1.0364398252646785,0.046350998077596496,1.4815673604522672,1.8507540037056458,2.4308475809359464,3.8275354062221822,4.532287813735678,4.905950831279107
outlook_v3,103,2026Q1,2026Q3,gdp_deflator,2,500,2.829433457192499,2.8641813844565434,1.3014557752381517,0.058202871662843894,0.608276648790671,1.120224849567819,1.9458864832913036,3.692640629053834,4.508478429513546,5.061362656174709
outlook_v3,103,2026Q1,2026Q4,gdp_deflator,3,500,2.6593885495468785,2.7252084133632337,1.430419257533537,0.06397029392339534,0.21863998458993447,0.8329975365977305,1.7020336388101853,3.5816580447095347,4.382258396866234,5.092966331854996
outlook_v3,103,2026Q1,2027Q1,gdp_deflator,4,500,2.4866335966321755,2.4649780389918163,1.5393205492239617,0.06884050774454178,-0.04825487215722295,0.4313291563658339,1.436577994974364,3.6179682727118134,4.494393717331917,4.95539053387649
outlook_v3,103,2026Q1,2027Q2,gdp_deflator,5,500,2.419991521449609,2.443372689102219,1.6516682276308312,0.0738648486651827,-0.3909956968483641,0.3724436139421527,1.2414796643724912,3.494963304644294,4.512732625671846,5.164656825264444
outlook_v3,103,2026Q1,2027Q3,gdp_deflator,6,500,2.468857442123466,2.3980742726973148,1.5359195937621277,0.06868841239251959,-0.09160936759030847,0.44841762727756407,1.4605988247453183,3.418085703617102,4.462863612176521,5.090018265175793
outlook_v3,103,2026Q1,2027Q4,gdp_deflator,7,500,2.462924930495002,2.4882041493054174,1.5375077741059457,0.06875943797670571,-0.18931915698320978,0.40098978054153633,1.3855762364997304,3.566711785092913,4.456470212847705,4.890704398039141
outlook_v3,103,2026Q1,2028Q1,gdp_deflator,8,500,2.484512628346011,2.4355115450052978,1.504063058674884,0.0672637448328659,0.029875811987309885,0.6281757598335247,1.4937416746303,3.4297738426790403,4.3997826093911385,5.051151047064728
outlook_v3,103,2026Q1,2028Q2,gdp_deflator,9,500,2.3421935828810314,2.3490767450386585,1.532645121153331,0.06854197352564498,-0.07916792100743923,0.3887658585141196,1.2815828826036935,3.3465937908610854,4.237643521258789,4.876988693000365
outlook_v3,103,2026Q1,2028Q3,gdp_deflator,10,500,2.3554770576266604,2.2931190715056005,1.628175633543041,0.07281422791822052,-0.2539254303450634,0.3100011414552739,1.2097851942939997,3.4240745625597313,4.476224857400837,5.106792630989503
