model_family,target_id,horizon,origin_count,monte_carlo_paths,mean_ensemble_sd,mean_monte_carlo_standard_error,maximum_monte_carlo_standard_error
beforeit_abm_us_v3_ar1,real_gdp,1,61,500,3.2963978445404516,0.1474193932255246,0.2400828473180959
beforeit_abm_us_v3_ar1,real_gdp,2,60,500,3.336265498435217,0.14920232890976726,0.24257702921858018
beforeit_abm_us_v3_ar1,real_gdp,4,58,500,3.3057189525315835,0.1478362458474004,0.24611719733138
beforeit_abm_us_v3_ar1,real_gdp,8,54,500,3.2422499756247625,0.1449978269108801,0.2500552181271507
beforeit_abm_us_v3_ar1,real_gdp,12,50,500,3.0749794338191867,0.13751726086867033,0.2554428125272848
beforeit_abm_us_v3_ar1,gdp_deflator,1,61,500,0.8596908196241563,0.03844654224624247,0.05307149257354795
beforeit_abm_us_v3_ar1,gdp_deflator,2,60,500,1.0026719398095756,0.044840852330915774,0.06780522902047137
beforeit_abm_us_v3_ar1,gdp_deflator,4,58,500,1.080416271570734,0.048317684544580686,0.08858321056772005
beforeit_abm_us_v3_ar1,gdp_deflator,8,54,500,1.074261975002298,0.04804245603496636,0.09252700940734766
beforeit_abm_us_v3_ar1,gdp_deflator,12,50,500,1.0264179638416833,0.045902806809538496,0.09465271068003624
beforeit_abm_us_v3_ar1,nominal_gdp,1,61,500,3.4090805483510964,0.15245871693770618,0.24347731870840794
beforeit_abm_us_v3_ar1,nominal_gdp,2,60,500,3.474705819118333,0.15539356826725362,0.24693484733975213
beforeit_abm_us_v3_ar1,nominal_gdp,4,58,500,3.474645907796766,0.15539088895150072,0.25336720594956513
beforeit_abm_us_v3_ar1,nominal_gdp,8,54,500,3.412305966070676,0.15260296200324244,0.2597661533884397
beforeit_abm_us_v3_ar1,nominal_gdp,12,50,500,3.2484446812896066,0.14527486257022396,0.25707386632340135
beforeit_abm_us_v3_ar1,unemployment_rate,1,61,500,0.36078478359092375,0.016134786027137124,0.033176864348977604
beforeit_abm_us_v3_ar1,unemployment_rate,2,60,500,0.5801772338749888,0.025946314678845374,0.04935532177296023
beforeit_abm_us_v3_ar1,unemployment_rate,4,58,500,0.8629745934891876,0.03859339707794142,0.06867809321383052
beforeit_abm_us_v3_ar1,unemployment_rate,8,54,500,1.1483505745815457,0.051355798935305556,0.09050279030653435
beforeit_abm_us_v3_ar1,unemployment_rate,12,50,500,1.3483510976207038,0.060300094236326963,0.09492269928603983
beforeit_abm_us_v3_ar1,effective_federal_funds_rate,1,61,500,0.13919088137023536,0.006224805451839108,0.00846765809244363
beforeit_abm_us_v3_ar1,effective_federal_funds_rate,2,60,500,0.18822141839851847,0.008417517727210338,0.011234837058638583
beforeit_abm_us_v3_ar1,effective_federal_funds_rate,4,58,500,0.2509560164649308,0.011223094243562838,0.014449453826922639
beforeit_abm_us_v3_ar1,effective_federal_funds_rate,8,54,500,0.3142747130697967,0.01405479244066614,0.0181029734671378
beforeit_abm_us_v3_ar1,effective_federal_funds_rate,12,50,500,0.3364612890791034,0.01504700628356165,0.018209994985444285
