model_family,target_id,horizon,origin_count,monte_carlo_paths,mean_ensemble_sd,mean_monte_carlo_standard_error,maximum_monte_carlo_standard_error
beforeit_abm_us_v3,real_gdp,1,61,500,3.2235358640282645,0.14416090639751442,0.23950526024516264
beforeit_abm_us_v3,real_gdp,2,60,500,3.273530487907943,0.14639673394760427,0.24111377419504154
beforeit_abm_us_v3,real_gdp,4,58,500,3.271558664875863,0.14630855134081766,0.24463601067297183
beforeit_abm_us_v3,real_gdp,8,54,500,3.1636740288068608,0.14148380374125535,0.24917039145953665
beforeit_abm_us_v3,real_gdp,12,50,500,3.017419783882103,0.13494311506826215,0.24302070154625646
beforeit_abm_us_v3,gdp_deflator,1,61,500,0.8596908196241574,0.038446542246242534,0.05307149257354645
beforeit_abm_us_v3,gdp_deflator,2,60,500,1.00504941451097,0.04494717623185785,0.06628485794055347
beforeit_abm_us_v3,gdp_deflator,4,58,500,1.0790752182429588,0.04825771081653355,0.08724789738111927
beforeit_abm_us_v3,gdp_deflator,8,54,500,1.0706278528784667,0.047879933152817904,0.09027877048264685
beforeit_abm_us_v3,gdp_deflator,12,50,500,1.0304084161489733,0.046081265261939924,0.09599606139608821
beforeit_abm_us_v3,nominal_gdp,1,61,500,3.339494509266209,0.14934673466413087,0.24248778407655194
beforeit_abm_us_v3,nominal_gdp,2,60,500,3.430354397444417,0.15341011239202093,0.24587371093478314
beforeit_abm_us_v3,nominal_gdp,4,58,500,3.4604083229595184,0.1547541648008706,0.2529848424952427
beforeit_abm_us_v3,nominal_gdp,8,54,500,3.326511966431783,0.1487661376981593,0.25556042200809354
beforeit_abm_us_v3,nominal_gdp,12,50,500,3.1839470989786514,0.1423904430015903,0.25819880729821304
beforeit_abm_us_v3,unemployment_rate,1,61,500,0.3446134658540053,0.015411582712227168,0.03283365302694946
beforeit_abm_us_v3,unemployment_rate,2,60,500,0.5582589980057051,0.024966101371833523,0.05089762789656844
beforeit_abm_us_v3,unemployment_rate,4,58,500,0.8548834347044879,0.03823154945675476,0.06827541592721659
beforeit_abm_us_v3,unemployment_rate,8,54,500,1.2306551341870844,0.055036570738028916,0.08480602381989355
beforeit_abm_us_v3,unemployment_rate,12,50,500,1.4184717853573363,0.06343598672448991,0.08999544871908524
beforeit_abm_us_v3,effective_federal_funds_rate,1,61,500,0.13919088137023536,0.006224805451839108,0.00846765809244363
beforeit_abm_us_v3,effective_federal_funds_rate,2,60,500,0.18955377717428254,0.008477102623070876,0.011017351934303473
beforeit_abm_us_v3,effective_federal_funds_rate,4,58,500,0.253386182849506,0.011331774588213734,0.015047790974501303
beforeit_abm_us_v3,effective_federal_funds_rate,8,54,500,0.31530119271230483,0.014100698005829495,0.01803041149727432
beforeit_abm_us_v3,effective_federal_funds_rate,12,50,500,0.3369754739798806,0.01507000133138449,0.018059481218863374
