variant,origin_index,origin_period,build_period,calibration_date,burn_in_quarters,simulated_quarters,t_prime,t_max,paths_requested,paths_used,paths_failed,calibration_seconds,simulation_seconds
headline_v3,40,2010Q2,2010Q2,2010-06-30,0,12,54,12,500,500,0,3.465986967086792,40.857887983322144
headline_v3,41,2010Q3,2010Q3,2010-09-30,0,12,55,12,500,500,0,0.018615007400512695,39.47312688827515
headline_v3,42,2010Q4,2010Q4,2010-12-31,0,12,56,12,500,500,0,0.015705108642578125,42.507274866104126
headline_v3,43,2011Q1,2011Q1,2011-03-31,0,12,57,12,500,500,0,0.021522045135498047,48.8029670715332
headline_v3,44,2011Q2,2011Q2,2011-06-30,0,12,58,12,500,500,0,0.015584945678710938,63.280314922332764
headline_v3,45,2011Q3,2011Q3,2011-09-30,0,12,59,12,500,500,0,0.013704061508178711,38.346431016922
headline_v3,46,2011Q4,2011Q4,2011-12-31,0,12,60,12,500,500,0,0.022049903869628906,44.57287621498108
headline_v3,47,2012Q1,2012Q1,2012-03-31,0,12,61,12,500,500,0,0.020946025848388672,59.8902370929718
headline_v3,48,2012Q2,2012Q2,2012-06-30,0,12,62,12,500,500,0,0.019752979278564453,143.81205892562866
headline_v3,49,2012Q3,2012Q3,2012-09-30,0,12,63,12,500,500,0,0.024139881134033203,157.97735905647278
headline_v3,50,2012Q4,2012Q4,2012-12-31,0,12,64,12,500,500,0,0.011394023895263672,103.78442811965942
headline_v3,51,2013Q1,2013Q1,2013-03-31,0,12,65,12,500,500,0,0.011312007904052734,91.37242913246155
headline_v3,52,2013Q2,2013Q2,2013-06-30,0,12,66,12,500,500,0,0.013653993606567383,101.89528703689575
headline_v3,53,2013Q3,2013Q3,2013-09-30,0,12,67,12,500,500,0,0.014909029006958008,121.80896782875061
headline_v3,54,2013Q4,2013Q4,2013-12-31,0,12,68,12,500,500,0,0.017364978790283203,82.18097805976868
headline_v3,55,2014Q1,2014Q1,2014-03-31,0,12,69,12,500,500,0,0.003721952438354492,36.19365310668945
headline_v3,56,2014Q2,2014Q2,2014-06-30,0,12,70,12,500,500,0,0.0017528533935546875,35.49938106536865
headline_v3,57,2014Q3,2014Q3,2014-09-30,0,12,71,12,500,500,0,0.004600048065185547,35.021872997283936
headline_v3,58,2014Q4,2014Q4,2014-12-31,0,12,72,12,500,500,0,0.0018458366394042969,35.676599979400635
headline_v3,59,2015Q1,2015Q1,2015-03-31,0,12,73,12,500,500,0,0.001953125,35.07799792289734
headline_v3,60,2015Q2,2015Q2,2015-06-30,0,12,74,12,500,500,0,0.003175020217895508,35.6684467792511
headline_v3,61,2015Q3,2015Q3,2015-09-30,0,12,75,12,500,500,0,0.0020630359649658203,36.16288113594055
headline_v3,62,2015Q4,2015Q4,2015-12-31,0,12,76,12,500,500,0,0.011420965194702148,35.9225800037384
headline_v3,63,2016Q1,2016Q1,2016-03-31,0,12,77,12,500,500,0,0.0019381046295166016,36.645015001297
headline_v3,64,2016Q2,2016Q2,2016-06-30,0,12,78,12,500,500,0,0.010510921478271484,35.30365610122681
headline_v3,65,2016Q3,2016Q3,2016-09-30,0,12,79,12,500,500,0,0.0017619132995605469,34.2084059715271
