model_family,target_id,horizon,origin_count,monte_carlo_paths,mean_ensemble_sd,mean_monte_carlo_standard_error,maximum_monte_carlo_standard_error
beforeit_abm_us_v3,real_gdp,1,61,500,3.2244521436129596,0.14420188366626988,0.23568657008672605
beforeit_abm_us_v3,real_gdp,2,60,500,3.2976719723225836,0.14747637395218202,0.24305184862283336
beforeit_abm_us_v3,real_gdp,4,58,500,3.3113615258804967,0.1480885893989244,0.24744133461782167
beforeit_abm_us_v3,real_gdp,8,54,500,3.234891349329392,0.14466873913853076,0.24809328345957518
beforeit_abm_us_v3,real_gdp,12,50,500,3.0824112976258697,0.1378496239220956,0.2500629570390297
beforeit_abm_us_v3,gdp_deflator,1,61,500,0.8561265311368664,0.038287142419262475,0.051946724509501725
beforeit_abm_us_v3,gdp_deflator,2,60,500,1.0065898804019484,0.045016067960842794,0.0661924506222862
beforeit_abm_us_v3,gdp_deflator,4,58,500,1.0794945814180863,0.04827646530787044,0.0861531246474083
beforeit_abm_us_v3,gdp_deflator,8,54,500,1.0757838375926498,0.048110515799055176,0.09517060450108894
beforeit_abm_us_v3,gdp_deflator,12,50,500,1.0355530382004827,0.04631133975445431,0.09603817729179201
beforeit_abm_us_v3,nominal_gdp,1,61,500,3.339352772880533,0.14934039602026575,0.24038772583470144
beforeit_abm_us_v3,nominal_gdp,2,60,500,3.4606511236771333,0.15476502317906202,0.24891138011969072
beforeit_abm_us_v3,nominal_gdp,4,58,500,3.47811317454085,0.15554594983421863,0.2527554857776306
beforeit_abm_us_v3,nominal_gdp,8,54,500,3.424172314304685,0.153133641229161,0.2584648007834686
beforeit_abm_us_v3,nominal_gdp,12,50,500,3.2586220177926517,0.14573000689523796,0.2645958567490704
beforeit_abm_us_v3,unemployment_rate,1,61,500,0.3151068515478215,0.01409200680473727,0.03046068653223029
beforeit_abm_us_v3,unemployment_rate,2,60,500,0.5081740905179228,0.022726236216044134,0.04629589843641668
beforeit_abm_us_v3,unemployment_rate,4,58,500,0.7582487639776476,0.033909915602184273,0.062394383102190296
beforeit_abm_us_v3,unemployment_rate,8,54,500,1.1555540695671167,0.05167794902457187,0.08264085561034457
beforeit_abm_us_v3,unemployment_rate,12,50,500,1.4511726470619875,0.06489841371837829,0.09350194161535073
beforeit_abm_us_v3,effective_federal_funds_rate,1,61,500,0.13831467928226737,0.006185620503224634,0.008241651236220327
beforeit_abm_us_v3,effective_federal_funds_rate,2,60,500,0.18751624672057965,0.008385981491056764,0.010946411255169923
beforeit_abm_us_v3,effective_federal_funds_rate,4,58,500,0.2509888082376324,0.011224560736220104,0.014370504095507042
beforeit_abm_us_v3,effective_federal_funds_rate,8,54,500,0.3138424651201863,0.014035461724696866,0.018380415993876218
beforeit_abm_us_v3,effective_federal_funds_rate,12,50,500,0.3387493289830064,0.015149330538768841,0.0188576677866246
