sample_track,target_set,challenger,comparator,observation_count,mean_differential,adjusted_p_value,rejected_at_5pct
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,50,-13.482462855397086,0.078,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,50,-315.5631231761205,0.0876,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,50,-4143.428631883112,0.0876,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,50,-5.61475323529709,0.0848,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_small_nk,50,-5.2822080135972636,0.0002,true
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_small_nk_median,50,-5.218939498681404,0.0002,true
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_sw07,50,-4.661985894650283,0.016,true
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_sw07_median,50,-4.636628372819651,0.0156,true
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_drift,50,-30.109116139721795,0.0816,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_historical_mean,50,-0.5162201829924254,0.0876,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_no_change,50,-27.507156174105006,0.082,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,50,-12.840240534897516,0.0876,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,50,-12.717645412429889,0.0876,false
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,50,-14.520533752147132,0.0876,false
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,50,-19.258701546548103,0.0456,true
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,50,-399.2159337744554,0.0508,false
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,50,-5704.966770811573,0.0508,false
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,50,-7.9289110962808556,0.0482,true
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_small_nk,50,-7.697681128889603,0.0032,true
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_small_nk_median,50,-7.679414685942322,0.0034,true
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_sw07,50,-5.829517074930224,0.0316,true
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_sw07_median,50,-5.787404398619579,0.0316,true
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_drift,50,-34.82387045874258,0.0486,true
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_historical_mean,50,-1.2245956931759143,0.0316,true
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_no_change,50,-31.410801057161912,0.0508,false
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,50,-17.77734642246581,0.0508,false
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,50,-17.85419844139842,0.0508,false
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,50,-21.705452102303575,0.0508,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,50,-2.3998276743414158,0.5264,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,50,-4.3675635677311595,0.498,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,50,-520.1035723258996,0.2974,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,50,4.029051517148903,0.9132,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_small_nk,50,-2.1511976281892826,0.4968,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_small_nk_median,50,-2.115147036450164,0.498,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_sw07,50,3.6425962403523187,0.8866,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_sw07_median,50,3.656235371200704,0.8872,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_drift,50,3.8962600496762474,0.9342,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_historical_mean,50,4.236630589299901,0.956,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_no_change,50,4.639788999633236,0.9444,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,50,-11.305865022796276,0.4322,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,50,4.634520638121554,0.956,false
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,50,-11.855527360153987,0.4282,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,50,-13.482462855397086,0.078,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,50,-315.5631231761205,0.0876,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,50,-4143.428631883112,0.0876,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,50,-5.61475323529709,0.0848,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_small_nk,50,-5.2822080135972636,0.0002,true
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_small_nk_median,50,-5.218939498681404,0.0002,true
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_sw07,50,-4.661985894650283,0.016,true
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_sw07_median,50,-4.636628372819651,0.0156,true
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_drift,50,-30.109116139721795,0.0816,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_historical_mean,50,-0.5162201829924254,0.0876,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_no_change,50,-27.507156174105006,0.082,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,50,-12.840240534897516,0.0876,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,50,-12.717645412429889,0.0876,false
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,50,-14.520533752147132,0.0876,false
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,50,-19.258701546548103,0.0456,true
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,50,-399.2159337744554,0.0508,false
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,50,-5704.966770811573,0.0508,false
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,50,-7.9289110962808556,0.0482,true
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_small_nk,50,-7.697681128889603,0.0032,true
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_small_nk_median,50,-7.679414685942322,0.0034,true
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_sw07,50,-5.829517074930224,0.0316,true
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_sw07_median,50,-5.787404398619579,0.0316,true
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_drift,50,-34.82387045874258,0.0486,true
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_historical_mean,50,-1.2245956931759143,0.0316,true
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_no_change,50,-31.410801057161912,0.0508,false
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,50,-17.77734642246581,0.0508,false
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,50,-17.85419844139842,0.0508,false
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,50,-21.705452102303575,0.0508,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,50,-2.3998276743414158,0.5264,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,50,-4.3675635677311595,0.498,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,50,-520.1035723258996,0.2974,false
