sample_track,model_id,horizon,observation_count,mean_forecast_dispersion,realized_dispersion,dispersion_ratio
abm_all_available_common_cells,beforeit_abm_us_v3_mean,1,61,0.3446134658540053,2.1147990986584926,0.16295328765394707
abm_all_available_common_cells,beforeit_abm_us_v3_mean,2,60,0.5582589980057051,2.071064135682852,0.2695517673196737
abm_all_available_common_cells,beforeit_abm_us_v3_mean,4,58,0.8548834347044879,1.9824304739695642,0.4312299704476863
abm_all_available_common_cells,beforeit_abm_us_v3_mean,8,54,1.2306551341870844,1.819930893943845,0.6762098155937216
abm_all_available_common_cells,beforeit_abm_us_v3_mean,12,50,1.4184717853573363,1.700677336051893,0.8340628497174577
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,1,50,0.27406996279954543,2.1697112047501,0.12631633288316446
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,2,50,0.4721234411571233,2.1357368475741882,0.22105880773343886
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,4,50,0.7622865962205843,2.0575621265862054,0.37048047607939233
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,8,50,1.181164661267953,1.8715019978325158,0.631131926461164
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,12,50,1.4184717853573363,1.700677336051893,0.8340628497174577
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,1,53,0.31797307728922086,1.9329512659862937,0.16450134200717897
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,2,52,0.5271136313120818,1.8660698742542103,0.2824726118697709
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,4,50,0.8540317676667013,1.7228385847535663,0.49571200414510186
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,8,46,1.270596122714751,1.4143782786759977,0.8983425027596992
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,12,42,1.4407799767969198,1.0897713641017703,1.322093811837737
abm_all_available_common_cells,beforeit_abm_us_v2_mean,1,61,0.4142422503330103,2.1147990986584926,0.19587782621799957
abm_all_available_common_cells,beforeit_abm_us_v2_mean,2,60,0.727440083699993,2.071064135682852,0.3512397666333729
abm_all_available_common_cells,beforeit_abm_us_v2_mean,4,58,1.0794652646295508,1.9824304739695642,0.5445160770092781
abm_all_available_common_cells,beforeit_abm_us_v2_mean,8,54,0.9443199154769496,1.819930893943845,0.5188767983550079
abm_all_available_common_cells,beforeit_abm_us_v2_mean,12,50,0.46621591189163525,1.700677336051893,0.27413542946009456
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,1,50,0.3473665436044815,2.1697112047501,0.1600980549134833
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,2,50,0.6500092158397358,2.1357368475741882,0.3043489260289857
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,4,50,1.0208980240713788,2.0575621265862054,0.49616874789836696
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,8,50,0.9129877683123194,1.8715019978325158,0.48783691888638014
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,12,50,0.46621591189163525,1.700677336051893,0.27413542946009456
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,1,53,0.3895660937153673,1.9329512659862937,0.20153953209813086
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,2,52,0.7064974270428687,1.8660698742542103,0.3786018073547358
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,4,50,1.0783946278832017,1.7228385847535663,0.6259406060594206
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,8,46,0.967716654703542,1.4143782786759977,0.6841993187348885
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,12,42,0.4834512245556226,1.0897713641017703,0.44362628756913697
abm_all_available_common_cells,beforeit_abm_us_v1_mean,1,61,0.3690340721588855,2.1147990986584926,0.17450077049540053
abm_all_available_common_cells,beforeit_abm_us_v1_mean,2,60,0.7025792414797843,2.071064135682852,0.3392358688342293
abm_all_available_common_cells,beforeit_abm_us_v1_mean,4,58,0.7964408765066989,1.9824304739695642,0.4017497142847727
abm_all_available_common_cells,beforeit_abm_us_v1_mean,8,54,0.8373445946483651,1.819930893943845,0.46009691765483146
abm_all_available_common_cells,beforeit_abm_us_v1_mean,12,50,0.8592110776743729,1.700677336051893,0.505216985879887
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,1,50,0.2977534870274061,2.1697112047501,0.1372318520435075
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,2,50,0.6266299089716308,2.1357368475741882,0.29340220902372377
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,4,50,0.7275992599746347,2.0575621265862054,0.35362201246473546
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,8,50,0.7991305379279277,1.8715019978325158,0.4269995644425934
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,12,50,0.8592110776743729,1.700677336051893,0.505216985879887
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,1,53,0.34218416864748713,1.9329512659862937,0.1770267955891204
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,2,52,0.679735255188799,1.8660698742542103,0.3642603444635001
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,4,50,0.796307974603055,1.7228385847535663,0.4622069540641025
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,8,46,0.8665386454929876,1.4143782786759977,0.6126639941785278
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,12,42,0.882936928726002,1.0897713641017703,0.8102038260601123
abm_all_available_common_cells,dsge_small_nk,1,61,0.7080695858746521,2.1147990986584926,0.33481647799254827
abm_all_available_common_cells,dsge_small_nk,2,60,0.9900881042458569,2.071064135682852,0.47805767440389496
abm_all_available_common_cells,dsge_small_nk,4,58,1.3778292702661077,1.9824304739695642,0.6950202230836274
abm_all_available_common_cells,dsge_small_nk,8,54,1.985472879094649,1.819930893943845,1.090960588504583
abm_all_available_common_cells,dsge_small_nk,12,50,2.523295101689939,1.700677336051893,1.4837000812557106
abm_balanced_h12_common_cells,dsge_small_nk,1,50,0.592400501673415,2.1697112047501,0.2730319594499424
abm_balanced_h12_common_cells,dsge_small_nk,2,50,0.846916641852227,2.1357368475741882,0.39654540905363483
abm_balanced_h12_common_cells,dsge_small_nk,4,50,1.232490233099308,2.0575621265862054,0.5990051124940701
abm_balanced_h12_common_cells,dsge_small_nk,8,50,1.891473446715343,1.8715019978325158,1.0106713478831213
abm_balanced_h12_common_cells,dsge_small_nk,12,50,2.523295101689939,1.700677336051893,1.4837000812557106
abm_pandemic_masked_common_cells,dsge_small_nk,1,53,0.6561074851542668,1.9329512659862937,0.3394330197039324
abm_pandemic_masked_common_cells,dsge_small_nk,2,52,0.9347587059240657,1.8660698742542103,0.5009237428998469
abm_pandemic_masked_common_cells,dsge_small_nk,4,50,1.3547886824764024,1.7228385847535663,0.7863700607043175
abm_pandemic_masked_common_cells,dsge_small_nk,8,46,2.1006785509639574,1.4143782786759977,1.4852310606257377
abm_pandemic_masked_common_cells,dsge_small_nk,12,42,2.6620793647096317,1.0897713641017703,2.4427870399254026
abm_all_available_common_cells,dsge_sw07,1,61,0.622769985702678,2.1147990986584926,0.2944818664324794
abm_all_available_common_cells,dsge_sw07,2,60,0.9580293116278347,2.071064135682852,0.4625782925413665
abm_all_available_common_cells,dsge_sw07,4,58,1.4375578123302986,1.9824304739695642,0.7251491697722808
abm_all_available_common_cells,dsge_sw07,8,54,2.0130782755318317,1.819930893943845,1.1061289646935057
abm_all_available_common_cells,dsge_sw07,12,50,2.268361345064539,1.700677336051893,1.3337987735701349
abm_balanced_h12_common_cells,dsge_sw07,1,50,0.5252600314320307,2.1697112047501,0.24208753233245545
abm_balanced_h12_common_cells,dsge_sw07,2,50,0.8134953770671243,2.1357368475741882,0.38089682162440014
abm_balanced_h12_common_cells,dsge_sw07,4,50,1.2674435272701416,2.0575621265862054,0.6159928348666753
abm_balanced_h12_common_cells,dsge_sw07,8,50,1.8893973276514304,1.8715019978325158,1.009562014809303
abm_balanced_h12_common_cells,dsge_sw07,12,50,2.268361345064539,1.700677336051893,1.3337987735701349
abm_pandemic_masked_common_cells,dsge_sw07,1,53,0.5857603162407462,1.9329512659862937,0.3030393608717602
abm_pandemic_masked_common_cells,dsge_sw07,2,52,0.9109274392337773,1.8660698742542103,0.488152909921359
abm_pandemic_masked_common_cells,dsge_sw07,4,50,1.4229592952978039,1.7228385847535663,0.8259388359945183
abm_pandemic_masked_common_cells,dsge_sw07,8,46,2.128309285682974,1.4143782786759977,1.504766665163501
abm_pandemic_masked_common_cells,dsge_sw07,12,42,2.392855640078138,1.0897713641017703,2.1957409773291463
