check_id,seasonal_adjustment_code,m3_series_code,reference_period,total_series_id,materials_series_id,work_in_process_series_id,finished_goods_series_id,total_millions,materials_millions,work_in_process_millions,finished_goods_millions,residual_millions,status
A11S_1992-01,A,11S,1992-01,A11STI,A11SMI,A11SWI,A11SFI,25599,8923,2100,14576,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-02,A,11S,1992-02,A11STI,A11SMI,A11SWI,A11SFI,25763,9164,2203,14396,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-03,A,11S,1992-03,A11STI,A11SMI,A11SWI,A11SFI,25742,9200,2073,14469,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-04,A,11S,1992-04,A11STI,A11SMI,A11SWI,A11SFI,25561,9252,2071,14238,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-05,A,11S,1992-05,A11STI,A11SMI,A11SWI,A11SFI,25859,9331,2091,14437,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-06,A,11S,1992-06,A11STI,A11SMI,A11SWI,A11SFI,25882,9204,2054,14624,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-07,A,11S,1992-07,A11STI,A11SMI,A11SWI,A11SFI,26077,9278,2082,14717,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-08,A,11S,1992-08,A11STI,A11SMI,A11SWI,A11SFI,26374,9278,2145,14951,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-09,A,11S,1992-09,A11STI,A11SMI,A11SWI,A11SFI,26202,9173,2072,14957,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-10,A,11S,1992-10,A11STI,A11SMI,A11SWI,A11SFI,26390,9226,2148,15016,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-11,A,11S,1992-11,A11STI,A11SMI,A11SWI,A11SFI,26407,9308,2199,14900,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-12,A,11S,1992-12,A11STI,A11SMI,A11SWI,A11SFI,26448,9298,2202,14948,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-01,A,11S,1993-01,A11STI,A11SMI,A11SWI,A11SFI,26484,9476,2167,14841,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-02,A,11S,1993-02,A11STI,A11SMI,A11SWI,A11SFI,26389,9362,2245,14782,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-03,A,11S,1993-03,A11STI,A11SMI,A11SWI,A11SFI,26136,9250,2235,14651,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-04,A,11S,1993-04,A11STI,A11SMI,A11SWI,A11SFI,26358,9429,2249,14680,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-05,A,11S,1993-05,A11STI,A11SMI,A11SWI,A11SFI,26360,9423,2271,14666,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-06,A,11S,1993-06,A11STI,A11SMI,A11SWI,A11SFI,26517,9613,2254,14650,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-07,A,11S,1993-07,A11STI,A11SMI,A11SWI,A11SFI,26526,9514,2299,14713,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-08,A,11S,1993-08,A11STI,A11SMI,A11SWI,A11SFI,26397,9451,2288,14658,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-09,A,11S,1993-09,A11STI,A11SMI,A11SWI,A11SFI,26170,9272,2271,14627,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-10,A,11S,1993-10,A11STI,A11SMI,A11SWI,A11SFI,26169,9284,2261,14624,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-11,A,11S,1993-11,A11STI,A11SMI,A11SWI,A11SFI,26390,9339,2357,14694,0,PASS_EXACT_SOURCE_IDENTITY
