source_row,series_id,seasonal_adjustment_code,m3_series_code,item_code,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,AMTMTI,A,MTM,TI,1992,377883,376757,377688,377491,377450,377055,377301,379317,379343,379138,377990,378609
2,AMTMTI,A,MTM,TI,1993,376454,376070,377886,378720,378707,379336,378300,378664,379925,379690,379820,379806
3,AMTMTI,A,MTM,TI,1994,380801,381749,382683,383704,385942,387435,391062,392407,392820,394981,397511,399934
4,AMTMTI,A,MTM,TI,1995,403311,406325,409908,412519,416185,417940,419612,420051,422786,423789,423419,424802
5,AMTMTI,A,MTM,TI,1996,427759,427813,428326,427475,426778,426637,426960,427462,429060,429727,430595,430366
6,AMTMTI,A,MTM,TI,1997,431496,431959,431905,434015,435337,435773,436687,438432,439531,442038,441805,443227
7,AMTMTI,A,MTM,TI,1998,445182,447466,448486,449663,450268,451186,451307,451138,450938,451993,451956,448373
8,AMTMTI,A,MTM,TI,1999,446610,446919,448820,448517,450139,449738,451770,452018,454847,455920,459768,463004
9,AMTMTI,A,MTM,TI,2000,463496,466513,467223,469884,470210,474316,475759,477559,477896,479716,482228,480748
10,AMTMTI,A,MTM,TI,2001,483066,478318,473309,470260,465875,460435,454235,449964,444924,439875,434017,427353
11,AMTMTI,A,MTM,TI,2002,424779,419978,417772,417082,416371,416818,417200,418613,420483,420280,419887,423028
12,AMTMTI,A,MTM,TI,2003,421019,424506,422535,421889,420564,417495,414352,413035,410461,410493,408760,408302
13,AMTMTI,A,MTM,TI,2004,407705,410536,412711,414863,418489,422643,426260,429820,430989,434813,439997,441222
14,AMTMTI,A,MTM,TI,2005,446240,451361,455394,456990,457623,458507,461924,461964,463598,467552,470206,474639
15,AMTMTI,A,MTM,TI,2006,479543,481048,486076,491322,496672,501897,506637,511525,516251,519748,522206,523476
16,AMTMTI,A,MTM,TI,2007,524494,527703,529461,533451,538547,540804,541015,542345,548039,551124,556989,563043
17,AMTMTI,A,MTM,TI,2008,568357,570114,573237,571883,573696,577427,578433,580335,572743,567064,560227,543273
18,AMTMTI,A,MTM,TI,2009,538445,530391,523409,517053,513838,507452,504096,501500,498099,502146,504770,505025
19,AMTMTI,A,MTM,TI,2010,505695,510367,512320,515075,515983,519456,523182,525386,531038,538163,545104,553726
20,AMTMTI,A,MTM,TI,2011,560473,566076,573235,582766,589349,591280,594906,596862,595570,602499,605644,607035
21,AMTMTI,A,MTM,TI,2012,609566,611427,612395,612939,612413,612743,615159,617606,622526,622245,623506,625232
