cell_id,expected_raw_value_millions,source_member,source_workbook_sha256,source_sheet,source_cell_address,evidence_classification_key,evidence_negative_economic_type,evidence_sign_domain,classification_status,component_resolution_status,evidence_ids
AR24:IMPORT_FINAL_USE:CORE:113FF:F030,-9,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,CB9,A,IMPUTED_IMPORT_ALLOCATION_TO_INVENTORY_CHANGE,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGNED_FLOW,NOT_APPLICABLE_CODE_KEYED_INVENTORY_FLOW,BEA_NIPA_HANDBOOK_CHAPTER_7|BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_FINAL_USE:CORE:211:F030,-79,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,CB10,A,IMPUTED_IMPORT_ALLOCATION_TO_INVENTORY_CHANGE,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGNED_FLOW,NOT_APPLICABLE_CODE_KEYED_INVENTORY_FLOW,BEA_NIPA_HANDBOOK_CHAPTER_7|BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_FINAL_USE:CORE:323:F030,-14,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,CB30,A,IMPUTED_IMPORT_ALLOCATION_TO_INVENTORY_CHANGE,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGNED_FLOW,NOT_APPLICABLE_CODE_KEYED_INVENTORY_FLOW,BEA_NIPA_HANDBOOK_CHAPTER_7|BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_FINAL_USE:CORE:3364OT:F030,-10549,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,CB23,A,IMPUTED_IMPORT_ALLOCATION_TO_INVENTORY_CHANGE,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGNED_FLOW,NOT_APPLICABLE_CODE_KEYED_INVENTORY_FLOW,BEA_NIPA_HANDBOOK_CHAPTER_7|BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_FINAL_USE:CORE:511:F02N,-28,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,BZ47,E,UNRESOLVED_IMPUTED_IMPORT_IPP_NEGATIVE_ALLOCATION,UNRESOLVED_BLOCKED,UNRESOLVED_SEMANTIC_BLOCKER,NO_ADMISSIBLE_ECONOMIC_MECHANISM_ESTABLISHED,BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_FINAL_USE:CORE:511:F06N,-1,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,CH47,E,UNRESOLVED_IMPUTED_IMPORT_IPP_NEGATIVE_ALLOCATION,UNRESOLVED_BLOCKED,UNRESOLVED_SEMANTIC_BLOCKER,NO_ADMISSIBLE_ECONOMIC_MECHANISM_ESTABLISHED,BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_FINAL_USE:CORE:511:F07N,-1,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,CL47,E,UNRESOLVED_IMPUTED_IMPORT_IPP_NEGATIVE_ALLOCATION,UNRESOLVED_BLOCKED,UNRESOLVED_SEMANTIC_BLOCKER,NO_ADMISSIBLE_ECONOMIC_MECHANISM_ESTABLISHED,BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_FINAL_USE:CORE:511:F10N,-3,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,CP47,E,UNRESOLVED_IMPUTED_IMPORT_IPP_NEGATIVE_ALLOCATION,UNRESOLVED_BLOCKED,UNRESOLVED_SEMANTIC_BLOCKER,NO_ADMISSIBLE_ECONOMIC_MECHANISM_ESTABLISHED,BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_INTERMEDIATE_USE:CORE:332:315AL,-3,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,W18,F,UNRESOLVED_IMPUTED_IMPORT_INTERMEDIATE_NEGATIVE_ALLOCATION,UNRESOLVED_BLOCKED,UNRESOLVED_SEMANTIC_BLOCKER,NO_ADMISSIBLE_ECONOMIC_MECHANISM_ESTABLISHED,BEA_IO_CONCEPTS_METHODS_2006
AR24:IMPORT_INTERMEDIATE_USE:CORE:3364OT:5412OP,-2,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,BC23,F,UNRESOLVED_IMPUTED_IMPORT_INTERMEDIATE_NEGATIVE_ALLOCATION,UNRESOLVED_BLOCKED,UNRESOLVED_SEMANTIC_BLOCKER,NO_ADMISSIBLE_ECONOMIC_MECHANISM_ESTABLISHED,BEA_IO_CONCEPTS_METHODS_2006
