matrix_id,year,row_position,row_code,row_description,row_type,column_position,column_code,column_description,column_type,value
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,1,111CA,Farms,Industry,0.2092970
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,2,113FF,"Forestry, fishing, and related activities",Industry,0.0018906
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,3,211,Oil and gas extraction,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,4,212,"Mining, except oil and gas",Industry,0.0002170
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,5,213,Support activities for mining,Industry,0.0000913
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,6,22,Utilities,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,7,23,Construction,Industry,0.0008618
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,8,321,Wood products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,9,327,Nonmetallic mineral products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,10,331,Primary metals,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,11,332,Fabricated metal products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,12,333,Machinery,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,13,334,Computer and electronic products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,14,335,"Electrical equipment, appliances, and components",Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,15,3361MV,"Motor vehicles, bodies and trailers, and parts",Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,16,3364OT,Other transportation equipment,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,17,337,Furniture and related products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,18,339,Miscellaneous manufacturing,Industry,0.0005946
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,19,311FT,Food and beverage and tobacco products,Industry,0.2384514
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,20,313TT,Textile mills and textile product mills,Industry,0.0186966
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,21,315AL,Apparel and leather and allied products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,22,322,Paper products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,23,323,Printing and related support activities,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,24,324,Petroleum and coal products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,25,325,Chemical products,Industry,0.0119180
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,26,326,Plastics and rubber products,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,27,42,Wholesale trade,Industry,0.0000062
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,28,441,Motor vehicle and parts dealers,Industry,0.0006404
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,29,445,Food and beverage stores,Industry,0.0003173
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,30,452,General merchandise stores,Industry,0.0000242
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,31,4A0,Other retail,Industry,0.0000710
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,32,481,Air transportation,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,33,482,Rail transportation,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,34,483,Water transportation,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,35,484,Truck transportation,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,36,485,Transit and ground passenger transportation,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,37,486,Pipeline transportation,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,38,487OS,Other transportation and support activities,Industry,0.0001208
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,39,493,Warehousing and storage,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,40,511,"Publishing industries, except internet (includes software)",Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,41,512,Motion picture and sound recording industries,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,42,513,Broadcasting and telecommunications,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,43,514,"Data processing, internet publishing, and other information services",Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,44,521CI,"Federal Reserve banks, credit intermediation, and related activities",Industry,0.0000001
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,45,523,"Securities, commodity contracts, and investments",Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,46,524,Insurance carriers and related activities,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,47,525,"Funds, trusts, and other financial vehicles",Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,48,HS,Housing,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,49,ORE,Other real estate,Industry,0.0000007
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,50,532RL,Rental and leasing services and lessors of intangible assets,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,51,5411,Legal services,Industry,0.0000008
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,52,5415,Computer systems design and related services,Industry,0.0000002
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,53,5412OP,"Miscellaneous professional, scientific, and technical services",Industry,0.0003368
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,54,55,Management of companies and enterprises,Industry,0.0000440
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,55,561,Administrative and support services,Industry,0.0007918
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,56,562,Waste management and remediation services,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,57,61,Educational services,Industry,0.0006306
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,58,621,Ambulatory health care services,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,59,622,Hospitals,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,60,623,Nursing and residential care facilities,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,61,624,Social assistance,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,62,711AS,"Performing arts, spectator sports, museums, and related activities",Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,63,713,"Amusements, gambling, and recreation industries",Industry,0.0014016
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,64,721,Accommodation,Industry,0.0001975
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,65,722,Food services and drinking places,Industry,0.0039581
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,66,81,"Other services, except government",Industry,0.0000077
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,67,GFGD,Federal general government (defense),Industry,0.0000651
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,68,GFGN,Federal general government (nondefense),Industry,0.0000324
