record_id,workbook_member,workbook_sha256,sheet,cell_address,record_kind,semantic_class,source_token,exact_text_or_value
IMPORT_2024_ELLIPSIS_WITNESS,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,E8,SOURCE_CELL_WITNESS,RELEASE_SCOPED_CORROBORATED_SELECTED_ZERO_DISPLAY_TOKEN,...,...
IMPORT_2024_NUMERIC_ZERO_WITNESS,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,2024,F8,SOURCE_CELL_WITNESS,EXPLICIT_NUMERIC_ZERO_DISPLAY_TOKEN,0,0
IMPORT_RECONCILIATION_ROUNDING_NOTE,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,Import Reconcilliation,A17,SOURCE_NOTE,PUBLISHED_TOTAL_MAY_DIFFER_DUE_TO_ROUNDING,,2 Totals from the import matrix may differ from the sum of values in this table due to rounding.
IMPORT_RECONCILIATION_VALUATION_NOTE,ImportMatrices_After_Redefinitions_Summary.xlsx,9246c68288bb593495366288b9d8fd2038cae1ff500855ccd3e5c4377d0d3b25,Import Reconcilliation,A18,SOURCE_NOTE,DOMESTIC_PORT_SUBSTITUTION_VALUE,,"Note: Imports in the import matrix are valued at domestic port value, which is the value of imports when they enter the U.S. economy. Domestic port value is the substitution value of imports relative to domestically-produced goods and services and is calculated as total imports from the use table, plus the value of transportation and insurance services provided by domestic carriers to move imports from the foreign port to the domestic port, plus customs duties."
PRODUCER_MAKE_2024_ELLIPSIS_WITNESS,IOMake_After_Redefinitions_PRO_Summary.xlsx,073b87c7e52e76fb78ad7ddafb0c2e60f9188fc5a4e56dc0094f4a7ae3f529c6,2024,E8,SOURCE_CELL_WITNESS,AUTHENTICATED_SELECTED_ZERO_DISPLAY_TOKEN,...,...
PRODUCER_MAKE_2024_NUMERIC_ZERO_WITNESS,IOMake_After_Redefinitions_PRO_Summary.xlsx,073b87c7e52e76fb78ad7ddafb0c2e60f9188fc5a4e56dc0094f4a7ae3f529c6,2024,M10,SOURCE_CELL_WITNESS,EXPLICIT_NUMERIC_ZERO_DISPLAY_TOKEN,0,0
PRODUCER_MAKE_2024_ROUNDING_NOTE,IOMake_After_Redefinitions_PRO_Summary.xlsx,073b87c7e52e76fb78ad7ddafb0c2e60f9188fc5a4e56dc0094f4a7ae3f529c6,2024,A84,SOURCE_NOTE,PUBLISHED_DETAIL_MAY_NOT_ADD_DUE_TO_ROUNDING,,Note. Detail may not add to total due to rounding.
PRODUCER_MAKE_2024_ZERO_VALUE_NOTE,IOMake_After_Redefinitions_PRO_Summary.xlsx,073b87c7e52e76fb78ad7ddafb0c2e60f9188fc5a4e56dc0094f4a7ae3f529c6,2024,A83,SOURCE_NOTE,SELECTED_ELLIPSIS_IS_PUBLISHED_ZERO,,Note. Selected data with zero values are not shown.
PRODUCER_USE_2024_ELLIPSIS_WITNESS,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,E8,SOURCE_CELL_WITNESS,AUTHENTICATED_SELECTED_ZERO_DISPLAY_TOKEN,...,...
PRODUCER_USE_2024_NUMERIC_ZERO_WITNESS,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,AP8,SOURCE_CELL_WITNESS,EXPLICIT_NUMERIC_ZERO_DISPLAY_TOKEN,0,0
PRODUCER_USE_2024_ROUNDING_NOTE,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,A90,SOURCE_NOTE,PUBLISHED_DETAIL_MAY_NOT_ADD_DUE_TO_ROUNDING,,Note. Detail may not add to total due to rounding.
PRODUCER_USE_2024_ZERO_VALUE_NOTE,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,A89,SOURCE_NOTE,SELECTED_ELLIPSIS_IS_PUBLISHED_ZERO,,Note. Selected data with zero values are not shown.
