table_key,api_row_position,row_code,api_column_position,column_code,api_token,api_token_class,api_numeric_value_millions,authenticated_display_value_millions,common_basis_source_cell_kind,common_basis_value_millions,exact_semantic_and_value_match
UIMARI,1,111CA,1,111CA,"2,607",NONZERO_INTEGER,2607,2607,numeric,2607,true
UIMARI,1,111CA,2,113FF,31,NONZERO_INTEGER,31,31,numeric,31,true
UIMARI,1,111CA,3,211,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,4,212,0,LITERAL_ZERO,0,0,numeric,0,true
UIMARI,1,111CA,5,213,0,LITERAL_ZERO,0,0,numeric,0,true
UIMARI,1,111CA,6,22,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,7,23,70,NONZERO_INTEGER,70,70,numeric,70,true
UIMARI,1,111CA,8,321,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,9,327,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,10,331,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,11,332,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,12,333,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,13,334,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,14,335,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,15,3361MV,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,16,3364OT,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,17,337,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,18,339,8,NONZERO_INTEGER,8,8,numeric,8,true
UIMARI,1,111CA,19,311FT,"18,161",NONZERO_INTEGER,18161,18161,numeric,18161,true
UIMARI,1,111CA,20,313TT,5,NONZERO_INTEGER,5,5,numeric,5,true
UIMARI,1,111CA,21,315AL,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,22,322,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,23,323,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,24,324,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,25,325,475,NONZERO_INTEGER,475,475,numeric,475,true
UIMARI,1,111CA,26,326,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,27,42,2,NONZERO_INTEGER,2,2,numeric,2,true
UIMARI,1,111CA,28,441,35,NONZERO_INTEGER,35,35,numeric,35,true
UIMARI,1,111CA,29,445,12,NONZERO_INTEGER,12,12,numeric,12,true
UIMARI,1,111CA,30,452,4,NONZERO_INTEGER,4,4,numeric,4,true
UIMARI,1,111CA,31,4A0,13,NONZERO_INTEGER,13,13,numeric,13,true
UIMARI,1,111CA,32,481,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,33,482,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,34,483,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,35,484,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,36,485,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,37,486,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,38,487OS,12,NONZERO_INTEGER,12,12,numeric,12,true
UIMARI,1,111CA,39,493,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,40,511,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,41,512,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,42,513,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,43,514,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,44,521CI,0,LITERAL_ZERO,0,0,numeric,0,true
UIMARI,1,111CA,45,523,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,46,524,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,47,525,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,48,HS,0,LITERAL_ZERO,0,0,numeric,0,true
UIMARI,1,111CA,49,ORE,0,LITERAL_ZERO,0,0,numeric,0,true
UIMARI,1,111CA,50,532RL,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,51,5411,0,LITERAL_ZERO,0,0,numeric,0,true
UIMARI,1,111CA,52,5415,0,LITERAL_ZERO,0,0,numeric,0,true
UIMARI,1,111CA,53,5412OP,59,NONZERO_INTEGER,59,59,numeric,59,true
UIMARI,1,111CA,54,55,1,NONZERO_INTEGER,1,1,numeric,1,true
UIMARI,1,111CA,55,561,102,NONZERO_INTEGER,102,102,numeric,102,true
UIMARI,1,111CA,56,562,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,57,61,65,NONZERO_INTEGER,65,65,numeric,65,true
UIMARI,1,111CA,58,621,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,59,622,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,60,623,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,61,624,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,62,711AS,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,63,713,121,NONZERO_INTEGER,121,121,numeric,121,true
UIMARI,1,111CA,64,721,8,NONZERO_INTEGER,8,8,numeric,8,true
UIMARI,1,111CA,65,722,"3,901",NONZERO_INTEGER,3901,3901,numeric,3901,true
UIMARI,1,111CA,66,81,2,NONZERO_INTEGER,2,2,numeric,2,true
UIMARI,1,111CA,67,GFGD,20,NONZERO_INTEGER,20,20,numeric,20,true
UIMARI,1,111CA,68,GFGN,132,NONZERO_INTEGER,132,132,numeric,132,true
UIMARI,1,111CA,69,GFE,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,70,GSLG,732,NONZERO_INTEGER,732,732,numeric,732,true
UIMARI,1,111CA,71,GSLE,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
UIMARI,1,111CA,72,T001,"26,579",NONZERO_INTEGER,26579,26579,numeric,26579,true
UIMARI,1,111CA,73,F010,"33,931",NONZERO_INTEGER,33931,33931,numeric,33931,true
UIMARI,1,111CA,74,F02S,---,MARKER_TRIPLE_DASH,,0,selected_zero_not_shown,0,true
