period,nominal_gdp_quarterly,nominal_household_consumption_quarterly,nominal_gross_private_domestic_investment_quarterly,nominal_fixed_investment_quarterly,nominal_inventory_investment_quarterly,nominal_exports_quarterly,nominal_imports_quarterly,nominal_government_consumption_and_investment_quarterly
1996-12-31,2.06494275e6,1.33819075e6,370032.0,361350.75,8681.25,225949.5,248155.0,378925.5
1997-03-31,2.09066375e6,1.35827625e6,380601.0,368164.75,12436.25,229593.5,256803.25,378996.25
1997-06-30,2.12970625e6,1.36781675e6,397554.5,375460.75,22093.5,238612.5,259912.75,385635.25
1997-09-30,2.16570575e6,1.39479475e6,406312.75,389329.0,16983.75,243514.25,267722.0,388806.0
1997-12-31,2.19147675e6,1.4159025e6,411132.25,391719.25,19413.0,242082.5,271336.0,393695.5
1998-03-31,2.21662e6,1.4303355e6,428081.0,401806.0,26275.0,240755.25,274559.0,392007.25
1998-06-30,2.24242475e6,1.4581415e6,423943.25,414608.5,9335.0,236823.75,277406.5,400922.75
1998-09-30,2.28027425e6,1.4817115e6,435405.75,422300.5,13105.0,233815.75,277474.25,406815.5
1998-12-31,2.32349775e6,1.5070595e6,449241.0,434236.75,15004.25,241584.25,286250.0,411863.0
1999-03-31,2.3529205e6,1.52551e6,463265.75,442417.0,20848.5,240191.0,293331.0,417284.75
1999-06-30,2.3815525e6,1.55766025e6,462085.25,453307.5,8777.75,243649.25,305531.5,423689.25
1999-09-30,2.4216565e6,1.5838275e6,473433.75,463304.75,10129.0,251327.25,320428.0,433496.0
1999-12-31,2.47504225e6,1.61675975e6,488274.25,467213.75,21060.25,257742.75,333169.75,445435.0
2000-03-31,2.50054475e6,1.65455425e6,487662.5,483623.25,4039.25,263226.0,352371.75,447473.75
2000-06-30,2.56193e6,1.67797775e6,518946.5,496335.5,22611.0,273340.0,363965.0,455631.0
2000-09-30,2.57954125e6,1.704996e6,514992.25,500684.0,14308.25,281250.5,379717.25,458019.5
2000-12-31,2.608936e6,1.7296515e6,516806.75,503221.0,13586.0,278294.25,381130.0,465313.25
2001-03-31,2.61755775e6,1.7488245e6,492833.25,500490.75,-7657.75,274203.0,374866.0,476563.25
2001-06-30,2.64975e6,1.7605625e6,493258.25,496148.25,-2890.0,264503.25,355507.0,486932.75
2001-09-30,2.649505e6,1.76758425e6,486227.25,493756.5,-7529.0,249725.5,342384.0,488352.0
2001-12-31,2.66511625e6,1.79683e6,462522.75,482730.0,-20207.25,238380.0,330802.0,498185.5
2002-03-31,2.695875e6,1.80442875e6,478164.75,478091.5,73.25,242289.25,339010.25,510002.5
2002-06-30,2.721865e6,1.82698875e6,483320.5,478028.25,5292.25,251038.5,358103.25,518620.5
2002-09-30,2.74601e6,1.84928375e6,483299.25,476941.0,6358.25,253890.0,365776.75,525314.0
2002-12-31,2.76535825e6,1.8682395e6,485632.75,477382.0,8251.0,250761.5,374833.75,535558.0
2003-03-31,2.79353225e6,1.89179e6,490055.25,483535.0,6520.25,251050.25,382365.75,543002.5
2003-06-30,2.8281915e6,1.9153645e6,493096.5,494718.25,-1622.0,251866.25,381834.0,549698.25
2003-09-30,2.89166725e6,1.95523175e6,511076.0,510966.5,109.5,259327.5,389076.0,555108.0
2003-12-31,2.9430585e6,1.97836325e6,532827.75,523741.5,9086.25,272920.5,403844.0,562791.0
2004-03-31,2.98086175e6,2.01219425e6,538513.0,527006.75,11506.25,283417.25,424911.0,571648.5
2004-06-30,3.02820375e6,2.036777e6,565651.75,547154.5,18497.25,292538.0,446933.5,580170.5
2004-09-30,3.07632675e6,2.07083375e6,579568.0,563526.5,16041.5,295046.25,458214.0,589092.75
2004-12-31,3.1318035e6,2.11215525e6,597520.5,579498.25,18022.25,305361.0,480445.0,597211.75
2005-03-31,3.1918215e6,2.13793375e6,621517.0,595897.5,25619.25,314602.0,488765.75,606534.5
2005-06-30,3.230664e6,2.17528625e6,619118.5,611909.75,7208.75,323713.25,500515.75,613061.5
2005-09-30,3.2856605e6,2.21702225e6,632769.0,629680.5,3088.25,325578.75,513318.75,623609.5
2005-12-31,3.331051e6,2.23882375e6,661315.75,639718.75,21597.0,337685.75,538882.25,632108.0
2006-03-31,3.39979e6,2.27503825e6,677435.0,657881.5,19553.5,353491.5,551196.0,645021.5
2006-06-30,3.438356e6,2.30691225e6,677313.0,658434.75,18878.25,364941.75,563452.25,652641.25
2006-09-30,3.467547e6,2.338443e6,677355.0,657666.5,19688.5,368854.25,574675.5,657570.0
2006-12-31,3.50989e6,2.356842e6,668851.5,657982.5,10869.0,382882.75,567299.5,668613.5
2007-03-31,3.55391275e6,2.3930345e6,666073.75,660730.75,5343.0,394497.75,579316.0,679622.75
2007-06-30,3.6005205e6,2.41967825e6,674804.25,664248.0,10556.25,405691.0,592142.25,692489.5
2007-09-30,3.64102925e6,2.44959575e6,671492.25,660261.75,11230.5,421427.5,603666.0,702179.5
2007-12-31,3.6787645e6,2.484285e6,660640.0,653819.75,6820.25,437678.5,620103.25,716264.25
2008-03-31,3.6766345e6,2.50111125e6,640925.25,645093.5,-4168.25,453330.25,646142.0,727410.0
2008-06-30,3.71642525e6,2.53246725e6,635148.75,640711.75,-5563.0,476320.5,670421.5,742910.5
2008-09-30,3.72474975e6,2.5397695e6,624560.5,628516.75,-3956.25,480553.75,677392.25,757258.0
2008-12-31,3.65205225e6,2.4767355e6,576978.75,592532.5,-15553.75,425076.0,582194.75,755456.5
2009-03-31,3.6077255e6,2.45374225e6,503719.5,541468.5,-37749.0,377942.0,483190.25,755511.75
2009-06-30,3.595309e6,2.4513755e6,465912.5,514912.75,-49000.25,380273.25,469865.25,767613.0
2009-09-30,3.6122205e6,2.4848515e6,460354.0,511355.5,-51001.5,398681.25,504680.5,773014.5
2009-12-31,3.66281225e6,2.501249e6,499677.5,512698.75,-13021.0,425877.0,544190.75,780199.0
2010-03-31,3.6911525e6,2.5254555e6,509540.25,509849.5,-309.25,439969.25,567267.25,783454.75
2010-06-30,3.74504825e6,2.55203625e6,537198.75,528021.75,9177.0,454935.25,590563.75,791442.0
2010-09-30,3.78540175e6,2.5751885e6,559123.75,530899.5,28224.25,469313.25,607798.75,789575.25
2010-12-31,3.8273685e6,2.607576e6,559610.0,542784.5,16825.25,493029.0,623925.5,791079.25
2011-03-31,3.837862e6,2.63954875e6,551490.5,543471.25,8019.5,510101.75,652221.0,788942.0
2011-06-30,3.88938475e6,2.6682545e6,574338.0,559076.25,15261.75,529033.0,674306.0,792065.25
2011-09-30,3.91192e6,2.68875725e6,580710.0,583718.25,-3008.25,539198.25,680975.75,784230.5
2011-12-31,3.96056475e6,2.7022965e6,626023.75,600034.5,25989.0,537530.75,687977.75,782691.25
2012-03-31,4.01720125e6,2.73982525e6,641937.5,621868.25,20069.5,547495.25,698063.25,786006.0
2012-06-30,4.05177875e6,2.75126375e6,659215.75,636364.5,22851.5,553896.5,695206.75,782609.5
2012-09-30,4.07988525e6,2.76484825e6,661029.75,639922.5,21107.25,556933.5,687704.25,784778.0
2012-12-31,4.10510475e6,2.79142575e6,659570.5,652387.0,7183.5,559374.5,688343.25,783077.0
2013-03-31,4.16204725e6,2.819416e6,686605.0,665299.0,21305.75,563982.25,688819.25,780863.5
2013-06-30,4.18217175e6,2.82892025e6,695060.5,674387.25,20673.25,565350.75,689945.75,782785.75
2013-09-30,4.2384595e6,2.85208975e6,723088.5,688926.25,34162.25,571279.0,691795.75,783798.0
2013-12-31,4.29800475e6,2.88780725e6,733572.75,704237.0,29335.75,587310.0,695814.75,785129.25
2014-03-31,4.2994345e6,2.91150025e6,730691.25,717692.5,12998.75,585900.5,713422.5,784765.0
2014-06-30,4.379627e6,2.95261275e6,764774.0,740335.75,24438.25,598792.0,725143.0,788591.5
2014-09-30,4.451057e6,2.9899475e6,785511.75,759528.25,25983.5,599797.75,722137.25,797937.25
2014-12-31,4.47801975e6,3.02039025e6,793004.0,771632.5,21371.25,594054.5,726742.25,797313.25
2015-03-31,4.51588225e6,3.02994075e6,820570.75,776760.25,43810.5,574761.25,706369.0,796978.75
2015-06-30,4.569946e6,3.066035e6,822776.0,784964.0,37812.0,575110.25,702492.0,808516.75
2015-09-30,4.6004065e6,3.0956235e6,825915.0,794202.25,31712.75,565181.0,699701.5,813388.5
2015-12-31,4.60878425e6,3.10583825e6,819219.75,792432.25,26787.5,555569.75,686379.25,814535.5
2016-03-31,4.63148325e6,3.130789e6,811079.25,795499.75,15579.5,545489.25,673409.75,817535.25
2016-06-30,4.6779255e6,3.166281e6,811595.25,803974.25,7621.0,555484.0,677826.5,822391.5
2016-09-30,4.72315975e6,3.1992815e6,815392.75,814061.75,1331.0,567500.0,687807.25,828792.75
2016-12-31,4.77234475e6,3.23049725e6,840238.0,825701.25,14536.75,567084.75,699786.25,834311.25
