axis,code,label,parent_code,depth,child_count,is_hierarchy_leaf,axis_role
transaction,P2,Intermediate consumption,TU,1,0,1,leaf
transaction,P3,Final consumption expenditure,TU,1,3,0,aggregate
transaction,P34,Domestic purchases by non-residents,P3S14DC,3,0,1,leaf
transaction,P3S13,General government final consumption expenditure,P3,2,0,1,leaf
transaction,P3S14DC,Households final consumption expenditure domestic concept,P3,2,1,0,aggregate
transaction,P5,Gross capital formation,TU,1,3,0,aggregate
transaction,P51G,Gross fixed capital formation,P5,2,0,1,leaf
transaction,P52,Changes in inventories,P5,2,0,1,leaf
transaction,P6,Exports of goods and services,TU,1,4,0,aggregate
transaction,P6A,Re-exports,P6,2,0,1,leaf
transaction,TU,Total use,,0,4,0,aggregate
activity,A,"Agriculture, forestry and fishing",_T,1,3,0,aggregate
activity,A01,"Crop and animal production, hunting and related service activities",A,2,0,1,leaf
activity,A02,Forestry and logging,A,2,0,1,leaf
activity,A03,Fishing and aquaculture,A,2,0,1,leaf
activity,B,Mining and quarrying,_T,1,5,0,aggregate
activity,B05,Mining of coal and lignite,B,2,0,1,leaf
activity,B06,Extraction of crude petroleum and natural gas,B,2,0,1,leaf
activity,B07,Mining of metal ores,B,2,0,1,leaf
activity,B08,Other mining and quarrying,B,2,0,1,leaf
activity,B09,Mining support service activities,B,2,0,1,leaf
activity,C,Manufacturing,_T,1,19,0,aggregate
activity,C10,Manufacture of food products,C10T12,3,0,1,leaf
activity,C10T12,Manufacture of food products; beverages and tobacco products,C,2,3,0,aggregate
activity,C11,Manufacture of beverages,C10T12,3,0,1,leaf
activity,C12,Manufacture of tobacco products,C10T12,3,0,1,leaf
activity,C13,Manufacture of textiles,C13T15,3,0,1,leaf
activity,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",C,2,3,0,aggregate
activity,C14,Manufacture of wearing apparel,C13T15,3,0,1,leaf
activity,C15,Manufacture of leather and related products,C13T15,3,0,1,leaf
activity,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C,2,0,1,leaf
activity,C17,Manufacture of paper and paper products,C,2,0,1,leaf
activity,C18,Printing and reproduction of recorded media,C,2,0,1,leaf
activity,C19,Manufacture of coke and refined petroleum products,C,2,0,1,leaf
activity,C20,Manufacture of chemicals and chemical products,C,2,0,1,leaf
activity,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,2,0,1,leaf
activity,C22,Manufacture of rubber and plastics products,C,2,0,1,leaf
activity,C23,Manufacture of other non-metallic mineral products,C,2,0,1,leaf
activity,C24,Manufacture of basic metals,C,2,0,1,leaf
activity,C25,"Manufacture of fabricated metal products, except machinery and equipment",C,2,0,1,leaf
activity,C26,"Manufacture of computer, electronic and optical products",C,2,0,1,leaf
activity,C27,Manufacture of electrical equipment,C,2,0,1,leaf
activity,C28,Manufacture of machinery and equipment n.e.c.,C,2,0,1,leaf
activity,C29,"Manufacture of motor vehicles, trailers and semi-trailers",C,2,0,1,leaf
activity,C30,Manufacture of other transport equipment,C,2,0,1,leaf
activity,C31,Manufacture of furniture,C31_32,3,0,1,leaf
activity,C31_32,Manufacture of furniture; other manufacturing,C,2,2,0,aggregate
activity,C32,Other manufacturing,C31_32,3,0,1,leaf
activity,C33,Repair and installation of machinery and equipment,C,2,0,1,leaf
activity,D,"Electricity, gas, steam and air conditioning supply",_T,1,1,0,aggregate
activity,E,"Water supply; sewerage, waste management and remediation activities",_T,1,2,0,aggregate
activity,E36,"Water collection, treatment and supply",E,2,0,1,leaf
activity,E37,Sewerage,E37T39,3,0,1,leaf
activity,E37T39,"Sewerage, waste management, remediation activities",E,2,3,0,aggregate
activity,E38,"Waste collection, treatment and disposal activities; materials recovery",E37T39,3,0,1,leaf
activity,E39,Remediation activities and other waste management services,E37T39,3,0,1,leaf
activity,F,Construction,_T,1,3,0,aggregate
activity,F41,Construction of buildings,F,2,0,1,leaf
activity,F42,Civil engineering,F,2,0,1,leaf
activity,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,_T,1,3,0,aggregate
activity,G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,G,2,0,1,leaf
activity,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,2,0,1,leaf
activity,G47,"Retail trade, except of motor vehicles and motorcycles",G,2,0,1,leaf
activity,H,Transportation and storage,_T,1,5,0,aggregate
activity,H49,Land transport and transport via pipelines,H,2,0,1,leaf
activity,H50,Water transport,H,2,0,1,leaf
activity,H51,Air transport,H,2,0,1,leaf
activity,H52,Warehousing and support activities for transportation,H,2,0,1,leaf
activity,H53,Postal and courier activities,H,2,0,1,leaf
activity,I,Accommodation and food service activities,_T,1,2,0,aggregate
activity,I55,Accommodation,I,2,0,1,leaf
activity,I56,Food and beverage service activities,I,2,0,1,leaf
activity,J,Information and communication,_T,1,4,0,aggregate
activity,J58,Publishing activities,J,2,0,1,leaf
activity,J59,"Motion picture, video and television programme production, sound recording and music publishing activities",J59_60,3,0,1,leaf
activity,J59_60,"Motion picture, video, television programme production; programming and broadcasting activities",J,2,2,0,aggregate
activity,J60,Programming and broadcasting activities,J59_60,3,0,1,leaf
activity,J61,Telecommunications,J,2,0,1,leaf
activity,J62,"Computer programming, consultancy and related activities",J62_63,3,0,1,leaf
activity,J62_63,"Computer programming, consultancy, and information service activities",J,2,2,0,aggregate
activity,J63,Information service activities,J62_63,3,0,1,leaf
