table_identifier,valuation,transaction,activity,product,counterpart_area,sector,accounting_entry,value_hundredths_million_usd,obs_status,quarantine_reason
T1610,O,P2,A,_T,D,S1,D,36415826,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,A01,_T,D,S1,D,35331837,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,A02,_T,D,S1,D,1013666,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,A03,_T,D,S1,D,70322,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,B,_T,D,S1,D,30215745,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,B05,_T,D,S1,D,1812941,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,B06,_T,D,S1,D,20338518,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,B07,_T,D,S1,D,2096596,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,B08,_T,D,S1,D,1995674,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,B09,_T,D,S1,D,3972016,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C,_T,D,S1,D,427680184,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C10,_T,D,S1,D,78216912,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C10T12,_T,D,S1,D,89269850,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C11,_T,D,S1,D,7412230,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C12,_T,D,S1,D,3640707,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C13,_T,D,S1,D,3050958,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C13T15,_T,D,S1,D,3993799,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C14,_T,D,S1,D,765859,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C15,_T,D,S1,D,176982,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C16,_T,D,S1,D,11398431,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C17,_T,D,S1,D,14440094,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C18,_T,D,S1,D,4311098,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C19,_T,D,S1,D,43988969,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C20,_T,D,S1,D,35551490,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C21,_T,D,S1,D,8628787,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C22,_T,D,S1,D,19690638,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C23,_T,D,S1,D,11280279,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C24,_T,D,S1,D,24247075,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C25,_T,D,S1,D,28726074,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C26,_T,D,S1,D,11685831,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C27,_T,D,S1,D,11252428,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C28,_T,D,S1,D,22829106,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C29,_T,D,S1,D,55486782,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C30,_T,D,S1,D,17981142,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C31,_T,D,S1,D,5016059,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C31_32,_T,D,S1,D,10626227,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C32,_T,D,S1,D,5610167,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,C33,_T,D,S1,D,2292086,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,D,_T,D,S1,D,17933086,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,E,_T,D,S1,D,9852052,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,E36,_T,D,S1,D,815563,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,E37,_T,D,S1,D,142777,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,E37T39,_T,D,S1,D,9036489,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,E38,_T,D,S1,D,7179364,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,E39,_T,D,S1,D,1714348,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,F,_T,D,S1,D,120610454,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,F41,_T,D,S1,D,102651145,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,F42,_T,D,S1,D,17959309,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,G,_T,D,S1,D,233043228,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,G45,_T,D,S1,D,42323605,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,G46,_T,D,S1,D,111718428,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,G47,_T,D,S1,D,79001195,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,H,_T,D,S1,D,84631155,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,H49,_T,D,S1,D,42870966,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,H50,_T,D,S1,D,5482953,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,H51,_T,D,S1,D,15380059,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,H52,_T,D,S1,D,14813757,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,H53,_T,D,S1,D,6083420,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,I,_T,D,S1,D,78601502,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,I55,_T,D,S1,D,12715135,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,I56,_T,D,S1,D,65886367,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J,_T,D,S1,D,130651652,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J58,_T,D,S1,D,20891134,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J59,_T,D,S1,D,8759851,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J59_60,_T,D,S1,D,20604954,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J60,_T,D,S1,D,11845103,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J61,_T,D,S1,D,31856700,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J62,_T,D,S1,D,21199141,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J62_63,_T,D,S1,D,57298864,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,J63,_T,D,S1,D,36099723,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,K,_T,D,S1,D,192813344,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,K64,_T,D,S1,D,94718344,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,K65,_T,D,S1,D,68725085,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,K66,_T,D,S1,D,29369916,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,L,_T,D,S1,D,152645212,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,L68A,_T,D,S1,D,28038221,A,not_basic_valuation_for_T1610_source_axis_identity
T1610,O,P2,L68B,_T,D,S1,D,124606991,A,not_basic_valuation_for_T1610_source_axis_identity
