DATAFLOW,FREQ,REF_AREA,TRANSACTION,ACTIVITY,PRODUCT,UNIT_MEASURE,VALUATION,PRICE_BASE,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,COUNTERPART_AREA,SECTOR,ACCOUNTING_ENTRY,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P6,_Z,CPA08_E37T39,XDC,O,V,T1600,2024,753.15,WXD,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P6,_Z,CPA08_E38,XDC,O,V,T1600,2024,432.31,WXD,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A02,_T,XDC,O,V,T1600,2024,10136.66,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A01,_T,XDC,O,V,T1600,2024,353318.37,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,Q88,CPA08_R90,XDC,O,V,T1600,2024,1702.63,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P3,_Z,CPA08_R92,XDC,O,V,T1600,2024,206948.82,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C12,_T,XDC,O,V,T1600,2024,36407.07,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C11,_T,XDC,O,V,T1600,2024,74122.3,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C10,_T,XDC,O,V,T1600,2024,782169.12,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C10T12,_T,XDC,O,V,T1600,2024,892698.5,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C,_T,XDC,O,V,T1600,2024,4276801.84,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B09,_T,XDC,O,V,T1600,2024,39720.16,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B08,_T,XDC,O,V,T1600,2024,19956.74,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B07,_T,XDC,O,V,T1600,2024,20965.96,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B06,_T,XDC,O,V,T1600,2024,203385.18,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,P,_T,XDC,O,V,T1600,2024,556391.36,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,O,_T,XDC,O,V,T1600,2024,1723315.21,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,E36,_T,XDC,O,V,T1600,2024,8155.63,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,E,_T,XDC,O,V,T1600,2024,98520.52,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,D,_T,XDC,O,V,T1600,2024,179330.86,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C33,_T,XDC,O,V,T1600,2024,22920.86,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C32,_T,XDC,O,V,T1600,2024,56101.67,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C31,_T,XDC,O,V,T1600,2024,50160.59,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C31_32,_T,XDC,O,V,T1600,2024,106262.27,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C30,_T,XDC,O,V,T1600,2024,179811.42,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C29,_T,XDC,O,V,T1600,2024,554867.82,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C28,_T,XDC,O,V,T1600,2024,228291.06,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C27,_T,XDC,O,V,T1600,2024,112524.28,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C26,_T,XDC,O,V,T1600,2024,116858.31,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C25,_T,XDC,O,V,T1600,2024,287260.74,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C24,_T,XDC,O,V,T1600,2024,242470.75,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C23,_T,XDC,O,V,T1600,2024,112802.79,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C22,_T,XDC,O,V,T1600,2024,196906.38,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C21,_T,XDC,O,V,T1600,2024,86287.87,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C20,_T,XDC,O,V,T1600,2024,355514.9,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C19,_T,XDC,O,V,T1600,2024,439889.69,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C18,_T,XDC,O,V,T1600,2024,43110.98,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C17,_T,XDC,O,V,T1600,2024,144400.94,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C16,_T,XDC,O,V,T1600,2024,113984.31,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A,_T,XDC,O,V,T1600,2024,364158.26,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,_T,_T,XDC,O,V,T1600,2024,21438542.47,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,N81,_T,XDC,O,V,T1600,2024,181789.26,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,N80,_T,XDC,O,V,T1600,2024,26991.07,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,N80T82,_T,XDC,O,V,T1600,2024,355155.2,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,N79,_T,XDC,O,V,T1600,2024,55233.16,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,N78,_T,XDC,O,V,T1600,2024,104113.68,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,N77,_T,XDC,O,V,T1600,2024,302174.17,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,N,_T,XDC,O,V,T1600,2024,816676.21,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M75,_T,XDC,O,V,T1600,2024,19863.4,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M74,_T,XDC,O,V,T1600,2024,108657.62,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M74_75,_T,XDC,O,V,T1600,2024,128521.02,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M73,_T,XDC,O,V,T1600,2024,99610.25,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M72,_T,XDC,O,V,T1600,2024,250869.45,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M71,_T,XDC,O,V,T1600,2024,185981.91,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M70,_T,XDC,O,V,T1600,2024,422380.51,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M69,_T,XDC,O,V,T1600,2024,148704.78,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M69_70,_T,XDC,O,V,T1600,2024,571085.29,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,M,_T,XDC,O,V,T1600,2024,1236067.93,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,L68B,_T,XDC,O,V,T1600,2024,1246069.91,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,L68A,_T,XDC,O,V,T1600,2024,280382.21,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,L,_T,XDC,O,V,T1600,2024,1526452.12,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,K66,_T,XDC,O,V,T1600,2024,293699.16,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,K65,_T,XDC,O,V,T1600,2024,687250.85,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,K64,_T,XDC,O,V,T1600,2024,947183.44,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,K,_T,XDC,O,V,T1600,2024,1928133.44,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J63,_T,XDC,O,V,T1600,2024,360997.23,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J62,_T,XDC,O,V,T1600,2024,211991.41,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J62_63,_T,XDC,O,V,T1600,2024,572988.64,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J61,_T,XDC,O,V,T1600,2024,318567,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J60,_T,XDC,O,V,T1600,2024,118451.03,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J59,_T,XDC,O,V,T1600,2024,87598.51,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J59_60,_T,XDC,O,V,T1600,2024,206049.54,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J58,_T,XDC,O,V,T1600,2024,208911.34,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J,_T,XDC,O,V,T1600,2024,1306516.52,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,I56,_T,XDC,O,V,T1600,2024,658863.67,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,I55,_T,XDC,O,V,T1600,2024,127151.35,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,I,_T,XDC,O,V,T1600,2024,786015.02,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H53,_T,XDC,O,V,T1600,2024,60834.2,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H52,_T,XDC,O,V,T1600,2024,148137.57,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H51,_T,XDC,O,V,T1600,2024,153800.59,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H50,_T,XDC,O,V,T1600,2024,54829.53,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H49,_T,XDC,O,V,T1600,2024,428709.66,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H,_T,XDC,O,V,T1600,2024,846311.55,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,G47,_T,XDC,O,V,T1600,2024,790011.95,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,G46,_T,XDC,O,V,T1600,2024,1117184.28,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,G45,_T,XDC,O,V,T1600,2024,423236.05,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,G,_T,XDC,O,V,T1600,2024,2330432.28,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,F42,_T,XDC,O,V,T1600,2024,179593.09,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B05,_T,XDC,O,V,T1600,2024,18129.41,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B,_T,XDC,O,V,T1600,2024,302157.45,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A03,_T,XDC,O,V,T1600,2024,703.22,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,E37T39,_T,XDC,O,V,T1600,2024,90364.89,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,TU,_Z,_T,XDC,O,V,T1600,2024,54568422.35,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P51G,_Z,_T,XDC,O,V,T1600,2024,6255077.33,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P3,_Z,_T,XDC,O,V,T1600,2024,23923203.11,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P5,_Z,_T,XDC,O,V,T1600,2024,6308623.34,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P34,_Z,_T,XDC,O,V,T1600,2024,216558.12,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P52,_Z,_T,XDC,O,V,T1600,2024,53546.01,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,S96,_T,XDC,O,V,T1600,2024,161740.65,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,S95,_T,XDC,O,V,T1600,2024,23907.45,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,S94,_T,XDC,O,V,T1600,2024,146642.58,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,S,_T,XDC,O,V,T1600,2024,332290.68,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,R93,_T,XDC,O,V,T1600,2024,108763.43,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,R92,_T,XDC,O,V,T1600,2024,27386.74,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,R91,_T,XDC,O,V,T1600,2024,12395.84,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,R90,_T,XDC,O,V,T1600,2024,95510.04,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,R90T92,_T,XDC,O,V,T1600,2024,135292.62,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,R,_T,XDC,O,V,T1600,2024,244056.05,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,Q88,_T,XDC,O,V,T1600,2024,127799.36,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,Q87,_T,XDC,O,V,T1600,2024,134702.53,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,Q87_88,_T,XDC,O,V,T1600,2024,262501.89,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,Q86,_T,XDC,O,V,T1600,2024,1116308.74,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,K,CPA08_A,XDC,O,V,T1600,2024,0.2,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J62,CPA08_A,XDC,O,V,T1600,2024,0.26,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A02,CPA08_A,XDC,O,V,T1600,2024,9447.27,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A01,CPA08_A,XDC,O,V,T1600,2024,176565.58,D,S1,D,F,2,A,6,USD
