period,target_id,published_value
2000Q2,core_pce_price_index,74.689
2000Q2,gdp_deflator,72.520
2000Q2,nominal_gdp,10247720
2000Q2,pce_price_index,73.568
2000Q2,real_gdp,14130908
2000Q3,core_pce_price_index,75.050
2000Q3,gdp_deflator,72.944
2000Q3,nominal_gdp,10318165
2000Q3,pce_price_index,74.042
2000Q3,real_gdp,14145312
2000Q4,core_pce_price_index,75.421
2000Q4,gdp_deflator,73.337
2000Q4,nominal_gdp,10435744
2000Q4,pce_price_index,74.460
2000Q4,real_gdp,14229765
2001Q1,core_pce_price_index,75.912
2001Q1,gdp_deflator,73.822
2001Q1,nominal_gdp,10470231
2001Q1,pce_price_index,75.012
2001Q1,real_gdp,14183120
2001Q2,core_pce_price_index,76.199
2001Q2,gdp_deflator,74.266
2001Q2,nominal_gdp,10599000
2001Q2,pce_price_index,75.363
2001Q2,real_gdp,14271694
2001Q3,core_pce_price_index,76.395
2001Q3,gdp_deflator,74.558
2001Q3,nominal_gdp,10598020
2001Q3,pce_price_index,75.401
2001Q3,real_gdp,14214516
2001Q4,core_pce_price_index,76.764
2001Q4,gdp_deflator,74.792
2001Q4,nominal_gdp,10660465
2001Q4,pce_price_index,75.432
2001Q4,real_gdp,14253574
2002Q1,core_pce_price_index,77.000
2002Q1,gdp_deflator,75.027
2002Q1,nominal_gdp,10783500
2002Q1,pce_price_index,75.584
2002Q1,real_gdp,14372785
2002Q2,core_pce_price_index,77.424
2002Q2,gdp_deflator,75.289
2002Q2,nominal_gdp,10887460
2002Q2,pce_price_index,76.145
2002Q2,real_gdp,14460848
2002Q3,core_pce_price_index,77.836
2002Q3,gdp_deflator,75.650
2002Q3,nominal_gdp,10984040
2002Q3,pce_price_index,76.539
2002Q3,real_gdp,14519633
2002Q4,core_pce_price_index,78.113
2002Q4,gdp_deflator,76.089
2002Q4,nominal_gdp,11061433
2002Q4,pce_price_index,76.896
2002Q4,real_gdp,14537580
2003Q1,core_pce_price_index,78.354
2003Q1,gdp_deflator,76.461
2003Q1,nominal_gdp,11174129
