month,series_id,published_value,latest,footnote_codes
2000-01,CES0000000001,131011,false,none
2000-01,LNS14000000,4.0,false,none
2000-02,CES0000000001,131120,false,none
2000-02,LNS14000000,4.1,false,none
2000-03,CES0000000001,131604,false,none
2000-03,LNS14000000,4.0,false,none
2000-04,CES0000000001,131884,false,none
2000-04,LNS14000000,3.8,false,none
2000-05,CES0000000001,132105,false,none
2000-05,LNS14000000,4.0,false,none
2000-06,CES0000000001,132063,false,none
2000-06,LNS14000000,4.0,false,none
2000-07,CES0000000001,132228,false,none
2000-07,LNS14000000,4.0,false,none
2000-08,CES0000000001,132234,false,none
2000-08,LNS14000000,4.1,false,none
2000-09,CES0000000001,132337,false,none
2000-09,LNS14000000,3.9,false,none
2000-10,CES0000000001,132352,false,none
2000-10,LNS14000000,3.9,false,none
2000-11,CES0000000001,132556,false,none
2000-11,LNS14000000,3.9,false,none
2000-12,CES0000000001,132716,false,none
2000-12,LNS14000000,3.9,false,none
2001-01,CES0000000001,132703,false,none
2001-01,LNS14000000,4.2,false,none
2001-02,CES0000000001,132788,false,none
2001-02,LNS14000000,4.2,false,none
2001-03,CES0000000001,132751,false,none
2001-03,LNS14000000,4.3,false,none
2001-04,CES0000000001,132458,false,none
2001-04,LNS14000000,4.4,false,none
2001-05,CES0000000001,132408,false,none
2001-05,LNS14000000,4.3,false,none
2001-06,CES0000000001,132300,false,none
2001-06,LNS14000000,4.5,false,none
2001-07,CES0000000001,132172,false,none
2001-07,LNS14000000,4.6,false,none
2001-08,CES0000000001,132021,false,none
2001-08,LNS14000000,4.9,false,none
2001-09,CES0000000001,131763,false,none
2001-09,LNS14000000,5.0,false,none
2001-10,CES0000000001,131452,false,none
2001-10,LNS14000000,5.3,false,none
2001-11,CES0000000001,131144,false,none
2001-11,LNS14000000,5.5,false,none
2001-12,CES0000000001,130983,false,none
2001-12,LNS14000000,5.7,false,none
2002-01,CES0000000001,130859,false,none
2002-01,LNS14000000,5.7,false,none
2002-02,CES0000000001,130737,false,none
2002-02,LNS14000000,5.7,false,none
2002-03,CES0000000001,130722,false,none
2002-03,LNS14000000,5.7,false,none
2002-04,CES0000000001,130616,false,none
2002-04,LNS14000000,5.9,false,none
2002-05,CES0000000001,130632,false,none
2002-05,LNS14000000,5.8,false,none
2002-06,CES0000000001,130674,false,none
2002-06,LNS14000000,5.8,false,none
2002-07,CES0000000001,130584,false,none
2002-07,LNS14000000,5.8,false,none
2002-08,CES0000000001,130581,false,none
2002-08,LNS14000000,5.7,false,none
2002-09,CES0000000001,130502,false,none
2002-09,LNS14000000,5.7,false,none
2002-10,CES0000000001,130617,false,none
2002-10,LNS14000000,5.7,false,none
2002-11,CES0000000001,130616,false,none
2002-11,LNS14000000,5.9,false,none
2002-12,CES0000000001,130465,false,none
2002-12,LNS14000000,6.0,false,none
2003-01,CES0000000001,130573,false,none
2003-01,LNS14000000,5.8,false,none
2003-02,CES0000000001,130441,false,none
2003-02,LNS14000000,5.9,false,none
2003-03,CES0000000001,130235,false,none
2003-03,LNS14000000,5.9,false,none
2003-04,CES0000000001,130173,false,none
2003-04,LNS14000000,6.0,false,none
2003-05,CES0000000001,130197,false,none
2003-05,LNS14000000,6.1,false,none
2003-06,CES0000000001,130186,false,none
2003-06,LNS14000000,6.3,false,none
2003-07,CES0000000001,130184,false,none
2003-07,LNS14000000,6.2,false,none
2003-08,CES0000000001,130153,false,none
2003-08,LNS14000000,6.1,false,none
2003-09,CES0000000001,130252,false,none
2003-09,LNS14000000,6.1,false,none
2003-10,CES0000000001,130439,false,none
2003-10,LNS14000000,6.0,false,none
2003-11,CES0000000001,130480,false,none
2003-11,LNS14000000,5.8,false,none
2003-12,CES0000000001,130589,false,none
2003-12,LNS14000000,5.7,false,none
2004-01,CES0000000001,130756,false,none
2004-01,LNS14000000,5.7,false,none
2004-02,CES0000000001,130821,false,none
2004-02,LNS14000000,5.6,false,none
2004-03,CES0000000001,131140,false,none
2004-03,LNS14000000,5.8,false,none
2004-04,CES0000000001,131412,false,none
2004-04,LNS14000000,5.6,false,none
2004-05,CES0000000001,131697,false,none
2004-05,LNS14000000,5.6,false,none
2004-06,CES0000000001,131794,false,none
2004-06,LNS14000000,5.6,false,none
2004-07,CES0000000001,131854,false,none
2004-07,LNS14000000,5.5,false,none
2004-08,CES0000000001,131939,false,none
2004-08,LNS14000000,5.4,false,none
2004-09,CES0000000001,132089,false,none
2004-09,LNS14000000,5.4,false,none
2004-10,CES0000000001,132429,false,none
2004-10,LNS14000000,5.5,false,none
2004-11,CES0000000001,132503,false,none
2004-11,LNS14000000,5.4,false,none
2004-12,CES0000000001,132630,false,none
2004-12,LNS14000000,5.4,false,none
2005-01,CES0000000001,132781,false,none
2005-01,LNS14000000,5.3,false,none
2005-02,CES0000000001,133034,false,none
2005-02,LNS14000000,5.4,false,none
2005-03,CES0000000001,133154,false,none
2005-03,LNS14000000,5.2,false,none
2005-04,CES0000000001,133520,false,none
2005-04,LNS14000000,5.2,false,none
2005-05,CES0000000001,133689,false,none
2005-05,LNS14000000,5.1,false,none
2005-06,CES0000000001,133948,false,none
2005-06,LNS14000000,5.0,false,none
2005-07,CES0000000001,134300,false,none
2005-07,LNS14000000,5.0,false,none
2005-08,CES0000000001,134502,false,none
2005-08,LNS14000000,4.9,false,none
2005-09,CES0000000001,134552,false,none
2005-09,LNS14000000,5.0,false,none
2005-10,CES0000000001,134641,false,none
2005-10,LNS14000000,5.0,false,none
2005-11,CES0000000001,134997,false,none
2005-11,LNS14000000,5.0,false,none
2005-12,CES0000000001,135159,false,none
2005-12,LNS14000000,4.9,false,none
2006-01,CES0000000001,135427,false,none
2006-01,LNS14000000,4.7,false,none
2006-02,CES0000000001,135733,false,none
2006-02,LNS14000000,4.8,false,none
2006-03,CES0000000001,136038,false,none
2006-03,LNS14000000,4.7,false,none
2006-04,CES0000000001,136210,false,none
2006-04,LNS14000000,4.7,false,none
2006-05,CES0000000001,136249,false,none
2006-05,LNS14000000,4.6,false,none
2006-06,CES0000000001,136337,false,none
2006-06,LNS14000000,4.6,false,none
2006-07,CES0000000001,136529,false,none
2006-07,LNS14000000,4.7,false,none
2006-08,CES0000000001,136692,false,none
2006-08,LNS14000000,4.7,false,none
2006-09,CES0000000001,136826,false,none
2006-09,LNS14000000,4.5,false,none
2006-10,CES0000000001,136843,false,none
2006-10,LNS14000000,4.4,false,none
2006-11,CES0000000001,137060,false,none
2006-11,LNS14000000,4.5,false,none
2006-12,CES0000000001,137249,false,none
2006-12,LNS14000000,4.4,false,none
2007-01,CES0000000001,137472,false,none
2007-01,LNS14000000,4.6,false,none
2007-02,CES0000000001,137560,false,none
2007-02,LNS14000000,4.5,false,none
2007-03,CES0000000001,137784,false,none
2007-03,LNS14000000,4.4,false,none
2007-04,CES0000000001,137847,false,none
2007-04,LNS14000000,4.5,false,none
2007-05,CES0000000001,137992,false,none
2007-05,LNS14000000,4.4,false,none
2007-06,CES0000000001,138070,false,none
2007-06,LNS14000000,4.6,false,none
2007-07,CES0000000001,138044,false,none
2007-07,LNS14000000,4.7,false,none
2007-08,CES0000000001,138013,false,none
2007-08,LNS14000000,4.6,false,none
2007-09,CES0000000001,138099,false,none
2007-09,LNS14000000,4.7,false,none
2007-10,CES0000000001,138175,false,none
2007-10,LNS14000000,4.7,false,none
2007-11,CES0000000001,138290,false,none
2007-11,LNS14000000,4.7,false,none
2007-12,CES0000000001,138395,false,none
2007-12,LNS14000000,5.0,false,none
2008-01,CES0000000001,138391,false,none
2008-01,LNS14000000,5.0,false,none
2008-02,CES0000000001,138329,false,none
2008-02,LNS14000000,4.9,false,none
2008-03,CES0000000001,138259,false,none
2008-03,LNS14000000,5.1,false,none
